phone,friday,condoms_male,additionalinfo,tuesday,facilityname-service_category
347-304-1203,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Kev'S Unique Barbershop-Free Safer Sex Products
212-714-2904,10:00 AM - 8:00 PM,True,Find free safer sex products inside a dispenser/fishbowl located near the restroom at this beauty salon. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,10:00 AM - 7:00 PM,Pilatos-Free Safer Sex Products
718-226-6550,9:00 AM - 5:00 PM,True,Find free safer sex products inside a condom dispenser located in waiting room and throughout our building at this location.Last Updated: 9/20/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 5:00 PM,"Center for Women's Health, Staten Island University Hospital-Free Safer Sex Products"
347-561-5678,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,VIP Barber Shop-Free Safer Sex Products
347-557-2425,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Life Pharmacy-Free Safer Sex Products
,8:00 AM - 5:00 PM,True,Find free safer sex products inside a fishbowl located on the countertop near the atm at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Barrow's Pub-Free Safer Sex Products
646-473-1866,10:00 AM - 4:00 AM,True,Find free safer sex products inside a fishbowl located near the restrooms at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,10:00 AM - 4:00 AM,Eagle-Free Safer Sex Products
718-585-2810,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Puebla Barber Shop-Free Safer Sex Products
718-443-2428,8:00 AM - 5:00 PM,True,Find free safer sex products inside a dispenser/fishbowl located in the hallway at this clinical facility. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Bedford Stuyvesant Family Health Center - Broadway Family Health Center-Free Safer Sex Products
312-731-2053,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Carmen Beauty Nails-Free Safer Sex Products
718-526-3400,8:00 AM - 5:00 PM,True,Find free safer sex products inside a dispenser located across from the reception area at this clinical facility. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Parsons Medical Center-Free Safer Sex Products
212-307-1503,11:00 AM - 2:00 AM,True,Find free safer sex products inside a fishbowl located on the bar at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,11:00 AM - 11:30 AM,2A-Free Safer Sex Products
(718) 798-2236,8:00 AM - 5:00 AM,True,Find free safer sex products at this physician.Last Updated: 9/20/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Doctors Medical Group-Free Safer Sex Products
718-454-1020,8:00 AM - 5:00 PM,True,Find free safer sex products at this beauty salon. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,The Shop Beauty Bar-Free Safer Sex Products
917-371-7711,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Mabel Hair Extension-Free Safer Sex Products
718-552-2652,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,CUTS N' SLICES-Free Safer Sex Products
7186553648,8:30 AM - 4:00 PM,True,Find free safer sex products inside a bowl located foyer at this clinical facility. Last Updated: 9/26/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:30 AM - 4:00 PM,Montefiore Prevention Center-Free Safer Sex Products
718-345-5000,8:00 AM - 5:00 PM,True,Find free safer sex products inside a dispenser located at reception at this government agency. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Brownsville Multi-Services Health Center-Free Safer Sex Products
6466138420,9:00 AM - 5:00 PM,True,"Find free safer sex products inside a vinyl containers located front desks, resource tables, and restrooms at this social service. Last Updated: 9/20/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .",9:00 AM - 5:00 PM,CPC One-Free Safer Sex Products
718.270.1715,9:00 AM - 5:00 PM,True,Find free safer sex products inside a  located in the waiting room at this clinical facility. Last Updated: 9/20/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,9:00 AM - 5:00 PM,SUNY Downstate Medical Center-Free Safer Sex Products
516-395-3998,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Bedstyle Unisex Salon-Free Safer Sex Products
212-528-4924,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Maria Estilistas Profesionales-Free Safer Sex Products
,8:00 AM - 5:00 PM,True,Find free safer sex products inside a dispenser/fishbowl located in the hallway at this clinical facility. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Bushwick Communicare Center-Free Safer Sex Products
718-676-0507,8:00 AM - 5:00 PM,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,8:00 AM - 5:00 PM,Bella Ciao Hair Studio-Free Safer Sex Products
9149849067,9:00 AM - 7:00 PM,True,"Find free safer sex products inside a bin located front desk, health offices, supportive services, educational services at this social service. Last Updated: 9/24/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .",9:00 AM - 7:00 PM,Social Service Corp-Free Safer Sex Products
347-297-2865,,True,Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,,Selina's Shiny Beauty Salon-Free Safer Sex Products
718-960-2201,7:30 AM - 5:30 PM,True,Find free safer sex products at this women's center.Last Updated: 9/23/2024 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,7:30 AM - 5:00 PM,NYC H+H Gotham Health Morrisania-Free Safer Sex Products
