brief_excerpt,age_group,how_to_apply_or_enroll_by,apply_online_call_to_action,program_category,population_served,updated_at
يمكن لمخصصات برنامج SNAP أن تساعدك على إمداد عائلتك بأطعمة طازجة وصحية.,,"\nاطبع (http://otda.ny.gov/programs/applications/4826-AR.pdf) طلبًا ورقيًا، أو (https://www1.nyc.gov/site/hra/locations/snap-locations.page) احصل عليه من أحد مراكز برنامج SNAP أو اتصل بخط المعلومات التابع لإدارة الموارد البشرية من خلال الرقم 1399-557-718 لإرسال طلب ورقي إليك عبر البريد.\nأرسل الطلب ونسخًا من مستنداتك إلى: Division of SNAP Services, Mail Application & Referral Unit (MARU) P.O.Box 24510 Brooklyn, NY, 11201",التقدم بطلب عبر الإنترنت,Food,Everyone,2024-08-09T11:01:57.000
Les services de garde de jeunes enfants et d’éducation sont disponibles jusqu’à dix heures par jour.,,"\n (https://www1.nyc.gov/site/acs/early-care/forms.page) Téléchargez le formulaire de demande dans votre langue. (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) \nRemplissez-le et envoyez-le à l’adresse suivante : NYC DOE Family Welcome Center 333 7th Ave 12th floor New York NY 10001Si vous bénéficiez déjà de prestations de la HRA, vous devez déposer votre demande auprès de votre HRA Benefits Access Center.",Déposer une demande en ligne,Child Care,"Children (0-13),Families,Pregnant & new parents",2024-08-13T11:01:25.000
Зарегистрируйте своего ребенка в бесплатной высококачественной программе Pre-K на полный день.,,,Подача заявления на участие в программе Pre-K,Education,"Children (0-13),Families,Immigrants,NYCHA residents,Students",2024-08-09T11:01:19.000
El HEAP ayuda a los grupos familiares elegibles a cubrir los costos de calefacción de sus casas.,,"Las solicitudes para el beneficio regular del HEAP 2024-25 cerraron el 7 de abril de 2025. (https://access-nyc-s3-uploads.s3.amazonaws.com/uploads/2023/11/LDSS-3421-Rev.-5-23.pdf) Descarguey complete la solicitud. Para enviar su solicitud, puede:\nEnvíe por correo su solicitud a: New York City Home Energy Assistance Program P.O. Box 1401, Church Street Station New York, NY, 10008\nEnvíe su solicitud por fax al 917-639-2900.",Envíe una solicitud en línea,Cash & expenses,,2025-05-28T11:02:44.000
Diminution des impôts fonciers pour les propriétaires souffrant d'un handicap,,"\nTéléchargez et remplissez la demande initiale d'exemption. Vous pouvez également demander qu'un formulaire vous soit transmis par la poste en appelant le 311 (http://webapps.nyc.gov:8084/CICS/fin1/find001I) .\nVous serez invité à fournir l'arrondissement, le bloc, et le lot (BBL) de votre domicile. Vous pouvez utiliser la Recherche d'adresses de propriétés pour trouver ces informations.\nRéunissez vos documents requis et incluez-les dans votre demande. Votre demande ne sera pas traitée sans ces documents.\nEnvoyez votre demande complète et documents requis par la poste à : New York City Department of Finance P.O.BOX 311Maplewood, NJ 07040-0311\nLes demandes doivent être envoyées au plus tard le 16 mars, le cachet de la poste faisant foi, pour que votre avantage social commence le 1er juillet de la même année.",Déposez votre dossier en ligne,Cash & Expenses,"People with disabilities,Homeowners",2024-10-22T11:01:22.000
"Inscriba a su hijo en un programa de prekínder gratis, de día completo y de alta calidad.","Toddler,Pre-Schooler",,Cómo enviar una solicitud para los programas de prekínder,Education,"NYCHA residents,Students",2025-02-07T11:01:30.000
ابتدائی نگہداشت اطفال اور تعلیمی خدمات روزانہ 10 گھنٹے تک کے لیے ہیں۔,,\n (https://www1.nyc.gov/site/acs/early-care/forms.page) اپنی زبان میں ایپلیکیشن ڈاؤن لوڈ کریں۔ (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) \nاسے مکمل کر کے اس پتہ پر ڈاک سے بھیج دیں: NYC DOE Family Welcome Center 333‎ 7th Ave 12th floor New York NY 10001اگر آپ پہلے سے ہی HRA کی مراعات حاصل کر رہے ہیں، تو آپ اس کی بجائے اپنے تفویض کردہ HRA بینیفٹس ایکسیس سنٹر میں درخواست دیں۔,آن لائن درخواست دیں,Child Care,"Children (0-13),Families,Pregnant & new parents",2024-08-13T11:01:02.000
"2024-এর জন্য ট্যাক্স ফাইল করার সময়, পরিবারগুলি 17 বছরের কম বয়সী প্রত্যেক যোগ্য শিশুর জন্য $2,000 পর্যন্ত মূল্যের এই ট্যাক্স ক্রেডিট দাবি করতে পারেন।",,"আপনার ট্যাক্স রিটার্ন ডাকে পাঠালে,ফর্ম 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) এবংশিডিউল 8812 (https://www.irs.gov/pub/irs-pdf/f1040s8.pdf) পূরণ করুন।",,Cash & Expenses,Pregnant & new parents,2025-02-06T11:00:53.000
"Cuando presenten su declaración de impuestos de 2024, las familias pueden reclamar este crédito fiscal por un valor de hasta $2,000 para cada hijo menor de 17 años que califique.",Everyone,"Si envía su declaración de impuestos por correo, complete elFormulario 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) y elAnexo 8812 (https://www.irs.gov/pub/irs-pdf/f1040s8.pdf) .",,Cash & expenses,"Pregnant & new parents,Families with children",2025-02-06T11:00:56.000
房租凍結計畫可協助符合資格的紐約市民住在自己的家中,,"\n請列印 (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/drie/drie-initial-application-only.pdf) 首次申請表並填寫完成。您也可以從 DRIE 援助中心領取一份申請表，或致電 311 要求將申請表郵寄給您。\n將您填妥並簽名的申請表以及證明文件郵寄至：Rent Freeze Program – DRIEP.O. Box 3179Union, NJ 07083",線上申請,Housing,"Immigrants,People with disabilities ,Seniors,Veterans",2022-03-23T11:02:10.000
« Section 8 » verse une partie du loyer pour les familles à revenus faibles et modérés qui souhaitent louer sur le marché privé.,,,,Housing,,2025-05-28T11:01:30.000
啟蒙教育 (Head Start) 計畫不收取任何費用，全年每天至少提供八小時的服務。,,,,Child care,NYCHA residents,2025-04-02T11:01:16.000
"Благодаря программе HEAP семьи, имеющие право на участие в ней, могут покрывать стоимость отопления своих домов.",,"Прием заявлений на получение стандартного пособия по программе HEAP на 2024–2025 гг. закрыт 7 апреля 2025 года. (https://access-nyc-s3-uploads.s3.amazonaws.com/uploads/2023/11/LDSS-3421-Rev.-5-23.pdf) Загрузитеи заполните бланк заявления. Способы подачи заявления:\nОтправьте заявление по адресу: New York City Home Energy Assistance Program P.O. Box 1401, Church Street Station New York, NY, 10008\nОтправьте заявление по факсу на номер 917-639-2900.",Подать заявление онлайн,Cash & expenses,,2025-05-28T11:02:50.000
"В рамках программы «Section 8» оплачивается часть арендной платы для семей с низким и средним уровнями дохода, которые хотят арендовать жилье на частном рынке.",,,,Housing,,2025-05-28T11:01:54.000
Seniorzy mogą uzyskać częściowe zwolnienie z podatku od nieruchomości.,,"Wnioski należy przesłać pocztą do 15 marca, aby świadczenie zaczęło przysługiwać od 1 lipca tego samego roku.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/translations/sche_initial/sche-initial-poli.pdf) Należy pobrać i wydrukować wstępny wniosek o zwolnienie (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) i wypełnić go. Można również zadzwonić pod numer 311, aby otrzymać wniosek pocztą.\nPrzy składaniu wniosku należy podać dzielnicę, blok i działkę (BBL), w której znajduje się dom. Należy skorzystać z wyszukiwarki adresów nieruchomości, aby uzyskać te informacje.\nNależy zebrać wymagane dokumenty i dołączyć je do wniosku. Bez nich Twój wniosek nie zostanie rozpatrzony.\nWypełniony wniosek oraz wymagane dokumenty należy wysłać na adres: New York City Department of Finance Homeowner Tax Benefits P.O. Box 311 Maplewood, NJ 07040-0311",Złóż wniosek online,Cash & Expenses,"Older adults,Homeowners",2024-10-23T11:01:42.000
COMPASS NYC کے پاس کنڈرگارٹن کے چھوٹے بچوں سے لے کر 12ویں گریڈ تک کے نوجوانوں کے لیے سینکڑوں پروگرام موجود ہیں۔,,,آفٹر اسکول پروگرام تلاش کریں,Enrichment,"Children (0-13),Students,Youth (10+)",2022-03-23T11:01:40.000
고령자는 재산세에 대해 일부 면제를 받을 수 있습니다.,,"그해 7월 1일부터 혜택을 받으려면 3월 15일까지 신청서에 소인이 찍혀 있어야 합니다.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/translations/sche_initial/sche-initial-kor.pdf) 최초 면제 신청서를 다운로드하여 출력 (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) 하고 작성하십시오. 311번으로 전화를 걸어 우편으로 받을 수도 있습니다.\n신청 시 집에 대한 자치구, 블록 및 로트(BBL)가 필요합니다. 재산 주소 검색을 사용하여 정보를 확인하십시오.\n필수 제출 서류를 준비하고 신청서에 동봉하십시오. 서류가 없으면 신청서가 처리되지 않습니다.\n작성된 신청서와 필수 제출 서류를 우편으로 다음 주소로 보내십시오. New York City Department of Finance Homeowner Tax Benefits P.O. Box 311 Maplewood, NJ 07040-0311",온라인 신청,Cash & expenses,"Older adults,Homeowners",2024-10-23T11:01:14.000
HEAP‏ اہل گھرانوں کو اپنے گھروں میں حرارت پیدا کرنے کے اخراجات کو پورا کرنے میں مدد کرتا ہے۔,,"2024-25‏ کی ‏HEAP‏ کی باقاعدہ مراعات ‏(‏HEAP Regular Benefit‏)‎‏ کے لیے درخواستیں 7 اپریل 2025 کو بند ہو گئیں۔ درخواست ‎‏ (https://access-nyc-s3-uploads.s3.amazonaws.com/uploads/2023/11/LDSS-3421-Rev.-5-23.pdf) ڈاؤن لوڈکریں اور اسے مکمل کریں۔ اپنی درخواست جمع کرانے کے لیے آپ یوں کر سکتے ہیں کہ:\nاپنی درخواست اس پتے پر بذریعہ ڈاک بھیجیں: New York City Home Energy Assistance Program P.O. Box 1401, Church Street Station New York, NY, 10008\nاپنی درخواست 2900-639-917 پر فیکس کریں۔",آن لائن درخواست دیں,Cash & Expenses,,2025-05-28T11:02:38.000
خدمات تعليم ورعاية للأطفال في عمر مبكر لمدة تصل إلى 10 ساعات في اليوم.,,\n (https://www1.nyc.gov/site/acs/early-care/forms.page) قم بتنزيل الطلب بلغتك. (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) \nأكمله وأرسله بالبريد إلى: مركز الترحيب بالأسرة التابع لإدارة التعليم بمدينة نيويورك (DOE) 333 7th Ave 12th floor New York NY 10001إذا كنت تحصل على مخصصات HRA بالفعل، فتقدّم بطلب إلى مركز الوصول إلى المخصصات (Benefits Access Center) التابع لإدارة HRA المحدد لك بدلًا من ذلك.,التقدم بطلب عبر الإنترنت,Child care,"Children (0-13),Families,Pregnant & new parents",2024-08-13T11:01:29.000
Recupere su dinero si pagó por la guardería o el cuidado de dependientes adultos mientras trabajaba o buscaba trabajo.,,"Complete elFormulario 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) o el (https://www.irs.gov/forms-pubs/about-form-1040-nr) Formulario 1040NR (https://www.irs.gov/pub/irs-pdf/f2441.pdf) , e incluya elFormulario 2441.",Declaración en línea,Cash & expenses,,2025-02-11T11:01:42.000
يوفر نظام COMPASS NYC مئات البرامج للصغار من سن الحضانة حتى المرحلة الثانية عشر,,,العثور على برنامج ما بعد الدوام المدرسي,Enrichment,Students,2024-10-29T11:01:18.000
ہیڈ اسٹارٹ (Head Start) پروگرامز مفت ہیں اور پورے سال روزانہ کم از کم آٹھ گھنٹے چلتے ہیں۔,,,,Child Care,NYCHA residents,2025-04-02T11:00:51.000
"Uzyskaj zwrot pieniędzy, jeśli płaciłeś(-aś) za opiekę nad dzieckiem lub osobą dorosłą będącą na utrzymaniu, aby umożliwić sobie wykonywanie pracy lub poszukiwanie jej.",,Wypełnijformularz 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) lub (https://www.irs.gov/forms-pubs/about-form-1040-nr) 1040NR (https://www.irs.gov/pub/irs-pdf/f2441.pdf) i dołączformularz 2441.,Złóż zeznanie podatkowe online,Cash & Expenses,,2025-02-11T11:02:03.000
Servicios de cuidado y educación para niños en la primera infancia hasta 10 horas al día.,"Baby,Toddler","\n (https://www1.nyc.gov/site/acs/early-care/forms.page) Descargue la solicitud en su idioma. (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) \nComplételo y envíelo por correo a: Centro de Bienvenida a las Familias del DOE de la ciudad de Nueva York 333 7th Ave 12th floor New York NY 10001Si ya recibe beneficios de la HRA, solicítelos en su Centro de acceso a los beneficios de la Administración de Recursos Humanos (HRA) asignado.",Envíe una solicitud en línea,Child Care,"Children (0-13),Families,Pregnant & new parents",2024-08-13T11:01:08.000
"আপনার শিশুকে একটি বিনামূল্যের, পূর্ণ-দিনের, উচ্চমানের প্রি-K কর্মসূচিতে নথিভুক্ত করুন।",,,প্রি-K এর জন্য আবেদন করুন,Education,"Children (0-13),Families,Immigrants,NYCHA residents,Students",2024-08-09T11:01:21.000
Los beneficios de SNAP pueden ayudar a alimentar a su familia con comida fresca y saludable.,,"\nImprima una solicitud (http://otda.state.nyenet/ldss_eforms/eforms/4826-SP.pdf) , pida una en un centro de SNAP (https://www1.nyc.gov/site/hra/locations/snap-locations.page) , o llame a la línea de información de la HRA al 718-557-1399 para que le envíen una solicitud impresa por correo.\nEnvíe por correo la solicitud y copias de sus documentos a: Division of SNAP Services, Mail Application & Referral Unit (MARU) P.O.Box 24510 Brooklyn, NY, 11201",Envíe una solicitud en línea,Food,Everyone,2024-08-09T11:01:55.000
"Kredi taks ki gen yon valè ki ale jiska $11,000 pou fanmi ki kalifye yo, paran ki pa gen gad timoun yo, epi moun ki travay aplentan oswa a tan pasyèl oswa ki ap travay ak pwòp tèt yo.",,"Si w ranpli taks ou pa lapòs, w ap bezwen fòm sa yo:\nFòm 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) oswa (https://www.irs.gov/forms-pubs/about-form-1040-nr) Fòm 1040NR (https://www.irs.gov/pub/irs-pdf/f1040sei.pdf) pou EITC federal la\nSchedule EIC (https://www.tax.ny.gov/pdf/current_forms/it/it215_fill_in.pdf) pou taks sou revni federal, si ou gen yon timoun\nFòmilè IT-215 (https://www.tax.ny.gov/pdf/current_forms/it/it215i.pdf) pou kredi nan Eta New York\nFich kalkil C nan Fòmilè enstriksyon pou IT-215 pou kredi nan Vil New York",Ranpli anliy,Cash & expenses,,2025-07-02T11:01:50.000
اکر آپ نے کام کرتے ہوئے ‎یا کام کی تلاش کرتے ہوئے امداد اطفال یا بالغ زیر کفالت کی نگہداشت کے لیے ادائیگی کی تو پیسہ واپس پائیں۔,,فارم ‎1040‏ (https://www.irs.gov/pub/irs-pdf/f1040.pdf) یا (https://www.irs.gov/forms-pubs/about-form-1040-nr) فارم ‎1040NR (https://www.irs.gov/pub/irs-pdf/f2441.pdf) ‏ مکمل کریں، اورفارم ‎2441‏شامل کریں۔,آن لائن فائل کریں,Cash & Expenses,,2025-02-11T11:01:42.000
일을 하거나 일자리를 찾는 동안 자녀 또는 성인 부양가족의 돌봄을 위해 비용을 지불했다면 환급을 받으십시오.,,양식 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) 또는 (https://www.irs.gov/forms-pubs/about-form-1040-nr) 양식 1040NR (https://www.irs.gov/pub/irs-pdf/f2441.pdf) 을 작성하고양식 2441도 포함하십시오.,온라인 접수,Cash & expenses,,2025-02-11T11:01:42.000
"Crédit d’impôt pouvant atteindre $11,000 pour les familles admissibles, les parents non gardiens, et les personnes qui travaillent à temps plein ou partiel ou les travailleurs indépendants.",,"Si vous envoyez vos impôts par la poste, vous aurez besoin de ces formulaires :\nFormulaire 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) ou (https://www.irs.gov/forms-pubs/about-form-1040-nr) 1040NR (https://www.irs.gov/pub/irs-pdf/f1040sei.pdf) pour l’EITC fédéral\nAnnexe Crédit de l’impôt sur le revenu (Schedule EIC) (https://www.tax.ny.gov/pdf/current_forms/it/it215_fill_in.pdf) pour la déclaration de revenus fédérale, si vous avez un enfant ;\nFormulaire IT-215 (https://www.tax.ny.gov/pdf/current_forms/it/it215i.pdf) pour le crédit d’impôt de l’État de New York ;\nFeuille de calcul C dans le formulaire des consignes pour le formulaire IT-215 pour le crédit d’impôt de la ville de New York.",Déposez une demande en ligne,Cash & Expenses,,2025-02-06T11:02:15.000
اپنے بچے کا ایک مفت، پورے دن کے لیے، اور اعلیٰ معیار کے حامل Pre-K پروگرام میں اندراج کروائیں۔,,,Pre-K کے لیے درخواست دیں,Education,"Children (0-13),Families,Immigrants,NYCHA residents,Students",2024-08-09T11:01:19.000
Lowered property tax for homeowners with disabilities who earn up to a certain income.,Caregiver,"Applications must be postmarked by March 15th for your benefit to begin on July 1st of the same year.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/dhe-initial.pdf) Download the initial exemption application (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) and fill it in. You can also call 311 to get one mailed to you.\nWhen applying, you will need the borough, block, and lot (BBL) for your home. Use the Property Address Search to get this information.\nGather your required documents and include them with your application. Your application will not be processed without them.\nMail your completed application and required documents to: New York City Department of Finance Homeowner Tax Benefits P.O.BOX 311 Maplewood, NJ 07040-0311",Apply Online,Cash & expenses,"Homeowners,People with disabilities",2025-05-15T11:00:57.000
Los planes médicos calificados son planes de seguro médico enlos que usted paga una determinada cantidad cada mes por lacobertura.,Everyone,"Presente la solicitud para Medicaid por correo postal si:\nmayor de 65 años\nciego certificado\ncon discapacidades certificado\nEstá institucionalizado y solicitando la cobertura de atenciónde la residencia de atención de largo plazo.Complete lasolicitud (https://www.health.ny.gov/forms/doh-4220.pdf) y elformulario del Suplemento A (https://www.health.ny.gov/forms/doh-5178a.pdf) . Envíe por correo su solicitud a: Unidad deelegibilidad inicial del MAP PO Box 24390, Brooklyn, NY11202",Inscríbase en línea,Health,,2024-10-24T11:01:19.000
Seksyon 8 la peye yon pati nan lwaye a pou fanmi ki gen revni ba ak modere ki vle lwe nan mache prive a.,,,,Housing,,2025-05-28T11:02:14.000
يمكن لملاك المنازل الحصول على إعفاء جزئي من ضرائب أملاك المدارس.,,"إذا كان عمرك 65 عامًا أو أكثر في العام الذي تقدمت فيه وحصلت على إعفاء STAR على الممتلكات الخاصة بك في 2015-16 ، فيمكنك التقدم بطلب للحصول على Enhanced STAR (E-STAR). تقدّم بطلب إلى إدارة المالية في مدينة نيويورك من خلال استكمال (https://www1.nyc.gov/site/finance/benefits/landlords-star.page) طلب """" (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star-to-estar.pdf) STAR to ESTAR (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star_appl.pdf) """".إذا كان لديك إعفاء STAR أساسي على ممتلكاتك منذ عام 2015 أو قبل ذلك، وفقدته منذ ذلك الحين، يمكنك التقدم بطلب لاستعادة إعفاء STAR من خلال إكمال طلب استعادة مخصص STAR.",تقديم الطلب عبر الإنترنت,Cash & expenses,Homeowners,2024-10-22T11:01:44.000
"Ulga podatkowa o wartości do $11,000 dla kwalifikujących się rodzin, rodziców pozbawionych opieki prawnej oraz osób fizycznych pracujących na pełny etat, część etatu lub w ramach samozatrudnienia.",,W przypadku składania zeznania podatkowego drogą pocztową potrzebne będą następujące formularze:\nFormularz 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) lub (https://www.irs.gov/forms-pubs/about-form-1040-nr) formularz 1040NR (https://www.irs.gov/pub/irs-pdf/f1040sei.pdf) dotyczący federalnej ulgi EITC\nWykaz ulg od dochodów (Schedule EIC) (https://www.tax.ny.gov/pdf/current_forms/it/it215_fill_in.pdf) do zeznania federalnego w przypadku posiadania dziecka\nFormularz IT-215 (https://www.tax.ny.gov/pdf/current_forms/it/it215i.pdf) dotyczący ulgi podatkowej stanu Nowy Jork\nArkusz roboczy C w instrukcji do formularza IT-215 w przypadku ulgi podatkowej miasta Nowy Jork,Złóż zeznanie podatkowe online,Cash & Expenses,,2025-02-06T11:02:13.000
Sèvis gadri ak edikasyon pou timoun piti jiska 10 èdtan pa jou.,,"\n (https://www1.nyc.gov/site/acs/early-care/forms.page) Telechaje aplikasyon an nan lang ou. (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) \nRanpli epi voye l pa lapòs nan: NYC DOE Family Welcome Center 333 7th Ave 12th floor New York NY 10001Si ou deja gen avantaj HRA, fè demann ou an nan Sant Aksè pou Avantaj HRA yo asiyen w lan pito.",Aplike anliy,Child care,"Children (0-13),Families,Pregnant & new parents",2024-08-13T11:01:25.000
"Qualified Health Plans — это планы медицинскогострахования, по условиям которых вам необходимо ежемесячно вноситьопределенную сумму за страховое покрытие.",,"Подайте заявление на Medicaid по почте, если вы:\nстарше 65 лет;\nимеете слепоту, подтвержденную документально;\nимеете инвалидность, подтвержденную документально;\nнаходитесь в доме престарелых и подаете заявление насоответствующее страхование.Заполнитезаявление (https://www.health.ny.gov/forms/doh-4220.pdf) идополнительную форму А (https://www.health.ny.gov/forms/doh-5178a.pdf) . Отправьте заявление по такому адресу: MAP InitialEligibility Unit PO Box 24390, Brooklyn, NY 11202",Подать заявку онлайн,Health,"Everyone,Immigrants",2024-10-04T11:01:07.000
يسهم برنامج مساعدات الطاقة المنزلية (HEAP) في إعانة الأسر المعيشية المؤهلة من أجل تغطية النفقات المتعلقة بتدفئة منازلهم.,,"أُغلقت مدة تقديم الطلبات لعام 2024-25 للحصول على المخصصات المنتظمة من برنامج المساعدة في دفع نفقات الطاقة المنزلية HEAP‏ وذلك في 7 أبريل 2025.‏ (https://access-nyc-s3-uploads.s3.amazonaws.com/uploads/2023/11/LDSS-3421-Rev.-5-23.pdf) قم بتنزيلالطلب وإكماله. لتقديم طلبك، يمكنك:\nأرسل طلبك بالبريد إلى العنوان: New York City Home Energy Assistance Program P.O. Box 1401, Church Street Station New York, NY, 10008\nأرسل طلبك بالفاكس إلى الرقم 2900-639-917.",التقدم بطلب عبر الإنترنت,Cash & expenses,,2025-05-28T11:02:01.000
Los propietarios pueden recibir una exención parcial de los impuestos inmobiliarios escolares.,Caregiver,"Si tendrá 65 años o más en el año en que presente la solicitud y ha tenido una exención STAR en su propiedad en 2015-16, puede solicitar Enhanced STAR (E-STAR). Solicítelo en el Departamento de Finanzas de la Ciudad de Nueva York (https://www1.nyc.gov/site/finance/benefits/landlords-star.page) completando la solicitud “ (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star-to-estar.pdf) STAR to ESTAR (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/star_appl.pdf) ”.Si tenía una exención STAR básica en su propiedad desde 2015 o anterior, y desde entonces la ha perdido, puede solicitar restaurar su exención STAR completando la solicitud de restauración de beneficios STAR.",Postularse en línea,Cash & expenses,Homeowners,2024-10-22T11:01:49.000
A rent freeze program to help seniors 62 and older stay in their home.,Caregiver,"\nPrint and complete the (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/scrie/scrie-initial-application-only.pdf) initial application (https://www1.nyc.gov/assets/hpd/downloads/pdfs/services/scrie-application.pdf) (or call 311 for an application).\nMail your completed and signed application along with supporting documents to: Rent Freeze Program – SCRIEP.O. Box 3179Union, NJ 07083If you live in Mitchell-Lama or Redevelopment Company development housing:\n (mailto:SCRIE@hpd.nyc.gov) Download the HPD SCRIE application and complete it.\nEmail your completed application to SCRIE@hpd.nyc.gov or mail it to: HPD SCRIE Unit100 Gold Street, 7th floor New York, New York, 10038",,Housing,Older Adults,2025-02-19T11:01:36.000
"Подавая налоговую декларацию за 2024 год, семьи могут потребовать предоставления налогового вычета в сумме до $2,000 на каждого соответствующего критериям ребенка возрастом до 17 лет.",,"Если вы отправляете налоговую декларацию по почте, заполнитеформу 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) иприложение 8812 (https://www.irs.gov/pub/irs-pdf/f1040s8.pdf) ‎.",,Cash & expenses,Pregnant & new parents,2025-02-06T11:00:54.000
الخطط الصحية المؤهلة عبارة عن خطط تأمين صحي تدفع فيها مبلغًامحددًا كل شهر مقابل التغطية.,,"تقدم بطلب إلى برنامج Medicaid عن طريق البريد إذا كنت:\n65 عامًا أو أكثر\nأعمى موثق\nمعاق موثق\nداخل مؤسسة وتتقدم للحصول على تغطية الرعاية التمريضية فيالمنزلأكملالطلب (https://www.health.ny.gov/forms/doh-4220.pdf) ونموذج الملحق أ (https://www.health.ny.gov/forms/doh-5178a.pdf) . أرسِل طلبك إلى: MAP Initial Eligibility UnitPO Box 24390, Brooklyn, NY 11202",التسجيل عبر الإنترنت,Health,"Everyone,Immigrants",2024-10-04T11:01:32.000
تخفض الضرائب العقارية على المحاربين القدامى المؤهلين الذين خدموا في نزاعات معينة.,,"يجب أن تكون الطلبات مختومة بختم بريدي بحلول 15 مارس حتى تبدأ مخصصاتك في الأول من يوليو من نفس العام.\n (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/veterans.pdf) قم بتنزيل طلب الإعفاء الأولي (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) واملأه. يمكنك أيضًا الاتصال على الرقم 311 لإرسال ختم عبر البريد.\nعند التقديم، سوف تحتاج إلى منطقتك الإدارية والمربع السكني وقطعة الأرض (BBL) لمنزلك. استخدم البحث عن عنوان العقار (Property Address Search) للحصول على هذه المعلومات.\nاجمع المستندات المطلوبة وقم بتضمينها مع طلبك. لن يتم معالجة طلبك دونها.\nأرسل طلبك المكتمل والمستندات المطلوبة بالبريد إلى:New York City Department of FinanceP.O.BOX 311 Maplewood, NJ 07040-0311",التقدم بطلب عبر الإنترنت,Cash & expenses,"Veterans,Homeowners",2024-10-22T11:01:54.000
যোগ্য প্রাক্তন সমরকর্মীদের জন্য নিম্ন সম্পত্তি কর যারা নির্দিষ্ট কিছু সংঘাতে কাজ করেছেন।,,"একই বছরের 1লা জুলাই থেকে শুরু হওয়া আপনার সুবিধার জন্য আবেদনপত্রগুলিকে 15ই মার্চের মধ্যে পোস্টমার্ক করতে হবে।\n (https://www1.nyc.gov/assets/finance/downloads/pdf/payment_operations/2020/veterans.pdf) প্রাথমিক ছাড়ের আবেদন পত্র ডাউনলোড করুন (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) এবং সেটিকে পূরণ করুন। আপনাকে মেল করে একটি পাঠানোর জন্য আপনি 311 নম্বরে কল করতে পারেন।\nআবেদন করার সময়, আপনার বাড়ির বরো, ব্লক এবং লট (BBL) প্রয়োজন হবে। (https://a836-pts-access.nyc.gov/care/Search/Disclaimer.aspx?FromUrl=../search/commonsearch.aspx?mode=address) এই তথ্য পেতে সম্পত্তি ঠিকানা অনুসন্ধান (Property Address Search) ব্যবহার করুন।\nআপনার প্রয়োজনীয় নথি সংগ্রহ করুন এবং আপনার আবেদনের সাথে অন্তর্ভুক্ত করুন। আপনার আবেদনপত্র এগুলি ছাড়া প্রক্রিয়া করা হবে না।\nআপনার সম্পূর্ণ করা আবেদনপত্র এবং প্রয়োজনীয় নথিপত্র ডাকযোগে পাঠান এই ঠিকানায়:New York City Department of Finance P.O.BOX 311 Maplewood, NJ 07040-0311",অনলাইনে আবেদন করুন,Cash & Expenses,"Veterans,Homeowners",2024-10-22T11:01:29.000
