plain_language_eligibility,get_help_by_email,get_help_by_calling_311,get_help_online,how_to_apply_or_enroll_online,program_acronym
کوئی بھی ‏Qualified Health Plan‏ میں اندراج کروا سکتا ہے۔\nزیادہ ترتارکین وطن ‏NY State of Health Marketplace‏ میں اندراج کروا سکتےہیں۔ مالی مدد دستیاب ہے۔\nکوئی بھی شخصبیمہ کمپنی کو کال کر کے یا ان کی ویب سائٹ ملاحظہ کر کے کسی بیمہکمپنی سے براہ راست نجی صحت بیمہ خرید سکتا ہے۔,,311 پر کال کریں صحت بیمہ سے متعلق عمومی سوالاتکیلئے اور ذاتی معاون تلاش کرنے کے واسطے۔,صحت بیمہ کے اختیارات کے بارے میں مزید جانیںHRA کے پورے شہر میں صحتبیمہ تک رسائی (https://www1.nyc.gov/site/ochia/coverage-care/insurance-options.page) کے ذریعے اپنے اختیارات کے بارے میں مزید جانیں۔ اندراجمیں مدد کی درخواست کریںGetCoveredNYC (https://www1.nyc.gov/nyc-resources/get-covered.page) نیو یارک کے باشندوں کو صحت بیمہ کیلئے اندراج میں مدد کرتا ہے۔مختص ماہرین آپ کی زبان میں آپ کی مدد مفت کر سکتے ہیں۔ مشیرکی کال کی درخواست کریں اندراج کے مشیر کی جانب سے کال موصولکرنے کیلئے ایکہیلتھ انشورنس انرولمنٹ اسسٹنسانکوائری فارم (https://nycdohmh.surveymonkey.com/r/7BB62M3) مکمل کریں۔ اندراج میں مفت مدد ترک وطن کی حیثیت سے قطع نظر اوربہت سی زبانوں میں دستیاب ہے۔ آپ کی معلومات کو نجی رکھا جائے گا۔,NY State of Health (https://nystateofhealth.ny.gov/) ‏ کے ذریعے صحت بیمہ میں اندراج کروائیں۔,QHP
"Kwalifikowalność do programów w ramach « Section 8 »/HCV oceniana jest na podstawie ogólnego dochodu na rodzinę oraz tego, jak jest ona liczna.\nWielkość gospodarstwa domowego|Dochód roczny\n1|‎$56,700\n2|‎$64,800\n3|‎$72,900\n4|‎$81,000\n5|‎$87,500\n6|‎$94,000\n7|‎$100,450\n8|‎$106,950\n",,Zadzwoń pod numer 311 Poproś o pomoc w ramach Section 8,Odwiedź stronę (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) Więcej informacji na temat « Section 8 » można znaleźćna stronie internetowej NYCHA.,,HCV
Tous les enfants de la ville de New York nés en 2020 peuvent s’inscrire pour l’année scolaire 2024-2025. Les enfants qui souffrent d’un handicap (https://www.schools.nyc.gov/enrollment/enrollment-help/meeting-student-needs/students-with-disabilities) ou qui apprennent l’anglais (https://www.schools.nyc.gov/enrollment/enrollment-help/meeting-student-needs/students-learning-english) peuvent s’inscrire. Les enfants ne doivent pas nécessairement avoir acquis la propreté pour entrer en maternelle.,Appelez le service des admissions au programme Pre-K Vous pouvez envoyer un courrier électronique à l’adresse es_enrollment@schools.nyc.gov (mailto:ES_Enrollment@schools.nyc.gov) si vous avez des questions sur les inscriptions au programme Pre-K.,Appeler le 311 Dites « Pre-K for All » (Pre-K pour tous),Consulter le site internet Rendez-vous sur le site internet du programme Pre-K du DOE de la ville de New York (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) pour en savoir plus sur la procédure d’admission au programme.,"Faites une demande d’inscription sur MySchools (https://www.myschools.nyc/en/) entre le 10 janvier 2024 et le 1er mars 2024. Vous pouvez remplir votre demande en anglais, arabe, bengali/bangla, chinois, créole haïtien, français, coréen, russe, espagnol ou ourdou. Vous trouverez également des programmes Pre-K à la mi-journée dans MySchools.",Pre-K
"Pour être éligible à SCRIE, vous devez pouvoir répondre « Yes » (Oui) à toutes les questions suivantes :\nÊtes-vous âgé de 62 ans ou plus ?\nVotre nom est-il sur le bail ?\nLes revenus annuels totaux de votre foyer sont-ils de 50 000 $ US ou moins ?\nVotre loyer représente-t-il plus d'un tiers de vos revenus mensuels ?\nHabitez-vous dans la ville de New York dans l'un de ces types de logement ?\nun appartement dont le loyer est réglementé selon le système « rent stabilization »\nun appartement dont le loyer est réglementé selon le système « rent control »\nun appartement de type « Rent Regulated Hotels, Single Room Occupancy Unit (SRO) »\nun lotissement Mitchell-Lama\nune société immobilière de redéveloppement à dividendes limités\nun lotissement d'une société de redéveloppement\nun lotissement d'une Housing Development Fund Company (société de fonds de développement immobilier)","Contactez le SCRIE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) Demandez une assistance (mailto:SCRIE@hpd.nyc.gov) au ministère des Finances.Envoyez un courriel au HPDPour toute question sur le SCRIE supervisé par le HPD, envoyez un courriel à l’adresse SCRIE@hpd.nyc.gov.",Appelez le 311Demandez à parler à un spécialiste SCRIE specialists.,"Rendez-vous sur les sites internetPour en savoir plus, consultez le site internet du programme de gel des loyers de la ville de New York (http://www1.nyc.gov/site/rentfreeze/index.page) .Consultez la foire aux questions (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) sur le programme de gel des loyers pendant l’épidémie de COVID-19.Si vous vivez dans un logement social du HPD, consultez le site internet du HPD (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) pour en savoir plus sur le SCRIE supervisé par le HPD.","Déposez une demande en ligneSi vous déposez une demande pour le programme SCRIE pour la première fois, vous pouvez le faire en ligne (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) .Déposez une demande pendant un rendez-vous virtuelVous pouvez obtenir de l’aide pour déposer une demande au programme SCRIE en (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) prenant un rendez-vous virtuel. Lors de la prise de rendez-vous :\nSous « Select Service » (Sélectionner le service), choisissez les Programmes d’exemption de propriétaire et de locataire. Ensuite, choisissez « Rent Freeze (SCRIE or DRIE) Initial application » (la demande initiale de gel de loyer SCRIE ou DRIE).\nSous « Select Location » (Sélectionner un lieu), choisissez « Exemptions Virtual Appointments » (Rendez-vous virtuels pour l’exemption).\nChoisissez une date et une heure. Ensuite, remplissez vos coordonnées pour créer votre rendez-vous.",SCRIE
,,,আপনি দাবি করতে পারেন এমন ট্যাক্স ক্রেডিটগুলি (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) সম্বন্ধে জানুন।,ক্রেডিট ক্লেইম করতেgetyourrefund.org (https://www.getyourrefund.org/) -এ বিনামূল্যে আপনার ফেডারেল কর জমা দিন।,
কিন্ডারগার্টেন থেকে 12তম গ্রেডের সকল NYC শিক্ষার্থী COMPASS কার্যক্রমগুলিতে নথিভুক্ত হওয়ার যোগ্য।প্রতিটি প্রোগ্রামের ভিন্ন বয়স এবং যোগ্যতার প্রয়োজনীয়তা থাকতে পারে।,,"311-তে কল করুন""স্কুল ছুটির পরের ব্যাপক কার্যক্রমের সহায়তার"" ব্যাপারে জিজ্ঞাসা করুন।",অনলাইন (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD থেকে COMPASS সম্পর্কে আরও জানুন।,"আপনার এলাকায় কর্মসূচি খুঁজতে Discover DYCD ব্যবহার করতে পারেন। শুরু করার জন্য:\nআবিষ্কার করুন DYCD (https://discoverdycd.dycdconnect.nyc/programme-public?categoryList=Afterschool%20Programs) ওয়েবসাইটে যান।\n""স্কুল ছুটির পরের কার্যক্রম"" বেছে নিয়ে ""অনুসন্ধান করুন"" এ ক্লিক করুন।",COMPASS NYC
\n이 프로그램에서는 자격 조건에 부합하는지 결정하기 위해 몇 가지 사항을 확인합니다. 그 중 몇 가지는 다음과 같습니다.소득 금액\n수혜 금액\n가구 구성원 수\n현금이나 당좌 예금 계좌와 같은 자금원,,311에 전화하세요 현금 보조금을 신청하세요.,웹사이트를 방문하십시오 현금 보조금 웹사이트 (http://www1.nyc.gov/site/hra/help/cash-assistance.page) 를 방문해 이 프로그램에 대해 자세히 알아보세요.,"\n (https://a069-access.nyc.gov/accesshra/) ACCESS HRA (http://www1.nyc.gov/site/hra/locations/job-locations.page) 에서 신청하세요. 현금 보조금, SNAP 및 Medicaid를 동시에 신청하실 수 있습니다.\nACCESS HRA 모바일 앱을 이용해 신청 진행 상황을 추적하거나 문서를 제출하실 수 있습니다.\n전화 인터뷰를 위해 연락을 받을 것입니다. 대면 인터뷰를 위해 HRA 혜택 접근 센터를 방문하실 수도 있습니다.",
"STAR 福利分為兩種類型：初級 STAR 和高級 STAR。要符合任意一種的資格，以下全部問題均需回答「是」：\n房產是否是至少一位業主的主要居所？\n您是否居住在以下類型的房屋中？\n獨棟房屋\n公寓\n合作公寓\n活動房屋\n農舍\n混合用途房產，包括公寓建築（僅業主自住部分具有資格）對於基本 STAR，您還應該能夠對這個附加問題回答「是」：\n家中同住的所有屋主及其配偶年度總收入不得高於 $500,000。\n如果您擁有不動產並在 2015 年至 2016 年間享有初級 STAR，但後來卻失去資格，則可以恢復豁免。若要恢復您的初級 STAR，您的收入必須為 $250,000 或以下。對於增強型 STAR，您還應該能夠對以下附加問題回答「是」：\n如果您目前享有初級 STAR，且在當年度申請時已年滿 65 歲或以上，則可能符合高級 STAR 的資格 (https://www1.nyc.gov/site/finance/benefits/landlords-star.page) 。所有屋主和同住配偶或註冊家庭夥伴的總收入不得超過 $92,000。",寄送電子郵件給 STAR如果您對 STAR 有疑問，請寄送電子郵件至 (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) 紐約市財政部。,致電 311請詢問 學校稅收減免計劃 (STAR)。,造訪網站造訪 STAR 網站 (https://tax.ny.gov/pit/property/star/default.htm) 瞭解更多資訊。,"如果您擁有自己的財產並在 2015-16 年獲得了 STAR，但後來失去了福利並希望恢復它，您可以向財政部申請基本 STAR。\n (https://www1.nyc.gov/assets/finance/jump/smartfile-estar-star.html) STAR/ESTAR 在線初始申請 (https://www1.nyc.gov/assets/finance/jump/smartfile-star-estar-coop.html) \n (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_STAR) STAR/ESTAR 在線合作社初始申請 (https://www.tax.ny.gov/pit/property/star/) 您可以向財政部申請 Enhanced STAR (E-STAR) 在線\n如果您是有資格獲得增強型 STAR 的基本 STAR 接收者，\n如果您在申請的那一年年滿 65 歲，並且在 2015-16 年對您的財產獲得了 STAR 豁免。如果您的收入大於 250, 000 美元且小於或等於 500,000 美元，您可以 在線註冊紐約州 STAR 稅收抵免或致電 518-457-2036。",STAR
"Вы имеете право на получение льгот по программе SCRIE, если вы ответили «да» на все перечисленные ниже вопросы:\nВам 62 года или больше?\nВаше имя указано в договоре аренды?\nСовокупный доход вашего домохозяйства составляет не более $50 000?\nАрендная плата составляет более трети вашего месячного дохода?\nВы живете в городе Нью-Йорке в одном из указанных ниже типов жилья?\nКвартира со стабилизированной арендной платой\nКвартира с контролируемой арендной платой\nГостиничное помещение с регулируемой арендной платой или комната на одного человека (SRO)\nКвартира в жилом комплексе Mitchell-Lama\nКвартира по программе Limited Dividend\nКвартира, принадлежащая компании по реконструкции жилых районов\nКвартира в кооперативе собственников жилья (HDFC)","Свяжитесь с представителями SCRIE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) Обратитесь за помощью (mailto:SCRIE@hpd.nyc.gov) в Департамент финансов.Отправьте письмо на электронную почту HPDПо вопросам о программе SCRIE, контролируемой HPD, напишите по адресу электронной почты SCRIE@hpd.nyc.gov.",Позвоните по телефону 311Попросите соединить вас со специалистом программы SCRIE.,"Посетите веб-сайтыЧтобы получить подробную информацию, посетите веб-сайт программы г. Нью-Йорка по освобождению от повышения арендной платы (http://www1.nyc.gov/site/rentfreeze/index.page) .Ознакомьтесь с часто задаваемыми вопросами (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) по Программе освобождения от повышения арендной платы на период пандемии COVID-19.Если вы живете в жилом комплексе HPD, посетите веб-сайт HPD (https://www1.nyc.gov/site/hpd/services-and-information/scrie-drie.page) , чтобы больше узнать о программе SCRIE, которую контролирует HPD.","Подайте онлайн-заявкуЕсли вы впервые рассматриваете возможность участия в программе SCRIE, то можете подать заявку онлайн (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) .Подайте заявку во время виртуального собеседованияВы можете получить помощь при подаче заявки в SCRIE (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) во время назначенного виртуального собеседования. При назначении даты собеседования:\nВ разделе Select Service (Выбрать услугу) укажите Renter and Homeowner Exemption Programs (Программы освобождения для арендаторов и домовладельцев). Далее выберите первоначальную заявку Rent Freeze (SCRIE or DRIE) (Программы освобождения от повышения арендной платы SCRIE или DRIE).\nВ разделе Select Location (Выбрать местоположение) выберите Exemptions Virtual Appointments (Виртуальные консультации по освобождению от повышения арендной платы).\nВыберите дату и время. Потом заполните контактную информацию, чтобы создать заявку.",SCRIE
سابق فوجیوں کی چھوٹ کا اہل قرار پانے کے لیے، آپ کو ان تمام سوالات کا جواب ہاں میں دینے کے قابل ہونا چاہیے۔\nکیا آپ وثیقہ یافتہ موجودہ مالک، شریک حیات، یا پراپرٹی کے مالک کی غیر شادی شدہ بیوہ/رنڈوا ہیں؟\nکیا پراپرٹی آپ کی بنیادی رہائش ہے؟\nکیا آپ ایک سابق فوجی ہیں جس نے درج ذیل میں سے ایک تصادم میں امریکی مسلح افواج میں خدمت انجام دی ہے؟\nخلیج فارس کا تنازعہ (افغانستان اور عراق کے تنازعات کے بشمول) - 2 اگست 1990 سے لے کر اب تک\nویت نام کی جنگ - 1 نومبر 1955 سے 7 مئی 1975 تک\nکوریائی جنگ - 27 جون 1950 تا 31 جنوری 1955\nدوسری جنگ عظیم - 7 دسمبر 1941 سے 31 دسمبر 1946 تک\nپہلی جنگ عظیم - 6 اپریل 1917 سے 11 نومبر 1918 تک,شعبۂ مالیات کو ای میل کریںاگر اس پروگرام سے متعلق کوئی آپ کے سوالات ہیں، تو شعبۂ مالیات (D (http://www1.nyc.gov/site/finance/pay-now/person.page) (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) epartment of Finance) کو ای میل کریں۔,311 پر کال کریںVeterans' Exemption (سابقہ فوجیوں کا استثناء) کے بارے میں پوچھیں.,ویب سائیٹ ملاحظہ کریںمزید معلومات کے لیے سابقہ فوجیوں کے استثناء کی ویب سائیٹ ملاحظہ کریں (http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page) ۔,اسی سال 1 جولائی سے شروع ہونے والی مراعات کے لیے 15 مارچ تک درخواست دیں۔ اگر 15 مارچ سنیچر اتور کو یا چھٹی کے دن آتا ہے تو آخری تاریخ اگلا کاروباری دن ہے۔ (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_VET) آن لائن درخواست مکمل کریں (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_VET_COOP) ۔ اگر آپ کوآپ میں رہتے ہیں، تو (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) co-ops کی ایپلیکیشن کا استعمال کر کے درخواست دیں۔درخواست دیتے وقت، آپ کو اپنے گھر کے بورو، بلاک، اور لاٹ (BBL) کی ضرورت ہوگی۔یہ معلومات حاصل کرنے کے لیے پراپرٹی ایڈریس سرچ استعمال کریں۔,
"Il existe deux types d’allocations STAR : le service STAR de base et le service STAR amélioré. Pour être admissible à l’une ou l’autre de ces formules, vous devez pouvoir répondre « oui » à toutes les questions suivantes :\nLa propriété est-elle la résidence principale d'au moins un des propriétaires ?\nHabitez-vous dans l'un de ces types de logement ?\nune maison\nun appartement\nun appartement appartenant à une société coopérative\nune maison usinée\nune maison de campagne\nune propriété polyvalente, y compris des immeubles (seule la partie de l'immeuble occupée par le propriétaire est éligible)Pour Basic STAR, vous devriez aussi être en mesure de répondre « Yes » (Oui) à la question supplémentaire suivante:\nLe revenu annuel combiné de tous les propriétaires qui vivent dans le logement et leurs conjoints doit être inférieur ou égal à 500 000 $.\nSi vous étiez propriétaire et que vous avez bénéficié d’une exemption STAR de base en 2015-16 mais que vous l’avez perdue par la suite, vous pouvez rétablir l’exemption. Pour cela, le montant de vos revenus doit être inférieur ou égal à 250 000 $.Pour Enhanced STAR, vous devriez aussi être en mesure de répondre « Yes » (Oui) aux questions supplémentaires suivantes :\nSi vous bénéficiez actuellement d’une exemption STAR de base, vous pouvez être admissible au service STAR amélioré si vous avez 65 ans ou plus pendant l’année de demande (https://www1.nyc.gov/site/finance/benefits/landlords-star.page) . Le total des revenus de tous les propriétaires et les conjoints résidents ou les concubins déclarés ne peut pas dépasser 92 000 $.",Envoyez un email à STAREnvoyez un email au (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) NYC Department of Finance (ministère des finances de la ville de New York) si vous avez des questions sur STAR.,Appelez le 311Demandez des renseignements sur le Programme d'allégement fiscal relatif à la taxe scolaire.,Consultez le site webRendez-vous sur le site web de STAR (https://tax.ny.gov/pit/property/star/default.htm) pour obtenir plus d'informations.,"Voit hakea Basic STAR -ohjelmaa valtiovarainministeriöltä, jos omistit kiinteistön ja sait STAR: n vuosina 2015-16, mutta menetit myöhemmin edun ja haluat saada sen takaisin.\n (https://www1.nyc.gov/assets/finance/jump/smartfile-estar-star.html) STAR/ESTAR Online Initial -sovellus (https://www1.nyc.gov/assets/finance/jump/smartfile-star-estar-coop.html) \n (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_STAR) STAR/ESTAR Online Initial Application for Co-ops (https://www.tax.ny.gov/pit/property/star/) Vous pouvez faire une demande pour Enhanced STAR (E-STAR) en ligne auprès du ministère des Finances\nsi vous êtes un bénéficiaire de Basic STAR admissible à Enhanced STAR,\nsi vous aurez 65 ans ou plus dans l'année où vous présentez votre demande et que vous avez bénéficié d'une exemption STAR sur votre propriété en 2015-2016.Si votre revenu est supérieur à 250 000 $ et inférieur ou égal à 500 000 $, vous pouvez vous inscrire en ligne pour le crédit d'impôt STAR de l'État de New York ou en appelant le 518-457-2036.",STAR
"تعتمد الأهلية للاستفادة من برامج المادة 8 / HCV بشكل أساسي على مقدار دخل أسرتك وعدد أفرادها.\nحجم الأسرة المعيشية|الدخل السنوي\n1|$56,700\n2|$64,800\n3|$72,900\n4|$81,000\n5|$87,500\n6|$94,000\n7|$100,450\n8|$106,950\n",,اتصل هاتفيًا بالرقم 311 اطلب مساعدة برنامج المادة 8.,تفضَّل بزيارة الموقع الإلكتروني (http://www1.nyc.gov/site/nycha/section-8/about-section-8.page) معرفة المزيد حول برنامج المادة 8من الموقع الإلكتروني لهيئة NYCHA.,,HCV
"Aby móc skorzystać ze zwolnienia dla weteranów, trzeba być w stanie odpowiedzieć twierdząco na wszystkie poniższe pytania.\nCzy jesteś obecnym właścicielem nieruchomości, małżonkiem lub wdową/wdowcem po właścicielu nieruchomości, który nie zawarł ponownie związku małżeńskiego?\nCzy nieruchomość jest Twoim głównym miejscem zamieszkania?\nCzy jesteś weteranem służb zbrojnych Stanów Zjednoczonych biorącym udział w jednym z poniższych konfliktów?\nKonflikt w Zatoce Perskiej (obejmuje konflikty w Afganistanie i Iraku) – od 2 sierpnia 1990 r. do chwili obecnej\nWojna w Wietnamie – od 1 listopada 1955 r. do 7 maja 1975 r.\nWojna w Korei – od 27 czerwca 1950 r. do 31 stycznia 1955 r.\nII wojna światowa – od 7 grudnia 1941 r. do 31 grudnia 1946 r.\nI wojna światowa – od 6 kwietnia 1917 r. do 11 listopada 1918 r.",Wyślij e-mail do Departamentu Finansów (Department of Finance)W razie pytań na temat programu wyślij e-mail do (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) Departamentu Finansów (Department of Finance).,Zadzwoń pod numer 311Zapytaj o zwolnienie weteranów z podatku,Zapraszamy do odwiedzenia strony internetowejWięcej informacji można uzyskać na stronie internetowej poświęconej zwolnieniu z podatku dla weteranów (http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page) .,"Wniosek należy złożyć do 15 marca, aby uzyskać świadczenia od 1 lipca tego samego roku. Jeśli 15 marca wypada w weekend lub święto, termin upływa następnego dnia roboczego. (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_VET) Należy wypełnić wniosek online (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_VET_COOP) . W przypadku mieszkania w mieszkaniu spółdzielczym wniosek można złożyć, korzystając z (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) wniosku dla mieszkań spółdzielczych.Przy składaniu wniosku należy podać dzielnicę, blok i działkę (BBL), w której znajduje się dom. Należy skorzystać z wyszukiwarki adresów nieruchomości, aby uzyskać te informacje.",
"재향군인 면제 자격 조건에 부합하려면 다음 모든 문항에 대한 답이 예여야 합니다.\n현재 증서를 소유한 소유주, 배우자 또는 재산 소유주의 재혼하지 않은 생존 배우자이십니까?\n재산이 주 거주지입니까?\n다음 분쟁 지역 중 한 곳에서 미군으로 복무한 경험이 있는 재향군인입니까?\n걸프 전쟁(아프가니스탄 및 이라크 분쟁 포함) - 1990년 8월 2일~현재\n베트남 전쟁 - 1955년 11월 1일~1975년 5월 7일\n한국 전쟁 - 1950년 6월 27일~1955년 1월 31일\n2차 대전 - 1941년 12월 7일~1946년 12월 31일\n1차 대전 - 1917년 4월 6일~1918년 11월 11일",재무부로 이메일 전송이 프로그램과 관련한 문의 사항은  (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) 재무부로 이메일을 보내주십시오.,311번으로 전화재향 군인 면제에 대해 문의하십시오.,웹 사이트 방문자세한 내용은 재향 군인 면제 웹 사이트 (http://www1.nyc.gov/site/finance/benefits/landlords-veterans.page) 에서 확인할 수 있습니다.,"그해 7월 1일부터 혜택을 받으려면 3월 15일까지 신청하십시오. 3월 15일이 주말이나 공휴일인 경우 마감일은 다음 영업일입니다. (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_VET) 온라인 신청서 작성 (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_VET_COOP) . 공동조합에 거주할 경우, (https://a836-pts-access.nyc.gov/care/search/commonsearch.aspx?mode=address) 공동조합 신청서를 사용하여 신청하십시오.신청 시 집에 대한 자치구, 블록 및 로트(BBL)가 필요합니다. 재산 주소 검색을 사용하여 정보를 확인하십시오.",
"To be eligible for STAR, you should be a homeowner of one of these types of housing:\na house\na condo\na cooperative apartment\na manufactured home\na farmhouse\na mixed-use property, including apartment buildings (only the owner-occupied portion is eligible)\n|Basic STAR|Enhanced STAR\nAge|No age restriction|All owners must be 65 or older as of December 31 of the year of the exemption.However, only one owner needs to be 65 or older if the property is jointly owned by only a married couple or only siblings.\nPrimary residence|An owner must live on the property as their primary residence.|At least one owner who's 65 or older must live on the property as their primary residence.\nIncome|The total income of only the owners and their spouses who live at the property must be:\n$500,000 or less for the credit\n$250,000 or less for the exemption (you cannot apply for the exemption anymore but you can restore it if you got it in 2015-16 but lost the benefit later.)|Total income of all owners and resident spouses or registered domestic partners must be $98,700 or less.\n* Income eligibility for the 2024 STAR credit is based on your federal or state income tax return from the 2022 tax year.",Email STAREmail the (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) NYC Department of Finance if you have question about STAR.,Call 311 Ask about the School Tax Relief Program (STAR).,Visit the website Visit the STAR website (https://tax.ny.gov/pit/property/star/default.htm) for more information.,"If you're a new homeowner:\nApply online for the New York State STAR tax credit (https://www.tax.ny.gov/pit/property/star/) .If you get the Basic STAR exemption (as of 2015-16) and are now eligible for Enhanced STAR:\nApply online through the Department of Finance with the (https://www1.nyc.gov/assets/finance/jump/smartfile-estar-star.html) STAR/ESTAR Online Initial Application (https://www1.nyc.gov/assets/finance/jump/smartfile-star-estar-coop.html) or (https://www1.nyc.gov/assets/finance/jump/smartfile-estar-star.html) STAR/ESTAR Online Initial Application for Co-ops (https://www1.nyc.gov/assets/finance/jump/smartfile-star-estar-coop.html) . \nApply by March 15 for the benefit to begin that year. If you want to restore your Basic STAR exemption:\nIf you got the Basic STAR exemption in 2015-16 but later lost the benefit, you can restore it through NYC Department of Finance. Apply online on the (https://www.tax.ny.gov/pit/property/star/) STAR/ESTAR Online Initial Application or STAR/ESTAR Online Initial Application for Co-ops. \nApply by March 15 for the benefit to begin that year.\nIf your combined income is $250,001-$500,000, you'll need to apply online for the New York State STAR tax credit instead.",STAR
"Requisitos para el EITC federal\nTener un Número de Seguro Social válido.\nSus ingresos, estado civil y situación parental en 2024 fueron uno de estos.\nCasado con hijos que califican y con ingresos de hasta $66,819\nCasado sin hijos que califican y con ingresos de hasta $25,511\nSoltero con hijos que califican y con ingresos de hasta $59,899\nSoltero sin hijos que califican y con ingresos de hasta $18,591\nTiene hijos que califican y que incluyen hijos biológicos, hijastros, hijos adoptivos y nietos.\nSi no tiene niños, el EITC solo está disponible para contribuyentes de entre 25 y 64 años.\nCasado que presenta una declaración por separado: un cónyuge que no está presentando una declaración conjunta puede reclamar el EITC si:\ntuvo un hijo que califica y que vivió con usted durante más de la mitad del año; y\nestaban legalmente separados según la ley estatal a fines de 2024 o vivió separado de su cónyuge durante los últimos 6 meses de 2024.\nTuvo ingresos por inversiones de menos de $11,600 en 2024.*Si aún no está seguro si califica, el IRS tiene unacalculadora que puede decirle si califica (https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit/use-the-eitc-assistant) . Requisitos para el EITC del estado de Nueva York\nno reclamó el crédito por ingresos del trabajo para padres sin custodia (https://www.tax.ny.gov/pit/credits/nceic.htm) y\nusted calificó y reclamó el EITC federal.Requisitos para el EITC de la ciudad de Nueva York\nfue residente de la ciudad de Nueva York durante todo el año o parte del año, y\nreclamó el crédito federal por ingresos del trabajo.",,,Obtenga más información sobre los créditos fiscales (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) que puede reclamar.,Presente gratis sus impuestos federales congetyourrefund.org (https://www.getyourrefund.org/) para reclamar el EITC federal. También deberá presentar su reembolso de impuestos estatales por separado para obtener el EITC del estado y de la ciudad de Nueva York. También puede obtener ayuda gratis para la presentación de impuestos mediante los servicios deNYC Free Tax Prep (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page),EITC
