program_description,how_to_apply_or_enroll_in,get_help_in_person,url_of_online_application,required_documents_summary,page_type,program_name
DRIE 藉由凍結租金，協助符合資格的殘障居民居住於可負擔的住宅。承租人支付凍結租金。不動產抵減稅額負擔實際租金以及凍結租金之間的差額。,尋找離您最近的財政部協助中心 (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) 以進行申請。您可能需要預約才能造訪中心。,,,要申請 DRIE，您需要提供以下證明：\n您正在領取符合條件的殘疾福利（和授與函）\n您的年齡\n您的租金\n在您提交申請之前的日曆年度中，您與住在您公寓中所有家庭成員的收入。例如，在 2018 年提交的申請需要包含 2017 年的家庭收入資訊。收入證明可包含以下單據：\n報稅表\n社會安全福利金\n1099/W2 說明書,Program,殘障人士免加租
"« Section 8 » verse une partie du loyer pour les familles à revenus faibles et modérés qui souhaitent louer sur le marché privé. L'admissibilité à ce programme est basée sur le revenu et la taille de la famille. En règle générale, les familles consacrent au plus 40 % de leurs revenus mensuels pour régler leur loyer. La Commission du logement de la ville de New York (NYC Housing Authority, NYCHA) verse la somme restante au propriétaire.",,Trouver un bureauPrenez rendez-vous (https://wb-nycha.qmatic.cloud/) pour vous rendre dans un centre de contact clientèle.,,,,"Section 8 / Programme d’aide au choix du logement (Housing Choice Voucher, HCV)"
啟蒙教育計畫為 3 至 4 歲的兒童提供安全且正向的環境，供其學習、玩耍和培養技能，準備好迎接幼稚園和之後的學校生活。 該計畫也為兒童及其家庭提供健康、營養及其他服務。,若要尋找並申請啟蒙教育計畫，請：\n前往 MySchools (3-k) (https://www.myschools.nyc/en/schools/3k/) 或 MySchools (Pre-K) (https://www.myschools.nyc/en/schools/pre-k/) 。\n按一下「More Filters」（更多篩選器）。 選中「Year-Round 3-K / Pre-K Programs（全年 3-K / Pre-K 計畫）」下方的「Head Start」（啟蒙教育）核取方塊。\n輸入您的住家地址，以搜尋計畫。\n與您感興趣的計畫聯絡。,,,,Service,啟蒙教育計畫
"Благодаря программе HEAP семьи с низким доходом могут покрывать стоимость отопление своих домов. Пособие можно использовать для оплаты отопления, коммунальных услуг, ремонта и замены отопительного оборудования. Сумма пособия перечисляется непосредственно поставщику коммунальных или отопительных услуг. Вы можете получать пособие HEAP, даже если стоимость отопления включена в вашу арендную плату.","Вы можете лично подать заявление на все компоненты HEAP, посетивофис HEAP (https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result) .",,{'url': 'https://a069-access.nyc.gov/accesshra/'},,,Программа помощи в оплате бытового энергопотребления (Home Energy Assistance Program)
"В рамках программы «Section 8» оплачивается часть арендной платы для семей с низким и средним уровнями дохода, которые хотят арендовать жилье на частном рынке. Право на участие в этой программе зависит от дохода и размера семьи. Обычно они тратят на аренду не более 40 процентов своего ежемесячного дохода. Управление жилищного хозяйства г. Нью-Йорка (New York City Housing Authority, NYCHA) оплачивает оставшуюся часть арендной платы.",,Посетите центр личноЗапишитесь на прием (https://wb-nycha.qmatic.cloud/) в Контактный центр по работе с клиентами.,,,,Программа «Раздел 8» / программа предоставления ваучеров на выбор жилья
"Zwolnienie starszych właścicieli domów (Senior Citizen Homeowners’ Exemption, SCHE) obniża podatki od nieruchomości seniorów, którzy posiadają od jednego do trzech domów, apartamentów lub mieszkań spółdzielczych i spełniają wymogi dotyczące dochodów.",Wniosek można złożyć osobiście w Centrum Biznesowego Wydziału Finansów. (http://www1.nyc.gov/site/finance/pay-now/person.page),,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_SCHE'},"Osoby, które zechcą ubiegać się o SCHE, będą musiały udokumentować:\nWiek: wymagana jest kopia dowodu tożsamości wydanego przez instytucję rządową\nDochody: kopie federalnych zeznań podatkowych oraz harmonogramy/załączniki dla wszystkich właścicieli. Jeśli dowolny z właścicieli nie składa zeznania podatkowego, poświadczenie zarobków za rok 2018.\nPotrącenia: \nKopie rachunków nierefundowanych wydatków na cele medyczne lub leki na receptę z roku poświadczenia zarobków LUB\nKopia Schedule A\nW zależności od wniosku może być potrzebna umowa powiernicza, testament lub inne dokumenty prawne.",Program,Zwolnienie seniorów będących właścicielami domów z podatku od nieruchomości
طلباء COMPASS NYC کے ذریعے NYC میں اسکول سے فارغ اوقات کے سینکڑوں مفت پروگراموں میں سے ایک میں حصہ لے سکتے ہیں۔ COMPASS پروگرام ہوم ورک میں مدد، کھیل، فنون اور مزید بہت کچھ کی پیشکش کر سکتے ہیں۔ یہ مفت ہیں اور پورے شہر میں موجود ہیں۔,اپنے بچے کا COMPASS NYC پروگرام میں اندراج کروانے کے لیے اپنے بچے کے اسکول میں پروگرام کے عملے سے رابطہ کریں۔,اپنے بچے کے اسکول میں جائیںمزید معلومات کے لیے اپنے بچے کے اسکول میں آفٹر اسکول پروگرام کے عملہ سے بات کریں۔,{'url': 'https://discoverdycd.dycdconnect.nyc/'},درخواست دینے کے لیے، آپ کو اپنے بچے کی شناخت کے درج ذیل ثبوتوں میں سے ایک فراہم کرنے کی ضرورت ہوگی:\nپیدائش کا سرٹیفکیٹ\nنیچرلائزیشن سرٹیفکیٹ\nپیدائش کے سرکاری ریکارڈ\nسرکاری اسکول کا ریکارڈ\nپاسپورٹ\nIDNYC\nگود لینے کے ریکارڈ\nبپتسمہ یا کوئی اور مذہبی سند,Program,NYC کا اسکول سے فارغ اوقات کا جامع نظام
"SCHE는 1채에서 3채의 주택, 콘도 또는 공동 아파트를 소유하고 있으며 소득 요건을 충족하는 고령자의 재산세를 낮춰 드립니다.",재무부 비즈니스 센터 (http://www1.nyc.gov/site/finance/pay-now/person.page) 에 방문하여 신청하십시오.,,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_SCHE'},"SCHE를 신청하려면 다음을 증명해야 합니다.\n연령: 정부 발급 ID 사본\n소득: 모든 소유주의 연방 소득 신고서 및 명세서/첨부 문서 사본. 소유주가 소득 신고서를 제출하지 않은 경우\n연소득공제 항목:\n소득 신고 연도에 상환되지 않은 지불된 의료비 영수증 사본, 또는\n스케줄 A의 사본.\n신청서에 따라 신탁 계약서, 유언장 또는 기타 법적 문서가 필요할 수 있습니다.",Program,고령 주택 소유주 면제
HEAP‏ کم آمدنی والے گھرانوں کی اپنے گھروں کے حرارت کے اخراجات کو پورا کرنے میں مدد کرتا ہے۔ مذکورہ مراعت ایندھن، آپ کی یوٹیلیٹی کے ذریعے اور حرارتی آلات کی تبدیلی اور مرمتوں کے لیے ادائیگی کر سکتی ہے۔ مراعت براہ راست ہیٹنگ وینڈر یا یوٹیلیٹی کمپنی کو ادا کی جاتی ہے۔ اگر آپ کی حرارت آپ کے کرایے میں شامل ہے تب بھی آپ ‏HEAP‏ حاصل کر سکتے ہیں۔,آپHEAP‏ کے دفتر (https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result) میں تشریف لا کر ‏HEAP‏ کے تمام اجزا کے لیے بذات خود درخواست دے سکتے ہیں۔,,{'url': 'https://a069-access.nyc.gov/accesshra/'},,,گھریلو توانائی میں اعانت پروگرام
توفر برامج EarlyLearn الرعاية والتعليم بالمجان أو بتكلفة منخفضة للأطفال من عمر ستة أسابيع حتى عامين. وهناك مئات البرامج التي توفر بيئات تعلم آمنة وإيجابية للأطفال في مدينة نيويورك.,"\nابحث عن برنامج عبر MySchools. (https://www.myschools.nyc/en/schools/3k/) \nانقر على ""More Filters"" (المزيد من عوامل التصفية) وحدد أيًا من الخيارات المدرجة أسفل ""EarlyLearn"".\nثم اكتب عنوان منزلك للعثور على برنامج قريب منك.\nيمكنك زيارة أحد البرامج. سيساعدك الموظفون في إكمال الطلب.إذا كنت تحصل على مخصصات HRA بالفعل، فتقدّم بطلب إلى مركز الوصول إلى المخصصات (Benefits Access Center) التابع لإدارة HRA (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) المحدد لك بدلًا من ذلك.",,,,Program,الرضع والأطفال الصغار
"El Crédito Fiscal para el Cuidado de Niños y Dependientes le reembolsa hasta el 50% del costo del cuidado de un niño o un adulto dependiente. En su declaración de impuestos de 2024, puede reclamar hasta $3,000 por el costo de la atención de una persona que califica y $6,000 por la atención de dos o más personas que califican.",Obtenga ayuda en persona y gratis con la presentación de la declaración de impuestos medianteNYC Free Tax Prep (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) .,,{'url': 'https://www.getyourrefund.org/'},,Benefit,Crédito fiscal por cuidado de dependientes e hijos
بإمكان التلاميذ الانضمام إلى مئات من برامج ما بعد الدراسة المجانية في مدينة نيويورك من خلال نظام COMPASS NYC. تقدم برامج COMPASS المساعدة في الواجبات المدرسية والرياضة والفنون وغيرها المزيد، وهي برامج مجانية ومتوفرة في جميع أنحاء المدينة.,لتسجيل طفلك في برنامج COMPASS NYC، اتصل بموظف برنامج ما بعد الدوام الدراسي الموجود في مدرسة طفلك.,زر مدرسة طفلكتحدث مع أحد أفراد طاقم عمل برنامج ما بعد الدوام المدرسي في مدرسة طفلك لمعرفة المزيد من المعلومات.,{'url': 'https://discoverdycd.dycdconnect.nyc/'},للتقدم ، ستحتاج إلى تقديم أحد إثباتات الهوية التالية لطفلك:\nشهادة الميلاد\nشهادة التجنيس\nسجلات الميلاد الرسمية\nسجلات المدرسة الرسمية\nجواز سفر\nIDNYC\nسجلات التبني\nمعمودية أو شهادة دينية أخرى,Program,البرنامج الشامل لمنظومة ما بعد الدوام الدراسي لمدينة نيويورك
ہیڈ اسٹارٹ پروگرامز 3 تا 4 سال کے بچوں کیلئے سیکھنے، کھیلنے اور وہ مہارتیں حاصل کرنے کے لیے محفوظ اور مثبت ماحول فراہم کرتے ہیں جن سے وہ کنڈرگارٹن اور اس سے آگے کے لیے تیار ہو جاتے ہیں۔ پروگرامز بچوں اور ان کی فیملیز کو صحت، غذائیت اور دیگر خدمات بھی فراہم کرتے ہیں۔,"ہیڈ اسٹارٹ پروگرام کو تلاش کرنے اور درخواست دینے کے لیے:\nMySchools (3-k)‎ (https://www.myschools.nyc/en/schools/3k/) یا MySchools (Pre-K)‎ (https://www.myschools.nyc/en/schools/pre-k/) پر جائیں۔\n""More Filters"" (مزید فلٹرز) پر کلک کریں۔ ""Year-Round 3-K / Pre-K Programs (پورے سال 3-K / پری کے پروگرامز)"" کے تحت ""Head Start"" (ہیڈ اسٹارٹ) والے چیک باکس کو منتخب کریں۔\nپروگرام تلاش کرنے کے لیے اپنے گھر کا پتہ ٹائپ کریں۔\nکسی ایسے پروگرام سے رابطہ کریں جس میں آپ کی دلچسپی ہو۔",,,,Service,ہیڈ اسٹارٹ
"Ulga podatkowa z tytułu opieki nad dzieckiem lub osobą będącą na utrzymaniu umożliwia uzyskanie zwrotu do 50% kosztów z tytułu opieki nad dzieckiem lub osobą dorosłą będącą na utrzymaniu. W deklaracji podatkowej za 2024 rok możesz ubiegać się o zwrot kwoty w wysokości do $3,000 z tytułu kosztów opieki nad jedną kwalifikującą się osobą oraz kwoty $6,000 w przypadku co najmniej dwóch kwalifikujących się osób.",Uzyskaj bezpłatnie osobistą pomoc w wypełnieniu zeznania podatkowego w ramachbezpłatnego sporządzania deklaracji podatkowych (Free Tax Prep) w mieście Nowy Jork (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) .,,{'url': 'https://www.getyourrefund.org/'},,Benefit,"Ulga podatkowa z tytułu opieki nad dzieckiem lub osobą będącą na utrzymaniu (Child and Dependent Care Tax Credit, CDCC)"
El programa EarlyLearn da cuidado infantil y educación gratis o a bajo costo a niños entre seis semanas y dos años. Hay cientos de programas en la Ciudad de Nueva York que tienen entornos de aprendizaje seguros y positivos para los niños.,"\nEncuentre un programa en MySchools (https://www.myschools.nyc/en/schools/3k/) .\nHaga clic en “More Filters” (Más filtros) y marque cualquiera de las opciones en “EarlyLearn”.\nEscriba su domicilio para buscar un programa cerca de usted.\nVisite un programa. El personal lo ayudará a completar la solicitud.Si ya recibe beneficios de la HRA, solicítelos en su Centro de acceso a los beneficios de la Administración de Recursos Humanos (HRA) (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) asignado.",,,,Program,Bebés y niños pequeños
"প্রি-K কর্মসূচিগুলি শিশুদের স্কুলে এবং জীবনে একটি দৃঢ় শুরু করতে সাহায্য করে। আপনার সন্তান একটি নিরাপদ, আনন্দদায়ক শিক্ষার কমিউনিটিতে সমস্যা সমাধান করতে, প্রশ্ন জিজ্ঞাসা করতে এবং তার চারপাশের পৃথিবী জানার বিষয়ে শিখতে পারে।","একটি পারিবারিক স্বাগত কেন্দ্রে (Family Welcome Center) (https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers) জানুয়ারি 10, 2024 থেকে 1 মার্চ, 2024 পর্যন্ত আবেদন করুন ৷",কোনও পরিবার অভ্যর্থনা কেন্দ্রে যান প্রি-K কর্মসূচি সম্পর্কে আরও জানতে একটি ফ্যামিলি ওয়েলকাম সেন্টার (http://nyc.gov/schools/welcomecenters) যান।,{'url': 'https://www.myschools.nyc/bn/'},"দেখুন প্রাক-নিবন্ধন চেকলিস্ট (https://www.schools.nyc.gov/docs/default-source/default-document-library/pre-registration-checklist) আপনার সন্তানের প্রাক-নিবন্ধন করতে এবং তাদের প্রি-কে অফার গ্রহণ করতে আপনার প্রয়োজনীয় নথিগুলি সম্পর্কে আরও জানতে। চেকলিস্টের অনূদিত কপিগুলির জন্য, এর নথি বিভাগটি দেখুন৷ সমস্ত তালিকাভুক্তির পৃষ্ঠার জন্য প্রি-কে (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) ।",Program,প্রি-K For All
"Obtenga ayuda para pagar sus compras con SNAP, anteriormente conocido como cupones de alimentos. Obtendrá dinero en una tarjeta de débito que puede usarse en muchos supermercados y mercados de agricultores.","\nImprima una (http://otda.ny.gov/programs/applications/4826.pdf) solicitud (https://www1.nyc.gov/site/hra/locations/snap-locations.page) , pida una en un centro de SNAP (https://www1.nyc.gov/site/hra/locations/snap-locations.page) , o llame a la línea de información de la HRA al 718-557-1399 (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) para que le envíen una solicitud impresa por correo.\nReúna los documentos que necesitará para incluirlos a su solicitud.\nEntregue su solicitud completada en un centro de SNAP cerca de usted. Puede hacer copias de sus documentos en el centro.\nTambién puede enviar una solicitud para SNAP en una organización de la comunidad (CBO) de su barrio. Los expertos pueden ayudarlo a presentar su solicitud y los documentos necesarios.",Visite un centro de SNAP o una organización de la comunidad Visite un centro de SNAP (https://www1.nyc.gov/site/hra/locations/snap-locations.page) o su organización de la comunidad (CBO) local (https://www1.nyc.gov/site/hra/partners/find-a-partner-organization.page) para obtener ayuda en persona.,{'url': 'https://a069-access.nyc.gov/ACCESSNYC/application.do'},,Benefit,Programa de Asistencia de Nutrición Suplementaria
"EITC se yon kredi taks pou fanmi ki kalifye yo, paran ki pa gen gad timoun yo, ak moun ki travay aplentan oswa a tan pasyèl oswa ki travay ak pwòp tèt yo. Gen vèsyon federal, leta ak Vil Nouyòk EITC.","Jwenn èd pou ranpli taks an pèsònNYC Free Tax Prep (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) . Preparatè volontè VITA/TCE ki sètifye IRS ka ede w ranpli an pèsòn, oswa apre ou depoze dokiman w yo.",,{'url': 'https://www.getyourrefund.org/'},,,Enpo Kredi nan Taks sou Revni ou Touche
"چائلڈ اینڈ ڈیپنڈنٹ کيئر ٹیکس کریڈٹ ‏(Child and Dependent Care Tax Credit)‏ آپ کو بچے یا بالغ منحصر فرد کی نگہداشت کی لاگت کے ‎50%‏ تک کی باز ادائیگی کرتا ہے۔ اپنے 2024‏‎‏ کے ٹیکس ریٹرن میں، آپ اہل قرار پانے والے ایک فرد کی نگہداشت کی لاگت کے لیے ‏‎$3,000‏ تک کا اور اہل قرار پانے والے دو یا زائد افراد کی نگہداشت کے لیے ‏‎$6,000‏ تک کا دعوی کر سکتے ہیں۔",NYC‏ فری ٹیکس پریپ (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) کے ساتھ ٹیکس فائل کرنے میں بذات خود مفت مد حاصل کریں۔,,{'url': 'https://www.getyourrefund.org/'},,Benefit,بچوں اور زیرِ کفالت افراد کی نگہداشت کا ٹیکس کریڈٹ
"아동 및 부양가족 지원 세금 공제를 통해 아동 또는 성인 부양가족의 돌봄 비용 중 50%를 환급해 드립니다. 2024년도 세금 신고를 할 때 자격을 갖춘 한 명에 대한 돌봄 비용은 최대 $3,000, 두 명 이상에 대한 돌봄 비용은 최대 $6,000까지 신청할 수 있습니다.",NYC 무료 세금 신고 (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) 를 통해 직접 무료 세금 신고에 대한 도움을 받으십시오.,,{'url': 'https://www.getyourrefund.org/'},,Benefit,자녀 및 부양가족 지원 세금 환급
"L’EITC est un crédit d’impôt pour les familles admissibles, les parents non gardiens, et les personnes qui travaillent à temps plein ou partiel ou les travailleurs indépendants. Il existe une version fédérale, une version de l’État et une version de la ville de New York de l’EITC.",Obtenez de l’aide en personne pour remplir votre déclaration d’impôts grâce àNYC Free Tax Prep (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) ‎. Les préparateurs bénévoles VITA/TCE certifiés par l’IRS peuvent vous aider à remplir votre déclaration en personne ou après avoir déposé vos documents.,,{'url': 'https://www.getyourrefund.org/'},Voici une liste de documents (https://www.nyc.gov/site/dca/consumers/file-your-taxes-documents.page) dont vous aurez besoin pour remplir votre déclaration fiscale et votre demande d’EITC.,Benefit,"Crédit d’impôt sur le revenu du travail (Earned Income Tax Credit, EITC)"
Pre-K پروگرامز بچوں کو اسکول اور زندگی میں مضبوط آغاز کرنے میں مدد کرتے ہیں۔ آپ کا بچہ مسائل حل کرنا، سوال کرنا سیکھ سکتا ہے، اور ایک محفوظ، نشوونما کو فروغ دینے والے ماحول میں اپنے اردگرد کی دنیا کو کھوج سکتا ہے۔,10‏ جنوری ‎2024‏ سے ‎1‏ مارچ ‎2024‏ تک Family Welcome Center (https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers) میں درخواست دیں۔,فیملی ویلکم سنٹر پر تشریف لے جائیں pre-K پروگرامز کے بارے میں مزید جاننے کے لیے فیملی ویلکم سینٹر (http://nyc.gov/schools/welcomecenters) ملاحظہ کریں۔,{'url': 'https://www.myschools.nyc/ur/'},دیکھیں پری رجسٹریشن چیک لسٹ (https://www.schools.nyc.gov/docs/default-source/default-document-library/pre-registration-checklist) ان دستاویزات کے بارے میں مزید جاننے کے لیے جن کی آپ کو اپنے بچے کو پہلے سے رجسٹر کرنے اور ان کی پری K پیشکش کو قبول کرنے کی ضرورت ہے۔ چیک لسٹ کی ترجمہ شدہ کاپیوں کے لیے، دستاویزات کا سیکشن دیکھیں پری K تمام اندراج صفحہ کے لیے (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) ۔,Program,Pre-K سب کے لیے
DHE lowers the property taxes of eligible New Yorkers with disabilities. You may be able to reduce your home's assessed value by 5-50% depending on your income.,Apply in person at aDepartment of Finance Business Center (http://www1.nyc.gov/site/finance/pay-now/person.page) .,,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_DHE'},"To apply for DHE you will need to prove the following:Your disability status: one of the following for an owner:\n\nCopy of Disability Award letter from the Social Security Administration\nCopy of Disability Award letter from the Railroad Retirement Board or the U.S Postal Service\nCopy of Certificate from the New York State Commission for the Blind, or a Veterans Administration letter stating that you are entitled to a veterans disability pension.\nYour income: copies of federal tax returns and additional forms (schedules) for all owners. If any owners do not file a tax return, provide proof of yearly earnings.\nYour deductions:\nCopies of receipts for your paid medical bills not covered by insurance for your income documentation year, OR\nCopy of your Schedule A",Program,Disabled Homeowners' Exemption
"Los planes médicos calificados son planes de seguro médicoprivados en los que usted paga una determinada cantidad mensual porla cobertura. También hay gastos de bolsillo, comocopagos,deducibles y coseguros (https://www.nyc.gov/site/ochia/coverage-care/insurance-a-z.page#C) .",Obtenga ayuda para inscribirse con un (https://nystateofhealth.ny.gov/agent/hx_brokerSearch?fromPage=INDIVIDUAL) asistentede seguro médico.,,{'url': 'https://nystateofhealth.ny.gov/'},"Para inscribirse en planes de seguro de salud pública,necesitará:\nDocumentos de ciudadanía/inmigración que indiquen su estadolegal de inmigración\nNúmeros de Seguro Social (SSN)\nFecha de nacimiento de todas las personas que presentan lasolicitud en el grupo familiar\nInformación laboral actual\nIngresos del grupo familiar",Benefit,Planes médicos calificados
"Seksyon 8 la peye yon pati nan lwaye a pou fanmi ki gen revni ba ak modere ki vle lwe nan mache prive a. Elijiblite pou pwogram sa a baze sou revni yon fanmi ak gwosè fanmi an. Anjeneral, fanmi yo pap peye plis pase 40% nan revni mansyèl yo pou lwaye yo. NYCHA peye rès la bay pwopriyetè pwopriyete a.",,Ale nan yon lokalPran yon randevou (https://wb-nycha.qmatic.cloud/) pou vizite yon Sant Kontak Kliyan.,,,,Seksyon 8 / Pwogram Bon Chwa Lojman
عمل برنامج STAR على تخفيض ضرائب الملكية لأصحاب المنازل المؤهلين الذين يعيشون في المناطق التعليمية بولاية نيويورك.,,زيارة أحد المراكزإيجاد (https://www1.nyc.gov/site/finance/about/contact-us.page) مركزالحصول على المساعدة شخصياً.,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_STAR'},,Benefit,برنامج تخفيض ضريبة المدارس
"EITC jest ulgą podatkową dla kwalifikujących się rodzin, rodziców pozbawionych opieki prawnej oraz osób fizycznych pracujących na pełny etat, część etatu lub w ramach samozatrudnienia. Ulga EITC występuje w wersji federalnej, stanowej i dla miasta Nowy Jork.",Uzyskaj osobistą pomoc w wypełnieniu zeznania podatkowego w ramachbezpłatnego sporządzania deklaracji podatkowych (Free Tax Prep) w mieście Nowy Jork (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) . Certyfikowani przez IRS wolontariusze VITA/TCE mogą pomóc Ci w uzupełnieniu dokumentów osobiście lub przeprowadzić Cię przez dalszą część postępowania po ich złożeniu.,,{'url': 'https://www.getyourrefund.org/'},"Zapoznaj się z listą dokumentów, (https://www.nyc.gov/site/dca/consumers/file-your-taxes-documents.page) których będziesz potrzebować do złożenia zeznania podatkowego i ubiegania się o EITC.",Benefit,"Ulga podatkowa od dochodów (Earned Income Tax Credit, EITC)"
Pwogram EarlyLearn yo ofri swen pou timoun gratis oswa pou yon tikras lajan epi yo bay edikasyon pou timoun soti sis (6) semèn rive de (2) lane. Gen plizyè santèn pwogram nan Vil New York ki ofri anviwònman aprantisaj sekirize e pozitif pou timoun yo.,"\nJwenn yon pwogram sou MySchools. (https://www.myschools.nyc/en/schools/3k/) \nKlike sou “More Filters” epi tcheke nenpòt opsyon ki anba “EarlyLearn”.\nApresa, tape nan adrès akèy la pou chache yon pwogram ki toupre ou.\nVizite yon pwogram. Estaf la pral ede w ranpli aplikasyon w lan.Si ou deja gen avantaj HRA, fè demann ou an nan Sant Aksè pou Avantaj HRA yo asiyen w lan (http://www.nyc.gov/html/hra/html/services/job_centers.shtml) pito.",,,,Program,Tibebe ak Timoun Piti
"Qualified Health Plans — это планы частного медицинскогострахования, по условиям которых вам необходимо ежемесячно вноситьопределенную сумму за страховое покрытие. Помимо этого есть расходыза счет собственных средств, включаядополнительныеплатежи, франшизы и взносы совместного страхования (https://www.nyc.gov/site/ochia/coverage-care/insurance-a-z.page#C) .",Обратитесь за помощью в регистрации к (https://nystateofhealth.ny.gov/agent/hx_brokerSearch?fromPage=INDIVIDUAL) консультантув сфере медицинского страхования.,,{'url': 'https://nystateofhealth.ny.gov/'},"Чтобы подать заявление на приобретение плана государственногомедицинского страхования, вам необходимо предоставить указаннуюниже информацию.\nДокументы, подтверждающие гражданство / иммиграционныйстатус\nНомер социального обеспечения (SSN)\nДаты рождения всех членов семьи, подающих заявление\nИнформация о текущем трудоустройстве\nДоход семьи",Benefit,Qualified Health Plans
يسهم برنامج مساعدات الطاقة المنزلية (HEAP) في إعانة الأسر المعيشية المحدودة الدخل من أجل تغطية النفقات المتعلقة بتدفئة منازلهم. يمكن دفع هذه المخصصات مقابل الوقود، ومصدر خدمات المرافق لديك، وأيضًا مقابل استبدال معدات التدفئة وإصلاحها. تُسدد المخصصات مباشرة إلى مورِّد التدفئة أو شركة خدمات المرافق. يحق لك الحصول على مخصصات برنامج HEAP حتى إذا كانت التدفئة مشمولة في إيجارك.,يمكنك تقديم الطلب بشكل شخصي فيما يخص كل جوانب برنامج المساعدة في دفع نفقات الطاقة المنزلية HEAP‏، وذلك بزيارةأحد مكاتب ‏HEAP (https://otda.ny.gov/programs/heap/contacts/default.asp?county=New%20York%20City#result) ‏.,,{'url': 'https://a069-access.nyc.gov/accesshra/'},,,برنامج مساعدات الطاقة المنزلية
El Crédito de Desgravación Fiscal Escolar (STAR) reduce los impuestos sobre la propiedad a los propietarios elegibles que viven en los distritos escolares del estado de Nueva york.,,Visite un centroEncuentre (http://www1.nyc.gov/site/finance/about/contact-us.page) una oficina y reciba ayuda en persona.,{'url': 'https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_STAR'},,Benefit,Programa de Desgravación Impositiva Escolar
SCRIE helps eligible senior citizens 62 and older stay in affordable housing by freezing their rent. Tenants can keep paying what they were paying even if their landlord increases the rent. The landlord gets a property tax credit that covers the difference between the new and original rent amount.,Apply at a Department of Finance Assistance Center (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) . You may need to schedule an appointment.,,,"To apply for SCRIE, you will need copies of documents that prove:\nWho you are (and your age)\nWhere you live - You need to prove your rent which includes prior and current documents or leases.\nIncome - This includes your income and the income of all household members who lived in your apartment for the year before you submit your application.",Program,Senior Citizen Rent Increase Exemption
"Подавая налоговую декларацию за 2024 год, семьи могут потребовать предоставления налогового вычета в сумме до $2,000 на каждого соответствующего критериям ребенка возрастом до 17 лет. Вам могут вернуть до $1,700, то есть вы можете получить деньги, даже если у вас нет задолженности по налогам.",Получите бесплатную помощь в подготовке налоговых деклараций лично черезNYC Free Tax Prep.‎ (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page),,{'url': 'https://www.getyourrefund.org/'},"Ознакомьтесь со списком документов (https://www.nyc.gov/site/dca/consumers/file-your-taxes-documents.page) , которые понадобятся вам для подачи налоговой декларации и получения CTC.",Benefit,"Налоговый вычет за ребенка (Child Tax Credit, CTC)"
الخطط الصحية المؤهلة عبارة عن خطط تأمين صحي خاص تدفع فيها مبلغًاشهريًا محددًا مقابل التغطية. هناك أيضًا نفقات تُدفع من مالك الخاص،بما في ذلكمبالغالمشاركة في الدفع ومبالغ التحمل ومبلغ التأمين المشترك (https://www.nyc.gov/site/ochia/coverage-care/insurance-a-z.page#C) .,يمكنك الحصول على المساعدة في عملية التسجيل من خلال أحد (https://nystateofhealth.ny.gov/agent/hx_brokerSearch?fromPage=INDIVIDUAL) المساعدينالمختصين بالتأمين الصحي.,,{'url': 'https://nystateofhealth.ny.gov/'},للتسجيل في خطط التأمين الصحي العامة، سوف تحتاج إلى:\nوثائق الجنسية/الهجرة التي تشير إلى وضعك القانوني كمهاجر\nرقم الضمان الاجتماعي (SSN)\nتاريخ الميلاد لكل شخص يتقدم بطلب في الأسرة\nمعلومات التوظيف الحالية\nدخل الأسرة,Benefit,الخطط الصحية المُؤهلة
