stipulationfulltext,fromboroughcode
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",Q
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",Q
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",X
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",Q
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",M
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",Q
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",Q
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",Q
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",B
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",Q
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",M
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",X
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",X
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",M
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",X
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",M
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",X
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",M
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",M
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",M
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",X
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",B
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",Q
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",M
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",M
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",M
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",Q
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",M
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",M
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",M
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",Q
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",Q
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",X
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",B
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",X
"THE SITE OF YOUR PROPOSED WORK MAY BE WITHIN 100FT OF A BRIDGE STRUCTURE. YOU MUST SURVEY THE SITE. IF WORK IS WITHIN 100FT OF A BRIDGE STRUCTURE, YOU MUST SUBMIT A SCALED DRAWING SHOWING THE WORK AND EXACT LOCATION. IF WORK IS MORE THAN 100FT AWAY, YOU MUST FORWARD CERTIFICATION. SEND RESPONSES TO NYCDOT DIV. OF BRIDGES: BRIDGESHOLD@DOT.NYC.GOV OR CALL 212-839-9222/9223 PRIOR TO WORK.",B
