file_num,summary,intro_date
Int 1161-2025,"This bill would require entities that contract with certain New York City agencies (City contractors) to report pay and employment information for their employees to the Department of Citywide Administrative Services (DCAS). DCAS would be required to provide such data to the Mayor’s Office of Data Analytics (MODA), and MODA would have to provide such data to the Council. MODA would also be required to issue to the Mayor and the Speaker of the Council an annual report that includes data showing employees of City contractors by contractor, pay band, racial group, ethnicity, and gender. MODA and DCAS would be required to conduct an annual analysis, to be included in MODA’s reports, of the pay and employment data for employees of City contractors in order to identify potential disparities based on gender, race, or other protected classes identified in the City’s Human Rights Law. Finally, DCAS would be required to post an anonymized report describing this analysis annually on its website.",2025-01-08T00:00:00.000
Int 1126-2024,"This bill would require the Department of Sanitation (“DSNY”), or other administering agency as designated by the mayor, to distribute official NYC waste bins to owners of eligible buildings. This bill would also require DSNY or the administering agency to establish and implement a program to reimburse owners of eligible buildings who purchased official NYC waste bins on or before August 1, 2026. Eligible buildings include those with up to 2 dwelling units where the building owner is enrolled in a New York STAR or Enhanced STAR tax benefit program. DSNY or the administering agency would be required to submit a report on the law’s implementation one month after the law’s expiration.",2024-11-21T00:00:00.000
Int 1046-2024,This bill would require the New York City Department of Health and Mental Hygiene (DOHMH) or another agency designated by the Mayor with the appropriate subject matter expertise to establish a 3-year pilot program that provides sleep apnea treatment at no cost to individuals. The bill would require DOHMH to provide oral appliances that have been cleared by the United States Food and Drug Administration to treat sleep apnea. The bill would also require DOHMH to publish a report on the pilot program’s effectiveness and whether it should be made permanent.,2024-09-26T00:00:00.000
Int 1188-2025,This bill would require the Office to End Gender Based Violence to create an informational resource for newly married individuals that details their legal rights as it pertains to divorce and annulment of such marriage as well as available domestic violence resources. The bill requires the Office to End Gender Based Violence to provide this resource to the Office of the City Clerk and for the City Clerk to distribute this resource when issuing a marriage certificate and post on its website.,2025-02-13T00:00:00.000
Int 1018-2024,"On December 15, 2024, New York State law prohibiting the sale of dogs and cats in retail pet shops will take effect. This bill would conform the City’s pet shop laws to State law, amending local law to prohibit the sale of dogs and cats in pet shops.",2024-09-12T00:00:00.000
Int 1197-2025,"This bill would require the Commissioner of the New York City Department of Investigation (DOI) to conduct an ongoing investigation into the Fire Department’s (FDNY) compliance with federal, state, and local laws and policies relating to discrimination, harassment, and equal employment opportunity. DOI would be specifically required to examine how FDNY awards promotions and special assignments, how it handles complaints, and retaliation against complainants. DOI would also be required to provide a website that allows individuals to provide information relevant to this investigation. Finally, DOI would be required to regularly report their findings and recommendations to the mayor and the Council.",2025-02-13T00:00:00.000
Int 1015-2024,"This bill would prohibit the wearing of a ski mask in public places, on school premises, and on child care program premises. This bill includes certain exceptions to this prohibition, including when a ski mask is worn as part of a traditional holiday costume, as a garment for religious purposes, during the course of employment and for the purpose of ensuring the safety of the wearer, as part of a costume for a theatrical production, to protect the body from the elements while a person is participating in a winter sport, or as a form of expression protected by the First Amendment. Any person who violates this prohibition would be liable for a civil penalty of $250 that would be recoverable in a proceeding before the Office of Administrative Trials and Hearings.",2024-09-12T00:00:00.000
Int 1032-2024,"This bill would require the creation of a universal initial application and universal recertification application for the Senior Citizen Rent Increase Exemption (SCRIE) program and Disability Rent Increase Exemption (DRIE) program, to be administered jointly by the Department of Finance (DOF) and the Department of Housing Preservation and Development (HPD), by December 31, 2025. Additionally, the bill would require the implementation of an online application website for SCRIE and DRIE benefits, as well as the institution of an online recertification process for SCRIE and DRIE benefits, by December 31, 2025.",2024-09-12T00:00:00.000
Int 1178-2025,"This bill would officially rename a portion of a street located on Murdock Avenue between 180th Street and a dead end in Jamaica, Queens to “the Live End.”",2025-01-23T00:00:00.000
Int 1162-2025,"This bill would require the Commissioner of Health and Mental Hygiene to report annually on the number of suicides, in total and subdivided into certain subsets, including the decedent’s age group, occupational category, race, ethnicity, borough of residence, and sex.",2025-01-08T00:00:00.000
Int 1087-2024,This bill would require the Office of Management and Budget (OMB) to conduct a study on the feasibility of creating a bridge loan program for not-for-profit entities that receive capital funding grants from the city and to report on the findings of the study.,2024-10-10T00:00:00.000
Int 1047-2024,"The bill would require the New York City Department of Health and Mental Hygiene (DOHMH), or another agency designated by the Mayor with the appropriate subject matter expertise, to establish a 3-year pilot program that provides access to sleep apnea screenings at no cost as well as access to home sleep apnea tests, if deemed appropriate. The bill would require DOHMH to prioritize individuals without insurance. This bill would also require DOHMH to publish a report on the pilot program’s effectiveness and whether it should be made permanent, and to conduct a public education and outreach campaign on sleep apnea and the pilot program’s availability. The bill would take effect immediately deemed repealed upon submission of the report.",2024-09-26T00:00:00.000
Int 1194-2025,This bill would expand eligibility for services provided by the HIV/AIDS Services Administration to include any person living with HIV infection.,2025-02-13T00:00:00.000
Int 1048-2024,"This bill would direct the Department of Environmental Protection, with assistance from the Fire Department, and any other relevant agency, to conduct study to determine locations within the city that experience the highest levels of siren noise, the most common times for siren noise and propose mitigation measures for reducing siren noise impact. The bill would also require DEP to establish a toll-free telephone number and web page to facilitate the centralized collection of complaints about siren noise during the study period. The DEP would then be required to submit a report to the Speaker of the Council and the Mayor with the results of this study.",2024-09-26T00:00:00.000
Int 1030-2024,"This bill would require the Department of Transportation (DOT) to mail notices to each mailing address along the route of a proposed bicycle lane project prior to installing or removing a bicycle lane. Residents, organizations, and businesses would be afforded fifteen days, from the notice’s postmark, to submit comments and recommendations regarding the bicycle lane to DOT. DOT would be required to consider these comments and could choose to incorporate such comments into its plan.",2024-09-12T00:00:00.000
Int 1065-2024,"This bill would limit the term of community board district managers to four years, with the possibility of re-appointment, and provide borough presidents with the power to remove district managers at will.",2024-09-26T00:00:00.000
Int 1024-2024,"This bill would require that the mayor, or an agency designated by the mayor, to make a publically available list of artificial intelligence tools approved for use by agencies. This list would include, among other items, the name of the tool, who approved the tool, and when it was discontinued. The list would be required to be updated every six months.",2024-09-12T00:00:00.000
Int 1202-2025,"This bill would prohibit the Commissioner of Parks and Recreation from installing artificial grass in New York City parks, with the exception of repairing or reconstructing artificial grass installed prior to the effective date of the bill.",2025-02-27T00:00:00.000
Int 1123-2024,"This bill would require the Department of Sanitation (“DSNY”) to establish a program requiring all residential buildings with 10 or more dwelling units to place residential waste in stationary on-street containers provided by DSNY by June 1, 2032. Buildings with 10-30 units would be allowed to opt out of the program if they comply with alternative containerization requirements established by DSNY by rule. DSNY would be permitted to charge property owners a fee of up to $55 per dwelling unit for maintenance and other costs related to such containers, and would be required to discount fees for Mitchell-Lama developments.",2024-11-21T00:00:00.000
Int 1077-2024,"This bill would require the Administration for Children’s Services (ACS) to provide luggage to youth entering the foster care system, transitioning between foster homes, or exiting the foster care system. The bill would also require ACS to report on the number of foster care youth that were provided with luggage, and the demographic information of those youth.",2024-10-10T00:00:00.000
Int 1074-2024,"This bill would require that any limited hoist machine operator license requirements established via rule by the commissioner of the Department of Buildings not take effect prior to November 7, 2025.",2024-10-10T00:00:00.000
Int 1133-2024,"This bill would expand delivery worker protections to cover all contracted delivery workers who deliver goods for a delivery service. Such protections would include requiring delivery services to provide delivery workers with the opportunity to set a maximum distance per trip, and provide trip information prior to accepting such trip. Protections would also include requiring the Department of Consumer and Worker Protection to study the working conditions of delivery workers and promulgate rules establishing a minimum pay rate that must be paid to contracted delivery workers. In addition, this bill would require delivery services to provide insulated delivery bags and fire safety materials to their delivery workers. This bill would also require that food service establishments provide access to a toilet facility to contracted delivery workers picking up goods from such establishment. The bill would set forth enforcement options, including those available to the City and to workers, that would apply to all laws relating to contracted delivery workers.",2024-12-05T00:00:00.000
Int 1038-2024,"This bill would require the Department of Citywide Administrative Services to submit a master plan for the redevelopment of Rikers Island for sustainability and resiliency purposes, including wastewater treatment, renewable energy generation and storage, and off-shore wind converter stations. The plan shall include a proposed capital project plan, estimated implementation timeline, details about the design, funding, and construction timeline for each proposed project, and evaluations of physical alterations or infrastructure improvements that Rikers Island may require to support the new infrastructure. The plan shall also include a proposed schedule for all necessary land use approvals and environmental reviews, and, for each proposed capital project, a preliminary scope of project and a recommendation as to whether the project should be included in the relevant agency’s departmental estimate for the purpose of requesting capital funding.",2024-09-12T00:00:00.000
Int 1204-2025,"This bill would require the Commissioner of the Department of Health and Mental Hygiene to develop a citywide health agenda focused on transgender, gender non-conforming, nonbinary, and intersex (TGNCNBI) New Yorkers in light of health disparities between TGNCNBI New Yorkers and cisgender New Yorkers. The bill would require the agenda include citywide health goals for TGNCNBI New Yorkers and strategies for the Department of Health and Mental Hygiene to advance the health goals. The bill would require the Commissioner of the Department of Health and Mental Hygiene to deliver the health agenda no later than September 30, 2026 and to provide an updated plan annually afterwards.",2025-02-27T00:00:00.000
Int 1009-2024,"This bill would require the Department of Education (DOE) to report information quarterly on 3-K and Pre-K applicants, seat capacity, enrollment, and vacancies. This bill would require such information to be disaggregated by seat type and seat setting. 
Additionally, this bill would require DOE to report on 3-K outreach efforts, including the number of DOE staff assigned to 3-K outreach, the number of households reached by outreach efforts, the total budgeted amount for 3-K outreach, the number of outreach events related to 3-K hosted or attended by DOE staff, and information on the advertising methods used for 3-K outreach. This bill would also require DOE to report on the number and percentage of staff vacancies in each 3-K and pre-K program, disaggregated by staff title.",2024-08-15T00:00:00.000
Int 1125-2024,"This bill would require the Department of Education (DOE) to report annually information on school librarians and library access in DOE school. DOE would be required to report on the number of certified and non-certified school librarians, the number of students who have weekly scheduled class time with school librarians, the average amount of weekly class time students spend with school librarians, the number of school libraries, and the hours of operation of each school library.",2024-11-21T00:00:00.000
Int 1073-2024,"This bill would require that by January 1, 2030, buildings that are classified as business, mercantile, or residential under the city Building Code would be required to comply with the bird-friendly windows and exteriors requirements of the Building Code, except for detached one and two family dwellings, which would not be required to comply. Buildings replacing any exterior glazing would be required to replace the specific glazing being altered with bird-friendly materials.",2024-10-10T00:00:00.000
Int 1179-2025,"This bill would require the Commissioner of Health and Mental Hygiene to, no later than one year after the effective date of the proposed legislation, establish an ongoing public outreach and education campaign regarding the use and availability of fentanyl test strips. The campaign would focus on the creation and distribution of informational materials that inform New Yorkers about organizations through which and locations where these strips are available, educate New Yorkers on how to use these strips effectively, and encourage New Yorkers to use these strips. The Commissioner would also be required to post these materials online and make all of the materials available in English and in each of the designated citywide languages.",2025-02-13T00:00:00.000
Int 1006-2024,"A Community Land Trust (CLT) is a non-profit, community-run organization that can acquire and develop land with the goal of promoting permanent affordable housing and stabilizing housing markets. This bill would define CLTs that are established in the City to be entities that cover more uses beneficial to the local community beyond housing, such as manufacturing and commercial uses, as well as the development of open space and community gardening.",2024-08-15T00:00:00.000
Int 1182-2025,"This bill adds protections for tipped workers against tip-based wage theft by their employers. Pursuant to this bill, employers would be required to disclose the daily amount of total compensation, amount of wages, amount of gratuities, aggregate amount of gratuities earned through cashless payments, and total amount of gratuities in the tip pool if the worker is part of a tip pool. The bill also creates additional administrative remedies and a private right of action. This bill also requires fast food and food service establishments to allow customers the option to confer a gratuity in same the manner that they paid for their food. Finally, this bill adds new terms and definitions to the Administrative Code’s Fair Work Practices subchapter.",2025-02-13T00:00:00.000
Int 1153-2024,"This bill would co-name 109 thoroughfares and public places, based on requests of Council Members whose district includes the location.  Of these 109 co-names, 12 are either a relocation of a previously enacted co-naming or a revision to the street sign installed with respect to a previously enacted co-naming.",2024-12-19T00:00:00.000
Int 1051-2024,"This bill would require the Department of Cultural Affairs (DCLA) to maintain a list of all known burial sites of formerly enslaved African Americans citywide. This bill would also require DCLA to develop and implement a plan to locate any currently unmarked burial sites for formerly enslaved African Americans citywide, in consultation with other city agencies, organizations and experts. This bill would also require DCLA to notify elected officials when a burial site has been located in their district. Finally, this bill would require DCLA to develop an educational campaign to inform City residents about the burial sites and develop and maintain an interactive map of the burial sites on the DCLA website.",2024-09-26T00:00:00.000
Int 1190-2025,"This bill would require the commissioner of the department of investigation to appoint a special inspector of cybersecurity with the power and duties to investigate any city agency security breaches; assist and ensure compliance with security breach notification requirements; refer cyberattacks or incidents of a security breach to law enforcement agencies, and submit to the mayor and speaker of the council an annual report on cyberattacks or incidents of a data breach.",2025-02-13T00:00:00.000
Int 1195-2025,"This bill would require the Commissioner of Transportation to conduct a one-year study and implement a five-year plan concerning the installation of tactile paving on sidewalks in New York City. The study would involve the identification of high-priority City blocks for installation based on specific criteria, evaluation of best practices from other jurisdictions, consultation with disability advocacy groups, and evaluation of existing City laws regarding sidewalk maintenance and liability. Based on the study’s findings, the Commissioner would develop and implement a plan, to be submitted to the Mayor and Speaker of the Council and posted online, that includes a schedule for installation, a budget, design standards, guidelines on maintenance responsibility and liability, and public outreach strategies. The Commissioner would have to submit annual progress reports on plan implementation to the Mayor and the Speaker and post these reports online.",2025-02-13T00:00:00.000
