get_help_by_email,how_to_apply_or_enroll_online,program_name,get_help_in_person,heads_up,page_type,apply_online_call_to_action
"<p>     <strong>Email your questions</strong> </p> <p>     <a href=""mailto:ESEnrollment.nyc.gov"">Email the Kindergarten Admissions team</a> with questions about applying. </p>","<ol>     <li>Use <a href=""https://www.myschools.nyc/"" target=""_blank"">MySchools</a> to find programs you're interested in. You can list up to 12 choices on your application, including schools outside of your zone and district.     </li>     <li>Submit your application <a href=""https://www.myschools.nyc/"" target=""_blank"">online through MySchools</a> during the application period (November - January each year).     </li> </ol>",Kindergarten & Elementary School,"<p>     <strong>Visit a Family Welcome Center</strong> </p> <p>     Visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> to get help in person. </p>","<ul>     <li>All children who live in NYC and were born in 2014, including students with disabilities and English Language Learners (ELL), are eligible to apply to kindergarten     </li>     <li>Apply online, over the phone, or in-person during the application period (November - January each year)     </li>     <li>Families that applied during the application period will receive offer letters in March and should pre-register at the school to accept their offer     </li>     <li>Pre-K, kindergarten, first grade, and second grade students can take the admissions test for the <a href=""https://growingupnyc.cityofnewyork.us/programs/gifted-talented-program/"" target=""_blank"">Gifted & Talented Program</a> - which supports the needs of exceptional students     </li> </ul>",Program,Apply online
,,Newborn Home Visiting Program,,"<ul>     <li>Spanish-speaking nurses are also available     </li>     <li>Mothers receive two-to-three hour-long home visits and a follow up phone call     </li>     <li>All mothers who live in Department of Homeless Services shelters are eligible     </li>     <li>Women can be eligible, regardless of immigration status     </li> </ul>",Service,
,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD</a> website     </li>     <li>Click ""Show Advanced Search"" in the ""Basic Search"" box     </li>     <li>Select ""COMPASS Programs"" in the ""All Programs Box"" the a SONYC program from the ""All Sub-programs"" menu     </li> </ol>",School's Out NYC,<p>     <strong>Visit your child's school</strong> </p> <p>     Speak with an afterschool program staff at your child's school for more information. </p>,"<ul>     <li>Programs are offered to young people for free     </li>     <li>Programs are offered three hours each day, five days per week     </li> </ul>",Program,Search online
,,HIV/AIDS Services Administration,"<p>     <strong>Visit the Service Line (HASA) Intake office</strong> </p> <p>     400 Eighth Ave., 2nd Flr.<br>     New York, NY 10001<br>     Monday - Friday, 9:00 a.m - 5:00 p.m<br> </p>","<ul>     <li>Apply in person at the HASA Service Line Intake office     </li>     <li>If you are HIV positive, you do not need to have symptoms to be eligible     </li>     <li>People are often referred by medical and service organizations     </li> </ul>",Program,
"<p>     <strong>Email SCRIE</strong> </p> <p>     <a href=""http://nyc.gov/contactscrie"" target=""_blank"">Email SCRIE</a> for more information. </p>",<p>     SCRIE/DRIE online applications are temporarily unavailable while we work on a new and improved application. Please use the forms or walk-in location to apply. </p>,Senior Citizen Rent Increase Exemption,"<p>     <strong>Visit the SCRIE walk-in center</strong> </p> <p>     66 John St, 3rd Floor<br>     New York, NY, 10038<br>     Open Monday - Friday, 8:30 a.m.- 4:30 p.m. </p>","<ul>     <li>Once you apply, it takes 10 - 15 days to hear back     </li>     <li>You can qualify for SCRIE even if you have not filed your taxes     </li>     <li>You will need to send documents. Never mail your original documents, just copies     </li>     <li>You do not need your landlord's permission to apply     </li>     <li>Senior citizens who own homes, condominiums or private non-government supervised co-ops may be eligible for the SCRIE     </li>     <li>Apply online, by mail, by phone, or in person     </li> </ul>",Program,
"<p>     <strong>Email a Parent Center</strong> </p>Email a Parent Center for more information:<br> <ul>     <li>         <a href=""mailto:roverton.org"">Bronx, Brooklyn, Manhattan, and Queens</a>,     </li>     <li>         <a href=""mailto:siptp.com"">Staten Island</a>.     </li> </ul>",,Special Education Parent Centers,"<p>     <strong>Visit a center</strong> </p> <p>     Find a <a href=""http://www.p12.nysed.gov/specialed/techassist/parentcenters.htm"" target=""_blank"">center</a> to get help in person. </p>",<ul>     <li>Services for students and families are offered at no cost     </li>     <li>Training sessions are also offered at no cost     </li> </ul>,Service,
,,Primary and Preventive Health Care,"<p>     <strong>Visit a heath care center</strong><br>     <br>     Find a <a href=""http://www.nychealthandhospitals.org/health_care/"" target=""_blank""><u>child health center location</u></a> near you to get help in person. </p>","<ul>     <li>Children can also get health care at <a href=""https://growingupnyc.cityofnewyork.us/programs/school-based-health-centers/"" target=""_blank""><u>School-Based Health Centers</u></a>     </li>     <li>All children can get care, regardless of your ability to pay or immigration status     </li>     <li>NYC Health + Hospitals can help your family find insurance if you need it     </li>     <li>Youth twelve and older can get private sexual and reproductive services and <a href=""http://nycyouthhealth.org/"" target=""_blank""><u>YouthHealth Centers</u></a>     </li> </ul>",Service,
"<p>     <strong>Email CUNY Start at your campus</strong> </p> <ul>     <li>         <a href=""mailto:cunystart.cuny.edu"">Borough of Manhattan Community College</a><a href=""mailto:cunystart.cuny.edu""></a>     </li>     <li>         <a href=""mailto:cunystart.cuny.edu"">Bronx Community College</a>     </li>     <li>         <a href=""mailto:cunystart.cuny.edu"">College of Staten Island</a>     </li>     <li>         <a href=""mailto:cunystart.cuny.edu"">Hostos Community College</a>     </li>     <li>         <a href=""mailto:cunystart.cuny.edu"">LaGuardia Community College</a>     </li>     <li>         <a href=""mailto:cunystart.cuny.edu"">Medgar Evers College</a>     </li>     <li>         <a href=""mailto:cunystart.cuny.edu"">Queensborough Community College</a>     </li> </ul>","<p>     To enroll in CUNY Start: </p> <ul>     <li>Complete all <a href=""http://www2.cuny.edu/admissions/undergraduate/"" target=""_blank"">CUNY admissions</a> requirements and apply to a <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/campus-info/"" target=""_blank"">CUNY Start campus</a>     </li>     <li>Take the <a href=""http://www.cuny.edu/academics/testing.html"" target=""_blank"">CUNY Assessment Tests</a> and check your scores to see if you need extra help     </li>     <li>Go to an information session at one of the <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/campus-info/"" target=""_blank"">CUNY Start campuses</a>     </li>     <li>         <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/campus-info/""></a>Complete the online program application     </li>     <li>Interview with a CUNY Start staff member     </li>     <li>Submit a copy of your high school or high school equivalency diploma and complete any other requirements for your college     </li>     <li>Pay your $75 student fee     </li> </ul>",CUNY Start,,"<ul>     <li>Costs $75, including materials     </li>     <li>Students can choose between full-time and part-time schedules     </li>     <li>A second program option, <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/math-start/"" target=""_blank"">Math Start</a>, helps students develop math skills in just 8 weeks     </li>     <li>Foster youth can get additional services through the <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/foster-care-initiative/"" target=""_blank"">Foster Care Initiative</a>     </li> </ul>",Program,Start your application
,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD</a> website.     </li>     <li>Click \u201dShow Advanced Search"" in the ""Basic Search"" box.     </li>     <li>Select ""Youth Workforce Development"" from the ""All Programs"" dropdown and an ""OSY"" program from the ""All Sub-programs"" dropdown     </li> </ol>",Train & Earn\u200b,,"<ul>     <li>Available for youth 16 - 24 years old, who are not working and not in school     </li>     <li>College placement, HSE prep, and support services are also available     </li>     <li>Enroll at different times throughout the year     </li> </ul>",Program,Search for a program
,,NYCitizenship,,"<ul>     <li>Meet with a <strong>FREE</strong> immigration attorney to help you determine if you qualify to apply for U.S. citizenship     </li>     <li>If you qualify for a fee waiver, apply for citizenship for free with no application fee     </li>     <li>Receive free and confidential financial counseling     </li>     <li>An appointment is required to get help. Call <a href=""tel:311"">311</a> and say ""Citizenship appointment\u201d     </li>     <li>As a U.S citizen, you can vote in elections, apply for a U.S passport, access more jobs and more     </li> </ul>",Program,
"<p>     <strong>Email your questions</strong> </p> <p>     <a href=""mailto:HSEnrollment.nyc.gov"">Email the High School Admissions team</a> with questions about applying. </p>","<p>     To apply for admission to a public high school: </p> <ol>     <li>Visit <a href=""http://app.bronto.com/t/l?ssid=4776&amp;subscriber_id=bpoodwbawwvylbzfifslbjpsdmkzbbm&amp;delivery_id=avrbhhzshlfzjwfwzeuqyufrirybbce&amp;td=9yWbDVN0mB36O2cIzTouCQWrpk6bgx7E5xawCisi_rGgRpKUAlMuXHuiyHL09YDwRPvln_RxgubkRx7nPCNs-HHRyofj3L_p2cgoav4uaepYFKN0UTar4AP8bN6gCQkjdf32t8TAQyQYLMTtLnWEza00fLixDyBde76VmBxPDc4aMW8F1Lm8eH4Akf8gHRf-o2oVusiA5k6OGHoXWDSYADOP_TvpVZ7DwrEqi6D7HOZJNdYgYyiA8NEg"" target=""_blank"">MySchools.nyc</a> and set up your account. Speak with your school counselor if you need help. You will need your:         <ul>             <li>Student ID number             </li>             <li>Account creation code (PIN)             </li>         </ul>     </li>     <li>Use <a href=""http://app.bronto.com/t/l?ssid=4776&amp;subscriber_id=bpoodwbawwvylbzfifslbjpsdmkzbbm&amp;delivery_id=avrbhhzshlfzjwfwzeuqyufrirybbce&amp;td=9yWbDVN0mB36O2cIzTouCQWrpk6bgx7E5xawCisi_rGgRpKUAlMuXHuiyHL09YDwRPvln_RxgubkRx7nPCNs-HHRyofj3L_p2cgoav4uaepYFKN0UTar4AP8bN6gCQkjdf32t8TAQyQYLMTtLnWEza00fLixDyBde76VmBxPDc4aMW8F1Lm8eH4Akf8gHRf-o2oVusiA5k6OGHoXWDSYADOP_TvpVZ7DwrEqi6D7HOZJNdYgYyiA8NEg"" target=""_blank"">MySchools</a> to explore high school programs based on your interests, location, and more.     </li>     <li>Select up to 12 choices to add to your application in your true order of preference, and submit it by the deadline.     </li> </ol> <p>     If you just moved to NYC talk to your school counselor or visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"">Family Welcome Center</a>. </p> <p>     If you want to apply to a specialized high school, contact your guidance counselor in September to request an admissions ticket for the test. </p>",High School,"<p>     <strong>Visit a Family Welcome Center</strong> </p> <p>     Visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> to get help in person. </p>","<ul>     <li>Students interested in <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/specialized-high-schools"" target=""_blank"">Specialized High Schools</a> must audition or take an admissions test     </li>     <li>Students with disabilities and English Language Learners (ELL) may apply to any high school program     </li>     <li>The <a href=""http://schools.nyc.gov/NR/rdonlyres/73F780D0-CDA2-4122-837E-430F0F9F068E/0/HighSchoolApplicationActionChecklist.pdf"" target=""_blank"">application checklist</a> can help keep you on track with key dates.     </li> </ul>",Service,Explore your choices
,,Children with Special Health Care Needs,,,Service,
,,NYCitizenship,,"<ul>     <li>Meet with a <strong>FREE</strong> immigration attorney to help you determine if you qualify to apply for U.S. citizenship     </li>     <li>If you qualify for a fee waiver, apply for citizenship for free with no application fee     </li>     <li>Receive free and confidential financial counseling     </li>     <li>An appointment is required to get help. Call <a href=""tel:311"">311</a> and say ""Citizenship appointment\u201d     </li>     <li>As a U.S citizen, you can vote in elections, apply for a U.S passport, access more jobs and more     </li> </ul>",Program,
"<p>     <strong>Email CUNY Fatherhood</strong> </p> <ul>     <li>Kingsborough program: Email <a href=""mailto:kirk.francis.cuny.edu""><u>Kirk Francis</u></a> with questions.     </li>     <li>Hostos program: Email <a href=""mailto:dallen.cuny.edu""><u>Danielle Allen</u></a> with questions.     </li>     <li>LaGuardia program: Email <a href=""mailto:rbrooks.cuny.edu""><u>Raheem Brooks</u></a> for questions.     </li> </ul>","<p>     To apply for the CUNY Fatherhood Academy, fill in the contact form for the college you want to take classes at. A staff member will contact you shortly to let you know when the next orientation session is. </p> <ul>     <li>Apply to <a href=""http://www.hostos.cuny.edu/Administrative-Offices/Division-of-Continuing-Education-Workforce-Develop/CFA/Orientation-Session-Application"" target=""_blank""><u>Hostos Community College</u></a>     </li>     <li>Apply to <a href=""http://www.lagcc.cuny.edu/cunyfatherhood/"" target=""_blank""><u>LaGuardia Community College</u></a>     </li>     <li>Apply to <a href=""http://cewdkbcc.com/current-programs/cuny-fatherhood-academy/application-sessions/"" target=""_blank""><u>Kingsborough Community College</u></a>     </li> </ul>",CUNY Fatherhood Academy,,"<ul>     <li>Students get MetroCards and stipends     </li>     <li>You can take classes at <a href=""http://www.hostos.cuny.edu/Administrative-Offices/Division-of-Continuing-Education-Workforce-Develop/CFA""><u>Hostos Community College</u></a> (Bronx), <a href=""http://www.laguardia.edu/cunyfatherhood/""><u>LaGuardia Community College</u></a> (Queens), or <a href=""http://cewdkbcc.com/cuny-fatherhood-academy-open-house-event/""><u>Kingsborough Community College</u></a> (Brooklyn)     </li>     <li>CFA has two tracks: high school equivalency prep and college prep     </li>     <li>Participants must be NYC residents     </li> </ul>",Program,
"<p>     <strong>Email your questions</strong> </p> <p>     <a href=""mailto:ESEnrollment.nyc.gov"">Email the Kindergarten Admissions team</a> with questions about applying. </p>","<ol>     <li>Use <a href=""https://www.myschools.nyc/"" target=""_blank"">MySchools</a> to find programs you're interested in. You can list up to 12 choices on your application, including schools outside of your zone and district.     </li>     <li>Submit your application <a href=""https://www.myschools.nyc/"" target=""_blank"">online through MySchools</a> during the application period (November - January each year).     </li> </ol>",Kindergarten & Elementary School,"<p>     <strong>Visit a Family Welcome Center</strong> </p> <p>     Visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> to get help in person. </p>","<ul>     <li>All children who live in NYC and were born in 2014, including students with disabilities and English Language Learners (ELL), are eligible to apply to kindergarten     </li>     <li>Apply online, over the phone, or in-person during the application period (November - January each year)     </li>     <li>Families that applied during the application period will receive offer letters in March and should pre-register at the school to accept their offer     </li>     <li>Pre-K, kindergarten, first grade, and second grade students can take the admissions test for the <a href=""https://growingupnyc.cityofnewyork.us/programs/gifted-talented-program/"" target=""_blank"">Gifted & Talented Program</a> - which supports the needs of exceptional students     </li> </ul>",Program,Apply online
,,Office of Child Support Services,"<p>     <strong>Visit the walk-in center</strong> </p> <p>     151 West Broadway, 4th Fl.<br>     New York, NY 10013<br>     Open Monday - Friday, 8:00 a.m. - 7:00 p.m.<br>     <em>Photo ID required</em> </p>","<ul>     <li>You don\u2019t have to be a citizen to get this service, and you won't be asked about your immigration status     </li>     <li>This program doesn\u2019t help with custody or visitation. It can guide you to resources for these services     </li>     <li>You should get a child support order even if you think the other parent can\u2019t afford to pay right now. They can get help finding work and may qualify for financial protections     </li>     <li>A child can get child support until age 21, even if the other parent isn\u2019t involved in the child\u2019s life     </li>     <li>Parents whose cash assistance was lowered because they did not participate correctly with child support can have it raised when they begin to comply. These parents should bring the necessary documentation to their <a href=""https://access.nyc.gov/locations/?programs=15014"" target=""_blank"">child support office</a>     </li>     <li>Child support has proven to benefit kids in many ways, especially when it comes to doing well in school     </li> </ul>",Service,
,"<ul>     <li>New Section 8/HCV applications are not being accepted at this time. The public will be notified when applications are being accepted again.     </li>     <li>If you previously submitted a Section 8 application when the waiting list was open, log on to the <a href=""https://on.nyc.gov/nycha-ss"" target=""_blank"">Self-Service Porta<u>l</u></a> to confirm the receipt of your NYCHA application.     </li> </ul>",Section 8 / Housing Choice Voucher Program,"<p>     <strong>Visit a NYCHA walk-in center</strong> </p> <p>     Bronx: 478 East Fordham Rd, 2nd Flr, Bronx, NY 10458 </p> <p>     Brooklyn: 787 Atlantic Ave, 2nd Flr, Brooklyn, NY 11238 </p>","<ul>     <li>As of May 14, 2007 applications for Section 8/HCV programs are not being accepted; the public will be notified when applications reopen and how to apply     </li>     <li>If you previously submitted a Section 8 application when the waiting list was open, log on to the <a href=""https://on.nyc.gov/nycha-ss"" target=""_blank"">Self-Service Portal</a> to confirm the receipt of your NYCHA application     </li>     <li>Affordable housing options are also available through <a href=""http://www1.nyc.gov/site/hpd/renters/find-housing.page"" target=""_blank"">NYC Housing Connect</a> and <a href=""http://www.nychdc.com/pages/Now-Renting.html"" target=""_blank"">NYC Housing Development Corporation</a>     </li>     <li>Never pay money to apply for Section 8 or public housing     </li>     <li>NYCHA, NYC Housing & Preservation Development, and NYS Home & Community Renewal all operate Section 8 programs in NYC     </li> </ul>",Program,Confirm receipt of your application
"<p>     <strong>Email your questions</strong> </p> <p>     <a href=""mailto:NYCYLC.nyc.gov""><u>Email the Youth Leadership Council</u></a> if you have questions about this program. </p>",<p>     Apply on the YLC website. </p>,NYC Youth Leadership Councils,,<ul>     <li>Available to youth in high school and in high school equivalent (HSE) programs     </li>     <li>For youth ages 14 - 21     </li>     <li>No prior leadership experience is required     </li> </ul>,Program,Request an application
"<p>     <strong>Email NYCELL</strong> </p> <p>     <strong><br>     <br></strong> <a href=""mailto:earlychildhood.nyc.gov""><u>Email NYCELL</u></a> if you have questions about the program. </p>",,NYC Early Literacy Learning Program,"<p>     <strong>Visit a center<br>     <br></strong> Visit a <a href=""http://schools.nyc.gov/Academics/EarlyChildhood/parentfamilies/NYCELL.htm"" target=""_blank""><u>NYCELL site</u></a> to get help in person. </p>","<ul>     <li>The program is for 12 weeks, twice a week, for two hours     </li>     <li>Families learn ways to improve their children's speech, reading, and writing     </li>     <li>Families get free books and educational toys to take home     </li>     <li>Offered at five NYCHA community centers in Manhattan, the Bronx, and Brooklyn as well as at the <a href=""https://www.nypl.org/locations/inwood"" target=""_blank""><u>Inwood Library</u></a>     </li> </ul>",Program,
,,Primary and Preventive Health Care,"<p>     <strong>Visit a heath care center</strong><br>     <br>     Find a <a href=""http://www.nychealthandhospitals.org/health_care/"" target=""_blank""><u>child health center location</u></a> near you to get help in person. </p>","<ul>     <li>Children can also get health care at <a href=""https://growingupnyc.cityofnewyork.us/programs/school-based-health-centers/"" target=""_blank""><u>School-Based Health Centers</u></a>     </li>     <li>All children can get care, regardless of your ability to pay or immigration status     </li>     <li>NYC Health + Hospitals can help your family find insurance if you need it     </li>     <li>Youth twelve and older can get private sexual and reproductive services and <a href=""http://nycyouthhealth.org/"" target=""_blank""><u>YouthHealth Centers</u></a>     </li> </ul>",Service,
,,Home Care Services Program,"<p>     <strong>Visit a Home Care office</strong> </p> <p>     Visit a <a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/micsa/casa_offices.pdf"" target=""_blank"">Home Care CASA office</a> to get help in person.<br> </p>",<ul>     <li>All programs require that you be eligible for Medicaid     </li>     <li>Services are available for children and adults     </li>     <li>Emergency home care is also available     </li> </ul>,Service,
"<p>     <strong>Email your questions</strong> </p> <p>     <a href=""mailto:ESEnrollment.nyc.gov"">Email the Kindergarten Admissions team</a> with questions about applying. </p>","<ol>     <li>Use <a href=""https://www.myschools.nyc/"" target=""_blank"">MySchools</a> to find programs you're interested in. You can list up to 12 choices on your application, including schools outside of your zone and district.     </li>     <li>Submit your application <a href=""https://www.myschools.nyc/"" target=""_blank"">online through MySchools</a> during the application period (November - January each year).     </li> </ol>",Kindergarten & Elementary School,"<p>     <strong>Visit a Family Welcome Center</strong> </p> <p>     Visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> to get help in person. </p>","<ul>     <li>All children who live in NYC and were born in 2014, including students with disabilities and English Language Learners (ELL), are eligible to apply to kindergarten     </li>     <li>Apply online, over the phone, or in-person during the application period (November - January each year)     </li>     <li>Families that applied during the application period will receive offer letters in March and should pre-register at the school to accept their offer     </li>     <li>Pre-K, kindergarten, first grade, and second grade students can take the admissions test for the <a href=""https://growingupnyc.cityofnewyork.us/programs/gifted-talented-program/"" target=""_blank"">Gifted & Talented Program</a> - which supports the needs of exceptional students     </li> </ul>",Program,Apply online
"<p>     <strong>Email CUNY Start at your campus</strong> </p> <ul>     <li>         <a href=""mailto:cunystart.cuny.edu"">Borough of Manhattan Community College</a><a href=""mailto:cunystart.cuny.edu""></a>     </li>     <li>         <a href=""mailto:cunystart.cuny.edu"">Bronx Community College</a>     </li>     <li>         <a href=""mailto:cunystart.cuny.edu"">College of Staten Island</a>     </li>     <li>         <a href=""mailto:cunystart.cuny.edu"">Hostos Community College</a>     </li>     <li>         <a href=""mailto:cunystart.cuny.edu"">LaGuardia Community College</a>     </li>     <li>         <a href=""mailto:cunystart.cuny.edu"">Medgar Evers College</a>     </li>     <li>         <a href=""mailto:cunystart.cuny.edu"">Queensborough Community College</a>     </li> </ul>","<p>     To enroll in CUNY Start: </p> <ul>     <li>Complete all <a href=""http://www2.cuny.edu/admissions/undergraduate/"" target=""_blank"">CUNY admissions</a> requirements and apply to a <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/campus-info/"" target=""_blank"">CUNY Start campus</a>     </li>     <li>Take the <a href=""http://www.cuny.edu/academics/testing.html"" target=""_blank"">CUNY Assessment Tests</a> and check your scores to see if you need extra help     </li>     <li>Go to an information session at one of the <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/campus-info/"" target=""_blank"">CUNY Start campuses</a>     </li>     <li>         <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/campus-info/""></a>Complete the online program application     </li>     <li>Interview with a CUNY Start staff member     </li>     <li>Submit a copy of your high school or high school equivalency diploma and complete any other requirements for your college     </li>     <li>Pay your $75 student fee     </li> </ul>",CUNY Start,,"<ul>     <li>Costs $75, including materials     </li>     <li>Students can choose between full-time and part-time schedules     </li>     <li>A second program option, <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/math-start/"" target=""_blank"">Math Start</a>, helps students develop math skills in just 8 weeks     </li>     <li>Foster youth can get additional services through the <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/foster-care-initiative/"" target=""_blank"">Foster Care Initiative</a>     </li> </ul>",Program,Start your application
,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD</a> website.     </li>     <li>Select ""afterschool programs"" in the category field.     </li>     <li>Enter your borough and neighborhood, or zip code to begin searching.     </li> </ol>",Comprehensive After School System of NYC,<p>     <strong>Visit your child\u2019s school</strong> </p> <p>     Speak with an afterschool program staff at your child\u2019s school for more information. </p>,"<ul>     <li>Programs are offered to young people for free     </li>     <li>Programs are three hours each day, five days per week, including on school holidays     </li> </ul>",Program,Search online
"<p>     <strong>Text a counselor now</strong> </p> <p>     Text WELL to <a href=""sms:65173"">65173</a> at anytime to communicate with a counselor. When prompted text:<br> </p> <ul>     <li>1 for English     </li>     <li>2 for Spanish     </li>     <li>3 for Chinese     </li> </ul>",,NYC Well,"<p>     <strong>Chat with a counselor now</strong> </p> <p>     Go to the <a href=""https://nycwell.cityofnewyork.us/en/get-help-now/chat-with-a-counselor-now/"" target=""_blank"">NYC Well website to chat</a> with a counselor at anytime. </p>","<ul>     <li>You can get access to services in more than 200 languages     </li>     <li>Counselors are available everyday, at any hour of the day     </li>     <li>You can also get help finding long-term counseling and scheduling appointments     </li> </ul>",Resource,
,"<p>     YouthHealth clinics are located across NYC. Use the <a href=""http://www.nycyouthhealth.org/html/find-youth-services.shtml"" target=""_blank""><u>location finder</u></a> to find a clinic close to you and call to make an appointment. </p>",NYC YouthHealth,"<p>     <strong>Visit a YouthHealth clinic</strong> </p> <p>     Find a <a href=""http://www.nycyouthhealth.org/html/find-youth-services.shtml"" target=""_blank""><u>YouthHealth clinic near you</u></a> to get help in person. </p>","<ul>     <li>All sexual and reproductive services are private. Staff will not speak to anyone about them, not even your parents or guardians, without your permission     </li>     <li>You do not need an appointment for emergency contraception, pregnancy testing, or STI/D testing - you can just walk into clinics     </li> </ul>",Service,Find a YouthHealth Clinic
,,Beacon Programs,,,Program,
,,Outpatient Services,,"<p>     There are two major types of outpatient mental health for children: clinic treatment and day treatment. </p> <ul>     <li>Clinic treatment services include:<br>         <ul>             <li>Assessment (psychiatric, psychosocial)             </li>             <li>Individual, family, and group therapy             </li>             <li>Managing medicine             </li>             <li>Case management             </li>             <li>Referrals to doctors<br>                 <br>             </li>         </ul>     </li>     <li>Day treatment program services include:<br>         <ul>             <li>Special education in small classes             </li>             <li>Treatment plans             </li>             <li>Managing medicine             </li>             <li>Individual, family, and group therapy             </li>             <li>Emergency help             </li>             <li>Interpersonal skill development             </li>         </ul>     </li> </ul>",Resource,
,,Safe Sleep Initiative,,"<ul>     <li>For more information about infant sleep, see <a href=""http://www1.nyc.gov/site/acs/about/safe-sleep-faq.page"" target=""_blank"">frequently asked questions</a>, download the <a href=""https://www1.nyc.gov/assets/acs/pdf/about/2017/safesleepbrochure0609.pdf"" target=""_blank"">Safe Sleep brochure</a>, or watch the <a href=""https://youtu.be/ZLeL_LqieMI"" target=""_blank"">Safe Sleep video</a>.     </li>     <li>Low-income ACS-involved families can get a crib, which is delivered and set up in their home.     </li>     <li>Eligible families can receive a crib at a <a href=""https://www1.nyc.gov/site/doh/health/neighborhood-health/neighborhood-health-action-centers.page"" target=""_blank"">Neighborhood Health Action Center</a> or community-based organization in their borough.     </li> </ul>",Resource,
"<p>     <strong>Call for an appointment</strong> </p> <p>     Call NYC Health + Hospitals at <a href=""tel:212-423-7292"" target=""_blank""><u>212-423-7292</u></a> to make an appointment. </p>","<p>     To make an appointment, call NYC Health + Hospitals at <a href=""tel:212-423-7292"" target=""_blank""><u>212-423-7292</u></a> or send them an <a href=""mailto:metlgbt.org""><u>email</u></a>. </p>",LGBTQ Health Care Services,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.nychealthandhospitals.org/services/lgbtq-health-care-services/"" target=""_blank""><u>NYC Health + Hospitals LGBTQ Health website</u></a> to learn more. </p>","<ul>     <li>Care is provided to everyone, regardless of your ability to pay or immigration status     </li>     <li>NYC Health + Hospitals can help you find insurance if you need it     </li>     <li>You're free to use the restroom or single sex area that is most aligned with your gender identity or expression     </li>     <li>Youth twelve and older can get private reproductive and sexual health services     </li> </ul>",Service,
,"<p>     YouthHealth clinics are located across NYC. Use the <a href=""http://www.nycyouthhealth.org/html/find-youth-services.shtml"" target=""_blank""><u>location finder</u></a> to find a clinic close to you and call to make an appointment. </p>",NYC YouthHealth,"<p>     <strong>Visit a YouthHealth clinic</strong> </p> <p>     Find a <a href=""http://www.nycyouthhealth.org/html/find-youth-services.shtml"" target=""_blank""><u>YouthHealth clinic near you</u></a> to get help in person. </p>","<ul>     <li>All sexual and reproductive services are private. Staff will not speak to anyone about them, not even your parents or guardians, without your permission     </li>     <li>You do not need an appointment for emergency contraception, pregnancy testing, or STI/D testing - you can just walk into clinics     </li> </ul>",Service,Find a YouthHealth Clinic
"<p>     <strong>Email SCHE</strong> </p> <p>     If you have questions, <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page"" target=""_blank"">email SCHE</a> for more information.<br> </p>",,Senior Citizen Homeowners' Exemption,,"<ul>     <li>Applications must be postmarked by March 15th for benefits to begin on July 1st each year     </li>     <li>Requires proof of age, income, and tax deduction     </li>     <li>If your property qualifies for SCHE and the Disabled Homeowners Exemption (DHE), you will only be granted SCHE; you cannot get both     </li>     <li>All owners must be 65 years of age or older, unless the property is owned by spouse or sibling, who doesn't need to meet this age requirement     </li>     <li>         <a href=""http://webapps.nyc.gov:8084/CICS/fin1/find001I"" target=""_blank"">Determine the borough, block, and lot (BBL)</a> for your property     </li> </ul>",Program,
