unique_id_number,how_to_apply_or_enroll_by_phone,get_help_by_calling_other_than_311,apply_by_mail_call_to_action,brief_excerpt,how_to_apply_or_enroll_in_person
P102en,"<p>     To receive services, call <a href=""tel:311"">311</a> and say ""citizenship appointment"". <strong>No walk-ins.</strong><br>     Services are available at select NYC libraries. </p><a href=""https://www.bklynlibrary.org/learn/immigrants/citizenship"" target=""_blank""><strong>Brooklyn Public Library</strong></a>:<br> <ul>     <li>         <a href=""https://www.bklynlibrary.org/locations/eastern-parkway"" target=""_blank"">Eastern Parkway Library</a>     </li>     <li>         <a href=""https://www.bklynlibrary.org/locations/flatbush"" target=""_blank"">Flatbush Library</a>     </li>     <li>         <a href=""https://www.bklynlibrary.org/locations/kings-highway"" target=""_blank"">Kings Highway Library</a>     </li>     <li>         <a href=""https://www.bklynlibrary.org/locations/new-utrecht"" target=""_blank"">New Utrecht Library</a>     </li> </ul> <p>     <a href=""https://www.nypl.org/help/community-outreach/nycitizenship"" target=""_blank""><strong>New York Public Library</strong></a><strong>:</strong><br> </p> <ul>     <li>         <a href=""https://www.nypl.org/locations/bronx-library-center"" target=""_blank"">Bronx Library Center</a>     </li>     <li>         <a href=""https://www.nypl.org/locations/sibl"" target=""_blank"">Science Business and Industry Library- Midtown</a>     </li>     <li>         <a href=""https://www.nypl.org/locations/inwood"" target=""_blank"">Inwood Library</a>     </li>     <li>         <a href=""https://www.nypl.org/locations/st-george-library-center"" target=""_blank"">St. George Library Center- Staten Island</a>     </li> </ul><a href=""http://www.queenslibrary.org/services/citizenship-immigration/nycitizenship-sessions"" target=""_blank""><strong>Queens Public Library</strong></a>:<br> <ul>     <li>         <a href=""http://www.queenslibrary.org/branch/Jackson-Heights/"" target=""_blank"">Jackson Heights Library</a>     </li>     <li>         <a href=""http://www.queenslibrary.org/branch/Central-Library"" target=""_blank"">Central Library- Jamaica</a>     </li>     <li>         <a href=""http://www.queenslibrary.org/branch/Flushing"" target=""_blank"">Flushing Library</a>     </li>     <li>         <a href=""http://www.queenslibrary.org/branch/Astoria"" target=""_blank"">Astoria Library</a>     </li> </ul>",,,<p>     Free citizenship application assistance and financial counseling. </p>,
P100en,,"<p>     <strong>Call for help</strong> </p> <p>     Call <a href=""tel:718-935-2399"">718-935-2399</a> if you have questions about applying to high school. </p>",,<p>     Learn about the High School Admissions process for public schools. </p>,
P054en,,,,<p>     Help for children with medical conditions that require special medical services. </p>,
P102en,"<p>     To receive services, call <a href=""tel:311"">311</a> and say ""citizenship appointment"". <strong>No walk-ins.</strong><br>     Services are available at select NYC libraries. </p><a href=""https://www.bklynlibrary.org/learn/immigrants/citizenship"" target=""_blank""><strong>Brooklyn Public Library</strong></a>:<br> <ul>     <li>         <a href=""https://www.bklynlibrary.org/locations/eastern-parkway"" target=""_blank"">Eastern Parkway Library</a>     </li>     <li>         <a href=""https://www.bklynlibrary.org/locations/flatbush"" target=""_blank"">Flatbush Library</a>     </li>     <li>         <a href=""https://www.bklynlibrary.org/locations/kings-highway"" target=""_blank"">Kings Highway Library</a>     </li>     <li>         <a href=""https://www.bklynlibrary.org/locations/new-utrecht"" target=""_blank"">New Utrecht Library</a>     </li> </ul> <p>     <a href=""https://www.nypl.org/help/community-outreach/nycitizenship"" target=""_blank""><strong>New York Public Library</strong></a><strong>:</strong><br> </p> <ul>     <li>         <a href=""https://www.nypl.org/locations/bronx-library-center"" target=""_blank"">Bronx Library Center</a>     </li>     <li>         <a href=""https://www.nypl.org/locations/sibl"" target=""_blank"">Science Business and Industry Library- Midtown</a>     </li>     <li>         <a href=""https://www.nypl.org/locations/inwood"" target=""_blank"">Inwood Library</a>     </li>     <li>         <a href=""https://www.nypl.org/locations/st-george-library-center"" target=""_blank"">St. George Library Center- Staten Island</a>     </li> </ul><a href=""http://www.queenslibrary.org/services/citizenship-immigration/nycitizenship-sessions"" target=""_blank""><strong>Queens Public Library</strong></a>:<br> <ul>     <li>         <a href=""http://www.queenslibrary.org/branch/Jackson-Heights/"" target=""_blank"">Jackson Heights Library</a>     </li>     <li>         <a href=""http://www.queenslibrary.org/branch/Central-Library"" target=""_blank"">Central Library- Jamaica</a>     </li>     <li>         <a href=""http://www.queenslibrary.org/branch/Flushing"" target=""_blank"">Flushing Library</a>     </li>     <li>         <a href=""http://www.queenslibrary.org/branch/Astoria"" target=""_blank"">Astoria Library</a>     </li> </ul>",,,<p>     Free citizenship application assistance and financial counseling. </p>,
P051en,,"<p>     <strong><strong>Call CUNY Fatherhood</strong></strong> </p> <ul>     <li>         <strong>Kingsborough program: <a href=""tel:718-368-4916""><u>718-368-4916</u></a></strong>     </li>     <li>         <strong><a href=""tel:718-368-6523""></a>Hostos program: <a href=""tel:718-518-6831""><u>718-518-6831</u></a></strong>     </li>     <li>         <strong>LaGuardia program: <a href=""tel:718-730-7337""><u>718-730-7337</u></a></strong>     </li> </ul><strong><a href=""tel:718-368-6523""></a></strong> <p>     <strong><a href=""tel:718-730-7337""></a></strong> </p>",,"<p>     Education, employment, and parenting help for fathers ages 18 - 30. </p>",
P049en,"<ol>     <li>Use the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/kindergarten"" target=""_blank"">NYC Kindergarten Directory</a> to find programs you're interested in. You can list up to 12 choices on your applications, including schools outside of your zone and district.     </li>     <li>Call <a href=""tel:718-935-2009"">718-935-2009</a> to apply during the application period (November - January each year).     </li> </ol>","<p>     <strong>Call for help</strong> </p> <p>     Call <a href=""tel:718-935-2009"">718-935-2009</a> if you have questions about Kindergarten. </p>",,"<p>     Enroll your child in school, starting when they are five years old. Learn about your elementary school options. </p>","<ol>     <li>Use the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/kindergarten"" target=""_blank"">NYC Kindergarten Directory</a> to find programs you're interested in. You can list up to 12 choices on your applications, including schools outside of your zone and district.     </li>     <li>Pick up and submit your application at a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> during the application period (November - January each year).     </li> </ol>"
P037en,,"<p>     <strong>Call the Helpline</strong> </p> <p>     Call NYS Child Support Helpline at <a href=""tel:888-208-4485"">888-208-4485</a> (or <a href=""tel:866-875-9975"">866-875-9975</a> if you have trouble hearing) for more information. Automated information is available 24 hours a day/7 days a week. Social security number and PIN required. </p>",Download the form,<p>     Financial support for children and employment support for fathers and mothers. </p>,"<ul>     <li>         <a href=""https://access.nyc.gov/wp-content/uploads/2018/08/Child_Support_Enforcement_Form_EN.pdf"" target=""_blank"">Download and complete the child support application</a>. You only need to fill out the last 8 pages.     </li>     <li>Submit the application to your local <a href=""https://access.nyc.gov/locations/?programs=15014"" target=""_blank"">child support office</a> at the <a href=""http://www.nycourts.gov/courts/nyc/family/index.shtml"" target=""_blank"">Family Court</a> in your borough.     </li>     <li>If you\u2019re applying for or receiving cash assistance or medical assistance, you need to interview at the Office of Child Support Services to open a case.     </li>     <li>Bring as much information as you can about the child\u2019s other parent. Examples include their birthday, Social Security number, address, and employer\u2019s name. A photo is also helpful.     </li> </ul>"
P013en,,"<p>     <strong>Call if you have questions</strong> </p> <p>     Call NYCHA Section 8 at <a href=""tel:718-707-7771"">718-707-7771</a>. </p>",,<p>     Section 8 helps low-and-moderate-income families rent housing in the private market. </p>,
P098en,,,,"<p>     Youth can take part in leadership councils at City agencies, schools, and community organizations. </p>",
P056en,"<p>     To apply for NYCELL, contact a <a href=""http://schools.nyc.gov/Academics/EarlyChildhood/parentfamilies/NYCELL.htm"" target=""_blank""><u>participating community center</u></a> or call Lynda Nicolas at <a href=""tel:212-356-3844""><u>212-356-3844</u></a>. </p>","<p>     <strong>Call NYCELL</strong> </p> <p>     Call Lynda Nicolas at <a href=""tel:212-356-3844""><u>212-356-3844</u></a> to learn more about NYCELL. </p>",,"<p>     Help your child get ready to read using fun activities, free books, and toys. </p>",
P062en,"<p>     NYC Health + Hospitals has centers across the five boroughs. Use the <a href=""http://www.nychealthandhospitals.org/health_care/"" target=""_blank""><u>location finder</u></a> to find a center close to you and call to make an appointment. </p>",,,<p>     Children and youth can get health care and treat illnesses. </p>,
P082en,"<p>     You can also call the HRA Office of Special Services at <a href=""tel:718-557-1399"">718-557-1399</a> to find out how to apply for a program that is right for you. </p>","<p>     <strong>Call the HRA Office of Special Services</strong> </p> <p>     Call <a href=""tel:718-557-1399"">718-557-1399</a> to get helping finding a program. </p>",,<p>     Seniors and people with disabilities care receive health care in their home. </p>,<p>     How you apply for home care programs depends on your needs. Visit a Home Care CASA office to find out how to apply to a program right for you and your family. </p>
P049en,"<ol>     <li>Use the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/kindergarten"" target=""_blank"">NYC Kindergarten Directory</a> to find programs you're interested in. You can list up to 12 choices on your applications, including schools outside of your zone and district.     </li>     <li>Call <a href=""tel:718-935-2009"">718-935-2009</a> to apply during the application period (November - January each year).     </li> </ol>","<p>     <strong>Call for help</strong> </p> <p>     Call <a href=""tel:718-935-2009"">718-935-2009</a> if you have questions about Kindergarten. </p>",,"<p>     Enroll your child in school, starting when they are five years old. Learn about your elementary school options. </p>","<ol>     <li>Use the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/kindergarten"" target=""_blank"">NYC Kindergarten Directory</a> to find programs you're interested in. You can list up to 12 choices on your applications, including schools outside of your zone and district.     </li>     <li>Pick up and submit your application at a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> during the application period (November - January each year).     </li> </ol>"
P089en,,"<p>     <strong>Call CUNY Start at your campus today</strong> </p> <ul>     <li>Borough of Manhattan Community College: <a href=""tel:646-346-8398"">646-346-8398</a>     </li>     <li>Bronx Community College: <a href=""tel:718-289-5100"">718-289-5100</a> ext. 3141     </li>     <li>College of Staten Island: <a href=""tel:718-982-3069"">718-982-3069</a>     </li>     <li>Hostos Community College: <a href=""tel:718-518-6851"">718-518-6851</a>     </li>     <li>Kingsborough Community College: <a href=""tel:718-368-4500"">718-368-4500</a>     </li>     <li>LaGuardia Community College: <a href=""tel:718-482-5137"">718-482-5137</a>     </li>     <li>Medgar Evers College: <a href=""tel:718-270-6161"">718-270-6161</a>     </li>     <li>Queensborough Community College: <a href=""tel:718-281-5368"">718-281-5368</a>     </li> </ul>",,<p>     CUNY students can get help meeting CUNY's proficiency standards and preparing for college-level courses. </p>,
P009en,,"<p>     <strong>Call for help</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> or the afterschool program staff at your child\u2019s school for more information. </p>",,<p>     COMPASS NYC has hundreds of programs for young people in kindergarten through 12th grade. </p>,"<p>     To enroll your child in a COMPASS NYC program, contact the program staff at your child\u2019s school. </p>"
P035en,,"<p>     <strong>Talk to a counselor now</strong><br> </p> <p>     Call <a href=""tel:888-692-9355"">888-NYC-WELL</a> to speak with a counselor at anytime.<br> </p> <ul>     <li>For Spanish, press 3     </li>     <li>For Chinese, press 4     </li> </ul> <p>     <strong>Call 711</strong> </p> <ul>     <li>If you need relay service for deaf or hard of hearing.     </li> </ul>",,"<p>     Free and private talk, text, or chat mental health services available all day for you or someone you care about. </p>",
P096en,,,,"<p>     If you are 12 and over and looking for health care, NYC Health + Hospitals has your back. </p>",
P046en,,"<p>     <strong>Call DYCD Youth Connect</strong> </p> <p>     Call <a href=""tel:1-800-246-4646"">1-800-246-4646</a> or <a href=""tel:646-343-6800"">646-343-6800</a> to find out how to participate. </p>",,<p>     School-based community centers serving children ages 6 and older. </p>,
P059en,,,,"<p>     Help for young people who have emotional, behavioral, and mental health challenges. </p>",
P079en,,,,<p>     Families can get information on creating a safe sleep environment for their baby and may qualify for a free crib. </p>,
P090en,,,,<p>     Safe and affirming health care for LGBTQ New Yorkers. </p>,
P096en,,,,"<p>     If you are 12 and over and looking for health care, NYC Health + Hospitals has your back. </p>",
P014en,,"<p>     <strong>Call SCHE</strong> </p> <p>     Call <a href=""tel:212-639-9675"">212-NEW-YORK</a> or <a href=""tel:212-639-9675"">212-639-9675</a> for out-of-city, or TTY <a href=""tel:212-639-9675"">212-639-9675</a> (hearing impaired). </p>",Download the form,<p>     Seniors can get a partial exemption from property taxes.<br> </p>,
P099en,"<p>     To apply for Jobs Plus, <a href=""http://opportunitynycha.org/workforce-development/jobs-plus/"" target=""_blank"">contact a site near you</a>. </p>","<p>     <strong>Call a site</strong> </p> <p>     Call a <a href=""http://opportunitynycha.org/workforce-development/jobs-plus/"" target=""_blank"">Jobs Plus site</a> for questions about a specific location. </p>",,<p>     Jobs Plus is an employment program that helps NYCHA residents find employment and increase their earnings. </p>,
P003en,,,,<p>     Free or low-cost care for children. </p>,"<ol>     <li>Use the EarlyLearn NYC program finder and choose a provider.     </li>     <li>Download <a href=""https://access.nyc.gov/wp-content/uploads/2018/06/Child-Care-Subsidy-ApplicationForm_EN.pdf"" target=""_blank"">the application</a>, visit the program of your choice to pick one up, or call <a href=""tel:311"">311</a> and request one be mailed to you.     </li>     <li>Complete the application and submit it with required the documents to the EarlyLearn NYC Child Care program site of your choice.     </li>     <li>If your child is approved for a seat in an EarlyLearn NYC center, ACS and the program will contact you about when your child can start attending. If your child is eligible, but the program has no vacancies, you may be placed on a waiting list.     </li>     <li>If you are receiving benefits from the Human Resources Administration (HRA) and would like to enroll in an EarlyLearn NYC program, visit <a href=""http://www.nyc.gov/html/hra/html/services/job_centers.shtml"" target=""_blank"">your assigned Job Center</a>.     </li> </ol>"
P054en,,,,<p>     Help for children with medical conditions that require special medical services. </p>,
P023en,,"<p>     <strong>Call the help desk</strong> </p> <p>     Call the SchoolFood Summer meals team at <a href=""tel:718-707-4398"">718-707-4398</a> if you have questions.<br> </p>",,<p>     Children can get free breakfast and lunch in the summer at hundreds of locations in NYC. </p>,
P020en,,"<p>     <strong>Call SchoolFood Customer Information</strong> </p> <p>     Call <a href=""tel:877-363-6325"">877-363-6325</a> if you have questions about applying.<br> </p>",,<p>     NYC students can enjoy free breakfast and lunch every school day. </p>,<p>     Speak to the Parent Coordinator in your child's school for more information. </p>
P028en,"<p>     Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> to apply. </p>","<p>     <strong>Call for help</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> for more information on Learn & Earn.<br> </p>",,<p>     Learn & Earn helps high schoolers succeed in school while preparing them for college and their careers. </p>,
P005en,"<p>     If you live in a Housing Development Fund Company (HDFC) apartment or Mitchell-Lama apartment, call HPD at <a href=""tel:212-863-8494"">212-863-8494</a> to apply. </p>","<p>     <strong>Call DRIE using TTY</strong> </p> <p>     Call <a href=""tel:212-639-9675"">212-639-9675</a> if you have a hard time hearing. </p>",Download the form,<p>     DRIE can help people with disabilities freeze their rent so it won't be increased. </p>,"<ol>     <li>Print a <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/DRIE_Application_Packet_EN.pdf"" target=""_blank"">paper application</a>, pick one up from DRIE walk-in center at 66 John St, 3rd Flr New York, NY, 10038 (Monday - Friday, 8:30 a.m. - 4:30 p.m.), or call <a href=""tel:311"">311</a> to request a paper application form to be mailed to you     </li>     <li>Complete your DRIE application and take it to:<br>         <strong>DRIE Walk-In Center</strong><br>         66 John St, 3rd Floor<br>         New York, NY, 10038<br>         Open Monday - Friday, 8:30 a.m. - 4:30 p.m.     </li> </ol>"
P060en,,,,<p>     Free or low-cost health insurance plans for NYC children. </p>,
P068en,,,,"<p>     Help for parents and their children who have emotional, behavioral, or mental health challenges through peer-led programs. </p>",
P014en,,"<p>     <strong>Call SCHE</strong> </p> <p>     Call <a href=""tel:212-639-9675"">212-NEW-YORK</a> or <a href=""tel:212-639-9675"">212-639-9675</a> for out-of-city, or TTY <a href=""tel:212-639-9675"">212-639-9675</a> (hearing impaired). </p>",Download the form,<p>     Seniors can get a partial exemption from property taxes.<br> </p>,
P073en,,,,<p>     Support for families struggling with an at-risk youth. </p>,
P024en,,"<p>     <strong>Call REES</strong> </p> <p>     Call the REES hotline at <a href=""tel:718-289-8100"">718-289-8100</a><a href=""tel:718-289-8100%E2%80%8B""></a> to learn more. </p>",,<p>     Education and work training programs for public housing residents. </p>,"<ol>     <li>Information sessions are held every Tuesday and Thursday at 8:30 a.m at the Brooklyn office: 787 Atlantic Ave., Brooklyn, NY 11238.     </li>     <li>You can RSVP for an info session <a href=""http://opportunitynycha.org/events/"" target=""_blank"">online</a> or by calling the REES hotline at <a href=""tel:718-289-8100"">718-289-8100</a>.     </li> </ol>"
P083en,"<p>     If you are unable to apply online, contact the NYCHA Customer Contact Center to request a paper application at <a href=""tel:718-707-7771"">718-707-7771</a>. </p>","<p>     <strong>Call NYCHA</strong> </p> <p>     Call <a href=""tel:718-707-7771"">718-707-7771</a> if you have questions about public housing. </p>",,<p>     Affordable housing for low-and moderate-income New Yorkers. </p>,"<p>     You can apply online at kiosks available at the NYCHA Customer Contact Centers located at : </p> <p>     478 East Fordham Road (1 Fordham Plaza), 2nd Floor<br>     Bronx, NY 10458 </p> <p>     or </p> <p>     787 Atlantic Avenue, 2nd Floor<br>     Brooklyn, NY 11238 </p> <p>     Centers are open Monday - Friday, 8:00 am - 5:00 pm. </p>"
P042en,,"<p>     <strong>Call Access-A-Ride</strong> </p> <p>     Call <a href=""tel:877-337-2017"">877-337-2017</a> if you have questions about applying for Access-A-Ride. </p>",,<p>     People with disabilities can get transportation throughout the five boroughs of NYC. </p>,"<ol>     <li>Make an appointment by calling <a href=""tel:877-337-2017"">877-337-2017</a> and pressing 1 when prompted.     </li>     <li>When you schedule your appointment, let the staff know if you need:<br>         <ol>             <li>material in large print, Braille, or recorded format             </li>             <li>a sign language interpreter             </li>             <li>a personal care attendant to travel with you             </li>             <li>telephonic interpretation services             </li>         </ol>     </li>     <li>After you book your appointment you will get an application package in the mail. The package will include the application, a letter about your appointment, and instructions on round-trip transportation to the testing center.         <ol>             <li>When scheduling transportation, mention if you are traveling with a personal care attendant.             </li>         </ol>     </li>     <li>Call <a href=""tel:877-337-2017"">877-337-2017</a> (prompt #1) if you haven't received your AAR eligibility by mail.     </li> </ol>"
P030en,,"<p>     <strong>Call SYEP</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> for more information.<br> </p>",,<p>     SYEP provides youth between the ages of 14 and 24 with paid summer work for up to six weeks. </p>,<p>     Youth can also apply at their community-based organization. </p>
P090en,,,,<p>     Safe and affirming health care for LGBTQ New Yorkers. </p>,
P073en,,,,<p>     Support for families struggling with an at-risk youth. </p>,
P051en,,"<p>     <strong><strong>Call CUNY Fatherhood</strong></strong> </p> <ul>     <li>         <strong>Kingsborough program: <a href=""tel:718-368-4916""><u>718-368-4916</u></a></strong>     </li>     <li>         <strong><a href=""tel:718-368-6523""></a>Hostos program: <a href=""tel:718-518-6831""><u>718-518-6831</u></a></strong>     </li>     <li>         <strong>LaGuardia program: <a href=""tel:718-730-7337""><u>718-730-7337</u></a></strong>     </li> </ul><strong><a href=""tel:718-368-6523""></a></strong> <p>     <strong><a href=""tel:718-730-7337""></a></strong> </p>",,"<p>     Education, employment, and parenting help for fathers ages 18 - 30. </p>",
P093en,,"<p>     <strong>Call Youth Connect</strong><br>     <br>     Call DYCD Youth Connect at <a href=""tel:1-800-246-4646""><u>1-800-246-4646</u></a> if you have questions about this program. </p>",,<p>     YALP helps youth struggling with reading and math increase their skills so that they can enroll in high school equivalency tests and preparation programs. </p>,
P039en,,"<p>     <strong>Call the Emergency Food Hotline</strong> </p> <p>     Call <a href=""tel:866-888-8777"">866-888-8777</a> for 24/7 information on locations and hours. </p>",,<p>     Quickly find food pantries and community kitchens that provide free food. </p>,
P029en,"<p>     Woman and girls can find out if they are eligible by calling NYC NFP at <a href=""tel:646-364-0714"">646-364-0714</a>. </p>","<p>     <strong>Call NYC NFP</strong> </p> <p>     Call NYC NFP at <a href=""tel:646-364-0714"">646-364-0714</a> for more information. </p>",Download the form,<p>     Nurses provide support and give medical care and advice to women who are pregnant for the first time. </p>,
P018en,,"<p>     <strong>Mail the Department of Finance</strong> </p> <p>     NYC Department of Finance<br>     Correspondence Unit<br>     One Centre Street, 22nd Floor<br>     New York, NY 10007<br> </p>",Download application,"<p>     Property-tax exemption for qualifying veterans. There are three types of benefits: basic, combat, and disabled. </p>",
P070en,,,,<p>     Get $2 coupons to spend on fruits and vegetables for every $5 you spend at the farmer's market with your SNAP benefits. </p>,
P021en,"<p>     Apply over the phone by calling the NYS Department of Labor at <a href=""tel:888-209-8124"">888-209-8124</a>, Monday \u2013 Friday, 8:00 a.m - 5:00 p.m. </p>","<p>     <strong>Call NYS Unemployment</strong> </p> <p>     Call <a href=""tel:888-469-7365"">888-469-7365</a> if you have questions about unemployment benefits. </p>",,<p>     Unemployment gives temporary income to workers who lose their jobs. </p>,
P006en,,"<p>     <strong>Find a VITA or TCE location</strong> </p> <p>     Call <a href=""tel:800-906-9887"">800-906-9887</a> to find the nearest Volunteer Income Tax Assistance (VITA) or Tax Counseling for the Elderly (TCE). </p>",,"<p>     Tax credit or refund for low- to moderate-income working people and couples, especially those with children, worth up to $8,463. </p>","<p>     If you earn $54,000 or less (with children) or $30,000 or less (without children), you may be eligible to get your taxes done in-person for free. </p>You will need the following forms:<br> <ul>     <li>         <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Schedule-EIC.pdf"" target=""_blank"">Schedule EIC</a> for the federal return If you have a child     </li>     <li>         <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/IT_215I_FillIn.pdf"" target=""_blank"">Form IT-215</a> for the New York State credit, and     </li>     <li>         <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/InstructionsForm-for-IT-215-WorksheetC.pdf"" target=""_blank"">Worksheet C in the Instructions Form for IT-215</a> for the New York City credit     </li> </ul>"
P077en,,"<p>     <strong>Call Youth Connect</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:1-800-246-4646"">1-800-246-4646</a> if you have questions about Cornerstone programs. </p>",,<p>     Year-round programs for youth and adults hosted at public housing community centers. </p>,
P050en,,,,<p>     Students can get free health care in their school. </p>,"<p>     To get free health care, students must have their parents or guardians fill out and return a consent form. </p> <ul>     <li>         <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170518/AttachmentD_ParentalConsentEnglish_082214_GradesPK.doc""><u>Pre-K to 8th grade</u></a> <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170518/AttachmentD_ParentalConsentEnglish_082214_GradesPK.doc""><u>consent form</u></a>     </li>     <li>         <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170535/AttachmentD_ParentalConsentEnglish_082214_Grades91.doc""><u>9th - 12th grade</u></a> <a href=""http://schools.nyc.gov/NR/rdonlyres/E298C16B-55F0-4DDD-BB02-2B0524250986/170535/AttachmentD_ParentalConsentEnglish_082214_Grades91.doc""><u>consent form</u></a>     </li> </ul> <p>     Students do not need to have health insurance to enroll in SBHC. If the student does have insurance, include the information on the consent form. </p>"
P047en,,"<p>     <strong>Find a VITA or TCE location</strong> </p> <p>     Call <a href=""tel:800-906-9887"">800-906-9887</a> to find the nearest Volunteer Income Tax Assistance (VITA) or Tax Counseling for the Elderly (TCE). </p>",,"<p>     If you earn $66,000 or less, use NYC Free Tax Prep to file for free and keep your whole refund. </p>",<p>     There are more than 200 NYC Free Tax Prep sites in all five boroughs that can help you file for free. </p>
P010en,,"<p>     <strong>Call the HRA Infoline</strong> </p> <p>     Call the HRA Infoline at <a href=""tel:718-557-1399"">718-557-1399</a> for more information. </p>",Download the form,"<p>     Cash assistance can help you pay rent, utilities, and other emergency expenses. </p>","<ol>     <li>Visit a <a href=""https://access.nyc.gov/locations/?programs=6859"" target=""_blank"">Human Resources Administration (HRA) Job Center</a> near you.     </li>     <li>If you have a medical or mental health condition that prevents you from applying in person, you can call <a href=""tel:212-331-4640"">212-331-4640</a> to make arrangements to have a worker do the interview at your home.     </li>     <li>When you apply, you will need to provide proof of certain things. A Job Center worker will tell you which of these things you must prove. It will help if you bring proof of your identity, where you live, who lives with you, and your income with you.     </li>     <li>You can apply for SNAP, medical help, and the Home Energy Assistance Program (HEAP) when you apply for Cash Assistance.     </li> </ol>"
P021en,"<p>     Apply over the phone by calling the NYS Department of Labor at <a href=""tel:888-209-8124"">888-209-8124</a>, Monday \u2013 Friday, 8:00 a.m - 5:00 p.m. </p>","<p>     <strong>Call NYS Unemployment</strong> </p> <p>     Call <a href=""tel:888-469-7365"">888-469-7365</a> if you have questions about unemployment benefits. </p>",,<p>     Unemployment gives temporary income to workers who lose their jobs. </p>,
P025en,,,Download the form,<p>     SES offers training and job placement help for seniors. </p>,"<ol>     <li>Download and complete the <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/Senior_Employment_Services_Form.pdf"" target=""_blank"">Employment Assistance Services Form</a>.     </li>     <li>Bring the completed application to the NYC Department of Aging<br>         2 Lafayette St., 6th Flr<br>         New York, NY 10007     </li> </ol>"
P017en,,"<p>     <strong>Call DHE</strong> </p> <p>     Call <a href=""tel:212-639-9675"">212-NEW-YORK</a>, or <a href=""tel:212-639-9675"">212-639-9675</a> (out-of-City), or TTY <a href=""tel:212-639-9675"">212-639-9675</a> (hearing impaired)<br> </p>",Download the form,<p>     Lower property tax for homeowners with disabilities. </p>,<p>     Apply in person at a Department of Finance Business Center. </p>
P085en,,,,"<p>     3-K for All is free, full-day, high-quality education for New York City 3-year-olds, starting in School Districts 4, 5, 7, 16, 23, and 27. </p>",
P093en,,"<p>     <strong>Call Youth Connect</strong><br>     <br>     Call DYCD Youth Connect at <a href=""tel:1-800-246-4646""><u>1-800-246-4646</u></a> if you have questions about this program. </p>",,<p>     YALP helps youth struggling with reading and math increase their skills so that they can enroll in high school equivalency tests and preparation programs. </p>,
P024en,,"<p>     <strong>Call REES</strong> </p> <p>     Call the REES hotline at <a href=""tel:718-289-8100"">718-289-8100</a><a href=""tel:718-289-8100%E2%80%8B""></a> to learn more. </p>",,<p>     Education and work training programs for public housing residents. </p>,"<ol>     <li>Information sessions are held every Tuesday and Thursday at 8:30 a.m at the Brooklyn office: 787 Atlantic Ave., Brooklyn, NY 11238.     </li>     <li>You can RSVP for an info session <a href=""http://opportunitynycha.org/events/"" target=""_blank"">online</a> or by calling the REES hotline at <a href=""tel:718-289-8100"">718-289-8100</a>.     </li> </ol>"
P078en,,,,"<p>     Section 8 tenants can get help enrolling in college classes, finding a job, and starting a savings account. </p>",
P018en,,"<p>     <strong>Mail the Department of Finance</strong> </p> <p>     NYC Department of Finance<br>     Correspondence Unit<br>     One Centre Street, 22nd Floor<br>     New York, NY 10007<br> </p>",Download application,"<p>     Property-tax exemption for qualifying veterans. There are three types of benefits: basic, combat, and disabled. </p>",
P094en,,"<p>     <strong>Call Youth Connect</strong><br>     <br>     Call DYCD Youth Connect at <a href=""tel:1-800-246-4646""><u>1-800-246-4646</u></a> if you have questions about this program. </p>",,<p>     Intern & Earn is a 14-week paid internship program for youth ages 16-24 who are not working and not in school. </p>,
P030en,,"<p>     <strong>Call SYEP</strong> </p> <p>     Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> for more information.<br> </p>",,<p>     SYEP provides youth between the ages of 14 and 24 with paid summer work for up to six weeks. </p>,<p>     Youth can also apply at their community-based organization. </p>
