plain_language_eligibility,get_help_online,how_to_apply_or_enroll_by_mail,url_of_pdf_application_forms,language,program_acronym
<p>     All students enrolled at a school with a SBHC are eligible for health care services at their school. </p>,"<p>     <strong>Visit the website</strong><br>     Visit the <a href=""https://www.schools.nyc.gov/school-life/health-and-wellness/school-based-health-centers"" target=""_blank""><u>SBHC website</u></a> to learn about all of the available services. </p>",,,English,SBHC
"<p>     You may be eligible for Access-A-Ride if you have a disability that prevents you from using accessible buses or subways for some or all of your trips. At your in-person assessment, you will be asked to show whether you can: </p> <ul>     <li>go up or down subway stairs,     </li>     <li>travel to a subway or bus station,     </li>     <li>get on, ride, and exit a subway or bus,     </li>     <li>and ride or navigate the bus or subway system on your own.     </li> </ul> <p>     This will help us decide if you are eligible for partial or full Access-A-Ride services. Please be sure to provide, in writing, how your disability prevents you from using accessible buses or subways and what other conditions prevent you from walking to and waiting for bus or the subway (sidewalk in poor condition, hilly area, no bus shelter with seats, etc). </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://web.mta.info/nyct/paratran/guide.htm#aarmetrocard"" target=""_blank"">Access-A-Ride website</a> for more information.<br> </p>",,http://web.mta.info/nyct/paratran/access_application.pdf,English,AAR
<p>     You may be eligible if you can answer yes to these questions. </p> <ul>     <li>Do you live in NYC?     </li>     <li>Are you between 14 and 24 years old?     </li> </ul>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dycd/services/jobs-internships/summer-youth-employment-program-syep.page"" target=""_blank"">SYEP page</a> on the DYCD website to learn more.<br> </p>",,,English,SYEP
<p>     Students who live in a school district that provides After School or Saturday meals are eligible to receive free meals. </p>,,,,English,
"<p>     To be eligible for APS, you should be able to answer yes to the following questions: </p> <ul>     <li>Are you 18 years or older?     </li>     <li>Do you have a physical and/or mental disability?     </li>     <li>Are you unable to manage your own resources, carry out daily activities, or protect yourself from dangerous situations without help from others?     </li>     <li>Do you have no one else who is able to help you?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/hra/help/adult-protective-services.page"" target=""_blank"">APS website</a> for more information. </p>",,,English,APS
<p>     This program looks at several things to decide if you are eligible. Some of them include: </p> <ul>     <li>how much money you earn     </li>     <li>how much money you receive from benefits     </li>     <li>how many people live in your house     </li>     <li>resources like cash or a checking account     </li>     <li>your citizenship or immigration status     </li> </ul>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/hra/help/cash-assistance.page"" target=""_blank"">Cash Assistance website</a> to learn more about this program. </p>","<p>     Download an application form, complete and mail it to a Job Center.<br> </p>",https://access.nyc.gov/wp-content/uploads/2017/03/Cash_Assistance_Applicaion_EN.pdf,English,
"<p>     To be eligible, you should be able to answer yes to these questions: </p> <ul>     <li>Is your child between six weeks and four years old?     </li>     <li>Are you working or attending an approved training or educational program for 20 hours or more per week?     </li>     <li>Is your family already receiving services from either ACS or the NYC Human Resources Administration (HRA)?     </li> </ul> <p>     There are also income guidelines your family must meet to be eligible. With a few questions, we can help you <a href=""http://access.nyc.gov"" target=""_blank"">find out if you may be eligible</a>. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/acs/early-care/acs-child-care-options.page"" target=""_blank"">EarlyLearn NYC Child Care website</a> for more information.<br> </p>",,https://access.nyc.gov/wp-content/uploads/2017/03/Child-Care-Subsidy-Application_EN.pdf,English,
"<p>     To be eligible for SCHE, you should be able to answer yes to all of these questions: </p> <ul>     <li>Are all owners 65 years of age or older, OR is the property owned by spouse or sibling, who doesn't need to meet this age requirement?     </li>     <li>Is the property your primary residence?     </li>     <li>Is the combined income for all owners less than or equal to $58,399?         <ul>             <li>Income does NOT include SSI or Cash Assistance benefits.             </li>         </ul>     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/finance/benefits/landlords-sche.page"" target=""_blank"">SCHE website</a> to learn more. </p>","<ol>     <li>Download the initial exemption application and fill it in.     </li>     <li>You will be asked provide the borough, block, and lot (BBL) for your home. You can <a href=""http://webapps.nyc.gov:8084/CICS/fin1/find001I"" target=""_blank"">use the Property Address Search</a> to determine this.     </li>     <li>Gather your required documents and include them with your application. Your application will not be processed without them.     </li>     <li>Mail your completed application and required documents to:<br>         <strong>New York City Department of Finance</strong><br>         P.O. Box 311<br>         Maplewood, NJ 07040-031     </li>     <li>Applications must be postmarked by March 15 for your benefit to begin on July 1 in the same year.     </li> </ol>",https://access.nyc.gov/wp-content/uploads/2017/12/SCHE-InitialAppl_EN.pdf,English,SCHE
"<p>     To be eligible to apply for a NYC public middle school, your child should be able to answer yes to these questions: </p> <ul>     <li>Are you a NYC resident?     </li>     <li>Are you currently a fifth grade student (or a current sixth grade student at an elementary school that ends in sixth grade)?         <ul>             <li>Current middle school students who want to transfer must visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> to explore your options             </li>         </ul>     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/middle-school"" target=""_blank"">NYC Department of Education website</a> to learn about Middle School Admissions. </p>",,,English,
"<p>     To be eligible, you should be able to answer yes to these questions:<br> </p> <ul>     <li>Are you a New York State resident?     </li>     <li>Do you meet the following income guidelines?     </li> </ul> <table>     <thead>         <tr>             <th>                 Family size             </th>             <th>                 Income in a year             </th>             <th>                 Income in a month             </th>             <th>                 Income in a week             </th>         </tr>     </thead>     <tbody>         <tr>             <td>                 1             </td>             <td>                 $27,072             </td>             <td>                 $2,257             </td>             <td>                 $521<br>             </td>         </tr>         <tr>             <td>                 2             </td>             <td>                 $36,706             </td>             <td>                 $3,059             </td>             <td>                 $706<br>             </td>         </tr>         <tr>             <td>                 3             </td>             <td>                 $46,339             </td>             <td>                 $3,862             </td>             <td>                 $891<br>             </td>         </tr>         <tr>             <td>                 4             </td>             <td>                 $55,973             </td>             <td>                 $4,665<br>             </td>             <td>                 $1,077<br>             </td>         </tr>         <tr>             <td>                 5             </td>             <td>                 $65,607             </td>             <td>                 $5,468             </td>             <td>                 $1,262<br>             </td>         </tr>         <tr>             <td>                 6             </td>             <td>                 $75,240             </td>             <td>                 $6,271<br>             </td>             <td>                 $1,447<br>             </td>         </tr>         <tr>             <td>                 7             </td>             <td>                 $84,874             </td>             <td>                 $7,073             </td>             <td>                 $1,632<br>             </td>         </tr>         <tr>             <td>                 8             </td>             <td>                 $94,507             </td>             <td>                 $7,876             </td>             <td>                 $1,818             </td>         </tr>         <tr>             <td>                 For each additional person, add:             </td>             <td>                 $9,634             </td>             <td>                 $803             </td>             <td>                 $185             </td>         </tr>     </tbody> </table>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.health.state.ny.us/nysdoh/perinatal/en/pcap.htm"" target=""_blank"">New York State Department of Health</a>. </p>",,,English,
"<p>     To be eligible for Child and Dependent Care Tax Credit you should be able to answer yes to these questions: </p> <ul>     <li>Do you pay someone or an organization to care of your dependent to allow you (and your spouse, if filing a joint return) to work or to look for work?     </li>     <li>Do you (and your spouse if you file taxes jointly) earn income from wages, salaries, tips, other taxable employee money, or earnings from self-employment?     </li>     <li>Is your tax filing status single, married filing jointly, head of household or qualifying widow(er) with a dependent child?     </li>     <li>If you are married, do both you and your spouse work outside of the home, or do one of you work outside of the home while the other is a full-time student, has a disability, or is looking for work?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page"" target=""_blank"">NYC Department of Consumer Affairs website</a> for more information. </p>",,,English,
<p>     Youth ages 14 - 21 years old are eligible to apply for Youth Leadership Councils. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.nycservice.org/pages/pages/74"" target=""_blank""><u>Youth Leadership Council website</u></a> for more information. </p>",,,English,YLC
"<p>     Clinic treatment is available for: </p> <ul>     <li>Children from birth to age 18 (not all clinics accept children under 5 years old)     </li>     <li>Children with emotional, behavioral, or mental health challenges     </li> </ul>Day treatment programs are available for:<br> <br> <ul>     <li>Children between the ages of 3 and 18 (there are two programs in NYC for children ages 3 - 5)     </li>     <li>Children with mental health disorders that get in the way of school or social function     </li>     <li>Children who have difficulties in a regular classroom     </li> </ul>",,,,English,
"<p>     In order to be eligible for services, youth must be in foster care and have a diagnosis that requires a high level of care. </p> <ul>     <li>Youth leaving ACS care or in adoption who still meet the eligibility criteria can continue in the community-based setting until age 21.     </li>     <li>To participate, youth must be eligible for Medicaid.     </li> </ul>",,,,English,B2H
<p>     LYFE is available for NYC Department of Education students with children between the ages of 6 weeks and 4 years who are not eligible for Pre-K for All. </p>,,,,English,LYFE
"<p>     To be eligible, you should be able to answer yes to these questions: </p> <ul>     <li>Do you live in New York State?     </li>     <li>Are you a US citizen, national, Native American, or have <a href=""https://www.health.ny.gov/health_care/medicaid/reference/mrg/june2010/page454-454-1.pdf"" target=""_blank"">satisfactory immigration status</a>?     </li>     <li>Do you have insurance (or no insurance) other than Medicaid?         <ul>             <li>If you have Medicaid, confidential family planning is already included in your coverage             </li>         </ul>     </li>     <li>Is your income equal to or less than program income requirements?     </li> </ul> <table>     <thead>         <tr>             <th>                 Family size             </th>             <th>                 Income in a year             </th>             <th>                 Income in a month             </th>             <th>                 Income in a week             </th>         </tr>     </thead>     <tbody>         <tr>             <td>                 1             </td>             <td>                 $27,072             </td>             <td>                 $2,257             </td>             <td>                 $521<br>             </td>         </tr>         <tr>             <td>                 2             </td>             <td>                 $36,706             </td>             <td>                 $3,059             </td>             <td>                 $706<br>             </td>         </tr>         <tr>             <td>                 3             </td>             <td>                 $46,339             </td>             <td>                 $3,862             </td>             <td>                 $891<br>             </td>         </tr>         <tr>             <td>                 4             </td>             <td>                 $55,973             </td>             <td>                 $4,665<br>             </td>             <td>                 $1,077<br>             </td>         </tr>         <tr>             <td>                 5             </td>             <td>                 $65,607             </td>             <td>                 $5,468             </td>             <td>                 $1,262<br>             </td>         </tr>         <tr>             <td>                 6             </td>             <td>                 $75,240             </td>             <td>                 $6,271<br>             </td>             <td>                 $1,447<br>             </td>         </tr>         <tr>             <td>                 7             </td>             <td>                 $84,874             </td>             <td>                 $7,073             </td>             <td>                 $1,632<br>             </td>         </tr>         <tr>             <td>                 8             </td>             <td>                 $94,507             </td>             <td>                 $7,876             </td>             <td>                 $1,818             </td>         </tr>         <tr>             <td>                 For each additional person, add:             </td>             <td>                 $9,634             </td>             <td>                 $803             </td>             <td>                 $185             </td>         </tr>     </tbody> </table>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.health.ny.gov/health_care/medicaid/program/longterm/familyplanbenprog.htm"" target=""_blank"">FPBP website</a> to learn more about this program. </p>",,https://access.nyc.gov/wp-content/uploads/2017/03/FPBP_applicationinstructions_EN.pdf,English,FPBP
<p>     All NYC children who were born in 2014 are eligible for Kindergarten and are guaranteed placement. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/kindergarten"" target=""_blank"">NYC Department of Education</a> website to learn more about the Kindergarten application process. </p>",,,English,
"<ul>     <li>Any woman \u2013 regardless of immigration status \u2013 who delivers her baby in certain hospitals in the South Bronx, North & Central Brooklyn, and Harlem can participate.     </li>     <li>Others may be eligible too. Call <a href=""tel:311"">311</a> to find out.     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/doh/health/health-topics/pregnancy-newborn-visiting.page"" target=""_blank"">Newborn Home Visiting Program website</a> for more information. </p>",,,English,NHVP
"<p>     All NYC students, in 6th, 7th, and 8th grade, are eligible to enroll in SONYC programs. </p>","<p>     <strong>Visit the websites</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/dycd/services/after-school/schools-out-new-york-city-sonyc.page"" target=""_blank"">SONYC website</a> to learn more. </p>",,,English,SONYC
"<p>     To be eligible for HASA, you must have been diagnosed with HIV or with AIDS, as defined by the <a href=""https://www.cdc.gov/mmwr/preview/mmwrhtml/rr5710a2.htm"" target=""_blank"">Centers for Disease Control and Prevention (CDC)</a>. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/hra/help/hiv-aids-services.page"" target=""_blank"">HASA website</a> to learn more about available services.<br> </p>",,,English,HASA
"<p>     To be eligible for SCRIE, you should be able to answer yes to all of these questions: </p> <ul>     <li>Are you 62 or older?     </li>     <li>Is your name on the lease?     </li>     <li>Is your combined household income $50,000 or less in a year?     </li>     <li>Do you spend more than one-third of your monthly income on rent?     </li>     <li>Do you live in NYC in one of these types of housing?         <ul>             <li>a rent stabilized apartment             </li>             <li>a rent controlled apartment             </li>             <li>a rent regulated hotel or single room occupancy unit             </li>             <li>a Mitchell-Lama development             </li>             <li>a Limited Dividend Housing Company development             </li>             <li>a Redevelopment Company development             </li>             <li>a Housing Development Fund Company development             </li>         </ul>     </li> </ul>","<p>     <strong>Visit the website</strong><br> </p> <p>     Visit the <a href=""http://nyc.gov/rentfreeze"" target=""_blank"">SCRIE website</a> to learn more about this program. </p>","<ol>     <li>Download <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/SCRIE_Application_Packet_EN.pdf"" target=""_blank"">the application</a> and fill it out. You can also pick one up from the SCRIE Walk-In Center or call <a href=""tel:311"">311</a> to request an application be mailed to you.<br>         <ol>             <li>If you download, there will be two applications in the file. You only need to fill out the application for the type of housing you live in. The application for people who live in Mitchell-Lama or Redevelopment Company development housing will be the pages in the front and the application for all other qualified housing will be second.             </li>             <li>If you pick up an application from a Walk-In Center or call <a href=""tel:311"">311</a> to request one, be sure to say what type of housing you live in so you can receive the right application.<br>                 <br>             </li>         </ol>     </li>     <li>People who live in Mitchell-Lama or Redevelopment Company development should mail their application and documents to:<br>         <strong>NYC Department of Housing and Development<br>         Division of Housing Supervision, SCRIE Unit</strong><br>         100 Gold Street, 7th floor<br>         New York, NY 10038<br>         <br>     </li>     <li>People who live in other types of qualified housing should mail their application and documents to:<br>         <strong>NYC Department of Finance, SCRIE Unit</strong><br>         59 Maiden Lane, 22nd Floor<br>         New York, NY 10038     </li> </ol>",https://access.nyc.gov/wp-content/uploads/2017/03/SCRIE_Application_Packet_EN.pdf,English,SCRIE
<p>     All NYC families who care for a student with disabilities are eligible to receive services at no cost. Trainings are open to everyone. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.p12.nysed.gov/specialed/techassist/parentcenters.htm"" target=""_blank"">NY State Parent Center website</a> for more information and services. </p>",,,English,
"<ul>     <li>All NYC youth are eligible for health care regardless of immigration status or whether they can pay     </li>     <li>Youth twelve and older can get private sexual and reproductive services without the consent of a parent or guardian.     </li>     <li>For primary care services, youth will need to bring a parent or guardian for the first visit. They can get a form signed so they can come by themselves for future visits.     </li> </ul>","<p>     <strong>Visit the website</strong><br>     <br>     Visit the <a href=""http://www.nychealthandhospitals.org/services/child-health-pediatrics-services/"" target=""_blank""><u>NYC Health + Hospital child health website</u></a> for more information. </p>",,,English,
"<p>     You might be eligible for CUNY Start if you can answer yes to these questions: </p> <ul>     <li>Have you earned a high school or high school equivalency diploma?     </li>     <li>Have you been admitted to <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/campus-info/"" target=""_blank"">CUNY</a>?     </li>     <li>Have you received results on the <a href=""http://www.cuny.edu/academics/testing.html"" target=""_blank"">CUNY Assessment Test</a> showing you need more help in reading, writing, or math?     </li>     <li>Are you a first-time freshman or an enrolled student with limited credits?     </li> </ul> <p>     <em>Specific colleges may have other eligibility criteria. Contact the <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/campus-info/"" target=""_blank"">CUNY Start program at your campus</a> for more information.</em> </p>","<p>     <strong>Visit the website</strong> </p> <p>     Get more information on the <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/about-cuny-start/"" target=""_blank"">CUNY Start website</a>.<br> </p>",,,English,
"<p>     To be eligible for Train & Earn, you should be able to answer 'yes' to these questions: </p> <ul>     <li>Are you a resident of NYC?     </li>     <li>Are you 16 \u2013 24 years old?     </li>     <li>Are you <strong>not</strong> attending school and <strong>not</strong> working?     </li>     <li>Do you meet <strong>one</strong> of these requirements:         <ul>             <li>You are a homeless or runaway youth             </li>             <li>You are a foster care youth or have aged out of foster care system             </li>             <li>You are in involved in the justice system             </li>             <li>You are a youth with a disability             </li>             <li>You are pregnant or a parent             </li>             <li>You are low-income and need additional help to enter or complete an education program or to get or hold a job             </li>         </ul>     </li> </ul> <p>     If you have additional questions about eligibility, call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a>. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/out-of-school-youth-osy-program.page"" target=""_blank"">DYCD website</a> for more information. </p>",,,English,
"<ul>     <li>Be at least 18 years old     </li>     <li>Be a permanent resident (have a \u201cGreen Card\u201d) for at least 5 years, or 3 years if married to a U.S. citizen     </li>     <li>Other eligibility is determined by immigration attorney     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.nyc.gov/nycitizenship"" target=""_blank"">NYCitizenship</a> website for more information. </p>",,,English,
"<p>     To be eligible to apply for a NYC public high school, you should be able to answer yes to these questions: </p> <ul>     <li>Are you a NYC resident?     </li>     <li>Are you currently an eighth grade student or a first-time ninth grade student?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://schools.nyc.gov/ChoicesEnrollment/High/default.htm"" target=""_blank"">Department of Education website</a> to learn about High School Admissions. </p>",,,English,
"<p>     Eligible children must: </p> <ul>     <li>Be 21 years old or younger, have health conditions, and need extra health care and assistance     </li>     <li>Live in NYC     </li>     <li>Have been diagnosed with or be suspected to have a serious or chronic health condition, physical disability, or developmental or emotional/behavioral condition     </li> </ul>",,,,English,CSHCN
"<ul>     <li>Be at least 18 years old     </li>     <li>Be a permanent resident (have a \u201cGreen Card\u201d) for at least 5 years, or 3 years if married to a U.S. citizen     </li>     <li>Other eligibility is determined by immigration attorney     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www.nyc.gov/nycitizenship"" target=""_blank"">NYCitizenship</a> website for more information. </p>",,,English,
"<p>     To be eligible for CUNY Fatherhood Academy, you should be able to answer yes to these questions. </p> <p>     <strong>For the high school equivalency and college prep track</strong>:<br> </p> <ul>     <li>Do you live in NYC?     </li>     <li>Are you a father or expecting father?     </li> </ul> <p>     <strong>For the high school equivalency track only</strong>: </p> <ul>     <li>Are you between the ages of 18 and 30 years old?     </li>     <li>Can you commit to a 16 week program for 3 days a week?     </li> </ul> <p>     <strong>For the college prep track only</strong>: </p> <ul>     <li>Are you between the ages of 18 and 30 years old?     </li>     <li>Do you have a high school diploma, HSE diploma, or GED?     </li>     <li>Do you have less than 12 college credits?     </li>     <li>Are you currently <strong>not</strong> enrolled in college?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-fatherhood-academy/#1450206886076-12e63e87-cd35"" target=""_blank""><u>CUNY Fatherhood Academy website</u></a> to learn more about the program. </p>",,,English,CFA
<p>     All NYC children who were born in 2014 are eligible for Kindergarten and are guaranteed placement. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/kindergarten"" target=""_blank"">NYC Department of Education</a> website to learn more about the Kindergarten application process. </p>",,,English,
"<p>     To be eligible for child support services, you should be able to answer \u201cyes\u201d to these questions: </p> <ul>     <li>Are you a parent or legal guardian of a child under the age of 21?     </li>     <li>Are you primarily responsible for the child\u2019s day-to-day life?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/hra/help/child-support-services.page"" target=""_blank"">Child Support Enforcement website</a> to learn more about available services. </p>",,https://access.nyc.gov/wp-content/uploads/2018/08/Child_Support_Enforcement_Form_EN.pdf,English,OCSS
<p>     Eligibility for the Section 8/HCV programs are primarily based on how much your family earns and family size. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/nycha/section-8/about-section-8.page"" target=""_blank"">NYCHA</a> website to learn more about each program. </p>",,,English,HCV
<p>     Youth ages 14 - 21 years old are eligible to apply for Youth Leadership Councils. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.nycservice.org/pages/pages/74"" target=""_blank""><u>Youth Leadership Council website</u></a> for more information. </p>",,,English,YLC
<p>     All NYC families with children between one year and three years nine months are eligible for NYCELL. </p>,"<p>     <strong>Visit the website</strong><br>     <br>     Visit the <a href=""http://schools.nyc.gov/Academics/EarlyChildhood/parentfamilies/NYCELL.htm"" target=""_blank""><u>NYCELL website</u></a> for more information. </p>",,,English,NYCELL
"<ul>     <li>All NYC youth are eligible for health care regardless of immigration status or whether they can pay     </li>     <li>Youth twelve and older can get private sexual and reproductive services without the consent of a parent or guardian.     </li>     <li>For primary care services, youth will need to bring a parent or guardian for the first visit. They can get a form signed so they can come by themselves for future visits.     </li> </ul>","<p>     <strong>Visit the website</strong><br>     <br>     Visit the <a href=""http://www.nychealthandhospitals.org/services/child-health-pediatrics-services/"" target=""_blank""><u>NYC Health + Hospital child health website</u></a> for more information. </p>",,,English,
"<p>     Home care programs have different eligibility requirements, but they all require that you must be eligible for Medicaid. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/hra/help/long-term-care.page"" target=""_blank"">Home Care website</a> to find out more about the different home care options.<br> </p>",,,English,HCSP
<p>     All NYC children who were born in 2014 are eligible for Kindergarten and are guaranteed placement. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/kindergarten"" target=""_blank"">NYC Department of Education</a> website to learn more about the Kindergarten application process. </p>",,,English,
"<p>     You might be eligible for CUNY Start if you can answer yes to these questions: </p> <ul>     <li>Have you earned a high school or high school equivalency diploma?     </li>     <li>Have you been admitted to <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/campus-info/"" target=""_blank"">CUNY</a>?     </li>     <li>Have you received results on the <a href=""http://www.cuny.edu/academics/testing.html"" target=""_blank"">CUNY Assessment Test</a> showing you need more help in reading, writing, or math?     </li>     <li>Are you a first-time freshman or an enrolled student with limited credits?     </li> </ul> <p>     <em>Specific colleges may have other eligibility criteria. Contact the <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/campus-info/"" target=""_blank"">CUNY Start program at your campus</a> for more information.</em> </p>","<p>     <strong>Visit the website</strong> </p> <p>     Get more information on the <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/about-cuny-start/"" target=""_blank"">CUNY Start website</a>.<br> </p>",,,English,
"<p>     All NYC students, in kindergarten to 12th grade, are eligible to enroll in COMPASS programs. </p>","<p>     <strong>Visit the websites</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page"" target=""_blank"">COMPASS website</a> to learn more.<br> </p> <p>     Visit the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD website</a> to learn about all of the programs COMPASS NYC offers.<br> </p>",,,English,COMPASS NYC
<p>     All New Yorkers are eligible to speak with a counselor and use NYC Well services. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://nycwell.cityofnewyork.us/en/"" target=""_blank"">NYC Well website</a> for more information on available mental health service. </p>",,,English,
"<p>     All NYC youth, regardless of ability to pay, immigration status, or sexual orientation, disability, sexual orientation, or gender identity are eligible for care at YouthHealth clinics. </p>",,,,English,
"<ul>     <li>Youth ages 6 - 17 who are enrolled in school can participate     </li>     <li>Beacon also offers <a href=""https://www1.nyc.gov/site/dycd/services/after-school/beacon-adult-programs.page"" target=""_blank"">adult programs</a>     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/dycd/services/after-school/beacon-youth-programs.page"" target=""_blank"">Beacon program website</a> for more information. </p>",,,English,
"<p>     Clinic treatment is available for: </p> <ul>     <li>Children from birth to age 18 (not all clinics accept children under 5 years old)     </li>     <li>Children with emotional, behavioral, or mental health challenges     </li> </ul>Day treatment programs are available for:<br> <br> <ul>     <li>Children between the ages of 3 and 18 (there are two programs in NYC for children ages 3 - 5)     </li>     <li>Children with mental health disorders that get in the way of school or social function     </li>     <li>Children who have difficulties in a regular classroom     </li> </ul>",,,,English,
"<ul>     <li>To find out if you're eligible for a free crib, call <a href=""tel:311"">311</a> and ask about Safe Sleep.     </li>     <li>ACS-involved families can ask their caseworker to see if they are eligible for a free crib.     </li> </ul>","<p>     <strong>Visit the Website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/doh/health/health-topics/pregnancy-sleep-safety.page"" target=""_blank"">Safe Sleep website</a> to learn more. </p>",,,English,
"<p>     All New Yorkers can get help at an NYC Health + Hospitals facility, regardless of your ability to pay or immigration status. </p>","<p>     <strong>NYC Health + Hospitals</strong> </p> <p>     <a href=""mailto:lgbtq.org""><u>Email NYC Health + Hospitals</u></a> for more information on LGBTQ health care services. </p>",,,English,
"<p>     All NYC youth, regardless of ability to pay, immigration status, or sexual orientation, disability, sexual orientation, or gender identity are eligible for care at YouthHealth clinics. </p>",,,,English,
"<p>     To be eligible for SCHE, you should be able to answer yes to all of these questions: </p> <ul>     <li>Are all owners 65 years of age or older, OR is the property owned by spouse or sibling, who doesn't need to meet this age requirement?     </li>     <li>Is the property your primary residence?     </li>     <li>Is the combined income for all owners less than or equal to $58,399?         <ul>             <li>Income does NOT include SSI or Cash Assistance benefits.             </li>         </ul>     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/finance/benefits/landlords-sche.page"" target=""_blank"">SCHE website</a> to learn more. </p>","<ol>     <li>Download the initial exemption application and fill it in.     </li>     <li>You will be asked provide the borough, block, and lot (BBL) for your home. You can <a href=""http://webapps.nyc.gov:8084/CICS/fin1/find001I"" target=""_blank"">use the Property Address Search</a> to determine this.     </li>     <li>Gather your required documents and include them with your application. Your application will not be processed without them.     </li>     <li>Mail your completed application and required documents to:<br>         <strong>New York City Department of Finance</strong><br>         P.O. Box 311<br>         Maplewood, NJ 07040-031     </li>     <li>Applications must be postmarked by March 15 for your benefit to begin on July 1 in the same year.     </li> </ol>",https://access.nyc.gov/wp-content/uploads/2017/12/SCHE-InitialAppl_EN.pdf,English,SCHE
<p>     Jobs Plus is open to all NYCA residents old enough to work. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://opportunitynycha.org/workforce-development/jobs-plus/"" target=""_blank"">Jobs Plus website</a> to learn more about the program. </p>",,,English,
