get_help_summary,age_group,government_agency,get_help_by_calling_311,program_category,program_code,apply_in_person_call_to_action,office_locations_url,program_description,how_to_apply_summary
"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/finance/benefits/landlords-sche.page"" target=""_blank"">SCHE website</a> to learn more.     </li>     <li>Call SCHE at <a href=""tel:212-639-9675"">212-NEW-YORK</a> or <a href=""tel:212-639-9675"">212-639-9675</a> (Out-of-City), or TTY <a href=""tel:212-639-9675"">212-639-9675</a> (Hearing Impaired).     </li>     <li>         <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page"" target=""_blank"">Email SCHE</a> for more information.     </li> </ul>",Caregiver,NYC Department of Finance,<p>     <strong>Call 311</strong> </p> <p>     Ask for Senior Citizen Homeowners' Exemption program. </p>,Cash &amp; expenses,S2R014,,,"<p>     SCHE gives property tax help to senior homeowners. It lowers the taxes of seniors who own one to three homes, condos, or coop apartments. </p>","<p>     Applications for SCHE are by mail. </p> <ul>     <li>         <a href=""https://access.nyc.gov/wp-content/uploads/2017/12/SCHE-InitialAppl_EN.pdf"" target=""_blank"">Download the initial exemption application</a> and fill it in.     </li>     <li>You will be asked provide the borough, block, and lot (BBL) for your home. You can <a href=""http://webapps.nyc.gov:8084/CICS/fin1/find001I"" target=""_blank"">use the Property Address Search</a> to determine this.     </li>     <li>Gather your required documents and include them with your application. Your application will not be processed without them.     </li>     <li>Mail your completed application and required documents to:<br>         <strong>New York City Department of Finance</strong><br>         P.O. BOX 311<br>         Maplewood, NJ 07040-031     </li>     <li>Applications must be postmarked by March 15 for your benefit to begin on July 1 in the same year.     </li> </ul>"
"<ul>     <li>Visit the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/middle-school"" target=""_blank"">NYC Department of Education website</a> to learn more and to research specific schools.     </li>     <li>Call <a href=""tel:718-935-2398"">718-935-2398</a> or <a href=""mailto:MSEnrollment.nyc.gov"">email the Middle School Admissions team</a> with your questions.     </li>     <li>Visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> to get help in person.     </li> </ul>","Grade-Schooler, Pre-Teen",NYC Department of Education,,Education,,,,"<p>     Middle school offers students opportunities to explore their interests, discover new subjects, and learn more about themselves. New York City students can apply to up to 12 middle school programs. </p>","<p>     To apply for admissions to a public middle school: </p> <ol>     <li>Visit <a href=""https://www.myschools.nyc"" target=""_blank"">MySchools.nyc</a> and set up your account. Speak with your school counselor if you need help.     </li>     <li>Use <a href=""https://www.myschools.nyc"" target=""_blank"">MySchools</a> to explore middle schools based on your interests, location, and more.     </li>     <li>Select up to 12 choices to add to your application in your true order of preference, and submit it by the deadline.     </li> </ol>If you just moved to NYC talk to your school counselor or visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a>."
"<p>     To get referral to a pregnancy care provider </p> <ul>     <li>Call the New York State Growing Up Healthy Hotline at <a href=""tel:800-522-5006"">800-522-5006</a><a href=""https://afdcontent.gathercontent.com/item/800-522-5006""></a>     </li>     <li>Visit the <a href=""http://www.health.state.ny.us/nysdoh/perinatal/en/pcap.htm"" target=""_blank"">New York State Department of Health</a>     </li>     <li>Call the Human Resources Administration at <a href=""tel:718-557-1399"">718-557-1399</a>     </li> </ul><a href=""800-522-5006""></a>","Caregiver, Teen, Young Adult",NYS Department of Health,<p>     <strong>Call 311</strong> </p> <p>     Ask for Medicaid for Pregnant Women. </p>,Health,,Enroll in person,https://www.health.ny.gov/community/pregnancy/health_care/prenatal/apply_for_coverage.htm,<p>     This program offers complete pregnancy care and other health services to women and teens who live in New York State and meet income and residency guidelines. </p>,"<ol>     <li>         <a href=""https://www.health.ny.gov/community/pregnancy/health_care/prenatal/apply_for_coverage.htm"" target=""_blank"">Find out where you can apply</a> for Medicaid Prenatal Care Coverage.     </li>     <li>Enroll with an <a href=""https://info.nystateofhealth.ny.gov/IPANavigatorSiteLocations"" target=""_blank"">In-Person Assistor (IPA)</a> or find <a href=""https://www.health.ny.gov/community/pregnancy/health_care/prenatal/apply_for_coverage.htm"" target=""_blank"">select providers</a> near you.     </li>     <li>Call <a href=""tel:311"">311</a> to find an IPA.     </li> </ol>"
"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page"" target=""_blank"">NYC Department of Consumer Affairs website</a> for more information.     </li>     <li>If you qualify, visit a <a href=""https://access.nyc.gov/locations/?programs=6875"" target=""_blank"">tax prep location</a> to get help filing your taxes in person.     </li>     <li>Call <a href=""tel:800-906-9887"">800-906-9887</a> to find the nearest Volunteer Income Tax Assistance (VITA) or Tax Counseling for the Elderly (TCE).     </li>     <li>Call <a href=""tel:311"">311</a> and ask for tax preparation assistance.     </li> </ul>",Everyone,NYC Department of Consumer Affairs / IRS,<p>     <strong>Call 311</strong> </p> <p>     Ask for Tax Preparation assistance. </p>,Cash &amp; expenses,S2R001,Find a tax prep location,https://access.nyc.gov/locations/?programs=6875,"<p>     This tax credit helps working families pay for the care of children, adult dependents, or disabled spouses. You can claim up to $3,000 in expenses for one dependent or $6,000 for more than one when you file your taxes. </p>","<ul>     <li>File online: you can <a href=""http://www1.nyc.gov/site/dca/consumers/file-your-taxes.page"" target=""_blank"">file your taxes online</a>, using one of the free sites the City recommends.     </li>     <li>File in-person: you may qualify to have your taxes prepared for free in person at one of the <a href=""https://access.nyc.gov/locations/?programs=6875"" target=""_blank"">tax prep locations near you</a>.     </li>     <li>You will need the following forms:<br>         <ul>             <li>Child and Dependent Care Expenses form: <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_2441.pdf"" target=""_blank"">Form 2441</a>.             </li>             <li>U.S. Individual Income Tax Return: <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040.pdf"" target=""_blank"">Form 1040</a> or <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040A.pdf"" target=""_blank"">Form 1040A</a>, or U.S. Nonresident Income Tax Return: <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_1040NR.pdf"" target=""_blank"">Form 1040NR</a>.             </li>             <li>If you received dependent care benefits from your employer, you must complete Part III of <a href=""https://access.nyc.gov/wp-content/uploads/2018/05/Form_2441.pdf"" target=""_blank"">Form 2441</a>.             </li>         </ul>     </li> </ul>"
"<ul>     <li>Visit the <a href=""https://www.nycservice.org/pages/pages/74"" target=""_blank""><u>Youth Leadership Council website</u></a> for more information.     </li>     <li>         <a href=""mailto:NYCYLC.nyc.gov""><u>Email the Youth Leadership Council</u></a> if you have questions about this program.     </li> </ul>","Teen, Young Adult",NYC Service,,Enrichment,,,,"<p>     Youth Leadership Councils (YLCs) give young people a chance to address policies and practices that shape the lives of New Yorkers. YLCs are hosted by City agencies, schools, and community organizations. Youth work in partnership with adults and benefit by getting community service hours, understanding how the City works, and developing personal and professional skills. </p>","<p>     Apply on the <a href=""http://nyc.gov/youthvoice"" target=""_blank""><u>YLC website</u></a>. </p>"
"<ul>     <li>Call NYC Well at <a href=""tel:1-888-692-9355"">1-888-NYC-WELL</a>, 24 hours a day, 7 days a week. This free, confidential service connects NYC residents to counselors for mental health support and help finding mental health and substance abuse services.     </li>     <li>Visit the <a href=""https://www1.nyc.gov/site/doh/health/health-topics/child-and-adolescent-mental-health-outpatient.page"" target=""_blank"">Outpatient Services website</a> for more information and available resources.     </li> </ul>",Everyone,NYC Department of Health & Mental Hygiene,,Health,,,,"<p>     Young people can get mental health care near their home. Outpatient services are available in clinics, doctors\u2019 offices, and schools. Through these services, children can get therapy, referrals, and help with medicine. </p>","<p>     Clinic treatment </p> <ul>     <li>For mental health clinics in the community, contact a clinic to make an appointment. To find clinics:         <ul>             <li>Call NYC Well at <a href=""tel:1-888-692-9355"">1-888-NYC-WELL</a>             </li>             <li>Go to the <a href=""https://my.omh.ny.gov/bi/pd/saw.dll?PortalPages"" target=""_blank"">New York State Office of Mental Health's Program Directory</a>             </li>         </ul>     </li>     <li>School-based mental health clinics: Find a clinic on the <a href=""https://www.schools.nyc.gov/school-life/health-and-wellness/mental-health"" target=""_blank"">Department of Education website</a> in the ""Get Help at Your School"" section, and contact the clinic.     </li> </ul>Day treatment program<br> <br> <ul>     <li>Make a referral to the local school district. Referrals can be made by parents or children under certain circumstances. A staff member at the school or district, a doctor, a court officer, or any agency a child may be involved with can also make referrals.     </li>     <li>For more information, contact the principal or parent coordinator of your child's school or call <a href=""tel:1-888-692-9355"">1-888-NYC-WELL</a>.     </li> </ul>"
"<ul>     <li>Visit the <a href=""https://www1.nyc.gov/site/acs/about/bridges-health.page"" target=""_blank"">Bridges to Health</a> site for more information     </li>     <li>Call the ACS Bridges to Health Unit at <a href=""tel:212-676-6406"">212-676-6406</a>     </li>     <li>Email B2H at <a href=""mailto:B2HACS.nyc.gov"">B2HACS.nyc.gov</a>     </li> </ul>","Pre-Schooler, Grade-Schooler, Pre-Teen, Teen",NYC Administration for Children\u2019s Services,"<p>     Call <a href=""tel:311"">311</a> and ask for wrap-around services for children in foster care </p>",Family services,,,,<p>     Young people with serious medical or emotional problems can get extra help from Bridges to Health (B2H). B2H is a Medicaid Waiver program for youth under the care of the Administration for Children\u2019s Services (ACS). </p>,"<p>     B2H applications are completed through a child's case-planning agency. A child's caseworker or parent should gather the necessary documentation for the selected waiver and hand-deliver or mail the application to the ACS B2H office. B2H doesn't accept electronic applications. </p> <ul>     <li>See the required documents for <a href=""http://www1.nyc.gov/assets/acs/pdf/providers/NSP_Bridges_to_Health_Check_list_2015.pdf"" target=""_blank"">B2H Close to Home</a> providers     </li>     <li>See the required documents for the <a href=""http://www1.nyc.gov/assets/acs/pdf/providers/B2H_Referral_Check_list_2014.pdf"" target=""_blank"">B2H Foster Care</a> program     </li> </ul> <p>     Visit the <a href=""https://www1.nyc.gov/site/acs/about/bridges-health.page"" target=""_blank"">B2H site</a> for the referral documents. </p>"
"<ul>     <li>Visit the <a href=""http://lyfenyc.org/"" target=""_blank"">Living for the Young Family through Education site</a> for more information     </li>     <li>Call <a href=""tel:212-609%E2%80%938520"">212-609\u20138520</a> to speak with a representative     </li>     <li>Email <a href=""mailto:lyfe.nyc.gov"">LYFE</a> with your questions     </li>     <li>Follow LYFE on <a href=""https://twitter.com/lyfenyc"" target=""_blank"">Twitter</a> or connect with LYFE on <a href=""https://www.facebook.com/lyfenyc"" target=""_blank"">Facebook</a>     </li> </ul>","Caregiver, Baby, Toddler, Pre-Schooler",NYC Department of Education/District 79,,Child care,,,,"<p>     If you are a public school student with a young child, you might be able to get free child care. LYFE offers day care and academic support to parents who are still in school. </p>","<ul>     <li>Download LYFE Enrollment Packet: <a href=""http://lyfenyc.org/wp-content/uploads/2012/08/Enrollment-Packet-Entire.pdf"" target=""_blank"">English</a>, <a href=""http://lyfenyc.org/wp-content/uploads/2012/08/Spanish.pdf"" target=""_blank"">Spanish</a>, <a href=""http://lyfenyc.org/wp-content/uploads/2012/08/Haitian-Creole.pdf"" target=""_blank"">Haitian Creole</a>, <a href=""http://lyfenyc.org/wp-content/uploads/2012/08/French.pdf"" target=""_blank"">French</a>     </li>     <li>Contact a LYFE social worker at <a href=""http://lyfenyc.org/locations/"" target=""_blank"">a location close to your home or school</a> to schedule an enrollment appointment     </li> </ul>"
"<ul>     <li>Visit the <a href=""https://www.health.ny.gov/health_care/medicaid/program/longterm/familyplanbenprog.htm"" target=""_blank"">FPBP website</a> to learn more about this program.     </li>     <li>Call FPBP at <a href=""tel:800-541-2831"">800-541-2831</a><a href=""tel:800-541-2831""></a> for more information.     </li>     <li>         <a href=""mailto:Medicaid.state.ny.us"">Email FPBP</a> if you have questions about applying.     </li>     <li>Visit a <a href=""https://www.health.ny.gov/community/pregnancy/family_planning/site_list.htm"" target=""_blank"">FPBP provider</a> to get help in person.     </li> </ul>","Caregiver, Young Adult",NYS Department of Health,<p>     <strong>Call 311</strong> </p> <p>     Ask for assistance with Family Benefit Programming Plan. </p>,Family services,S2R031,Find a location,https://access.nyc.gov/locations/?programs=6869,"<p>     This program helps New Yorkers who need family planning, but may not be able to afford it. </p> <p>     FPBP services include:<br> </p> <ul>     <li>Birth control (including birth control pills and condoms)     </li>     <li>Emergency contraception     </li>     <li>Advice about family planning     </li> </ul>","<ul>     <li>Find a <a href=""https://www.health.ny.gov/community/pregnancy/family_planning/program_sites.htm"" target=""_blank"">family planning provider</a> near you.     </li>     <li>Gather your personal documents and bring them with you to the program site.     </li>     <li>Complete the in person screening and submit the application. You can print and fill out <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/FPBP_applicationinstructions_EN.pdf"" target=""_blank"">the application</a> before you go in, or complete it at the site in person.     </li> </ul>"
"<ul>     <li>Visit the <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/kindergarten"" target=""_blank"">NYC Department of Education</a> website to learn more about the Kindergarten application process.     </li>     <li>Call <a href=""tel:718-935-2009"">718-935-2009</a> or <a href=""mailto:ESEnrollment.nyc.gov"">email the Kindergarten Admissions team</a> if you have questions about applying to Kindergarten.     </li>     <li>Visit a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a> to get help in person.     </li> </ul>","Pre-Schooler, Grade-Schooler",NYC Department of Education,,Education,,Find a Family Welcome Center,https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers,<p>     Elementary education prepares your child for success in school and life. New York City students can apply to kindergarten in the calendar year they turn five. </p>,"<p>     To apply for admission to <strong>kindergarten</strong> at NYC public schools: </p> <ol>     <li>Use <a href=""https://www.myschools.nyc/"" target=""_blank"">MySchools</a> to find programs you're interested in. You can list up to 12 choices on your application, including schools outside of your zone and district.     </li>     <li>Submit your application during the application period (November - January each year). You can apply in one of three ways:         <ul>             <li>Online through <a href=""https://www.myschools.nyc/"" target=""_blank"">MySchools</a>             </li>             <li>                 <a href=""https://www.myschools.nyc/"" target=""_blank""></a>Over the phone by calling <a href=""tel:718-935-2009"">718-935-2009</a>             </li>             <li>In-person a <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers"" target=""_blank"">Family Welcome Center</a>             </li>         </ul>     </li> </ol> <p>     Students coming from Kindergarten to 1st grade do not need to reapply for elementary school. They will automatically be enrolled in their elementary school after finishing Kindergarten.<br> </p> <p>     Students who need to enroll at a new school in grades 1-5 should register at their <a href=""https://www.schools.nyc.gov/find-a-school"" target=""_blank"">zoned school</a>. </p>"
"<ul>     <li>Visit the <a href=""https://www1.nyc.gov/site/doh/health/health-topics/pregnancy-newborn-visiting.page"" target=""_blank"">Newborn Home Visiting Program website</a> for more information.     </li>     <li>Call NHVP if you live in these neighborhoods:         <ul>             <li>North & Central Brooklyn: <a href=""tel:718-637-5230&amp;quot;"">718-637-5230</a>             </li>             <li>South Bronx: <a href=""tel:718-579-2878"">718-579-2878</a>             </li>             <li>East & Central Harlem: <a href=""tel:646-672-2894"">646-672-2894</a>             </li>         </ul>     </li> </ul>","Caregiver, Baby",NYC Department of Health & Mental Hygiene,<p>     <strong>Call 311</strong> </p> <p>     Ask for the Newborn Home Visiting Program. </p>,Family services,,,,"<p>     New mothers can get free help from the Newborn Home Visiting Program. Health workers will visit your home and can help you with breastfeeding, health information, and safety tips. The program will also connect you with community resources that can help your family. </p>","<ul>     <li>If you gave birth in a hospital where the program operates, program staff will contact you about setting up a visit.     </li>     <li>If you recently gave birth and didn\u2019t hear from anyone in the program, call <a href=""tel:311"">311</a> to find out if you qualify.     </li> </ul>"
"<ul>     <li>Visit the <a href=""https://www1.nyc.gov/site/dycd/services/after-school/schools-out-new-york-city-sonyc.page"" target=""_blank"">SONYC website</a> to learn more.     </li>     <li>Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> for more information.     </li>     <li>Call or visit the afterschool program staff at your child's school for more information.     </li> </ul>","Pre-Teen, Teen",NYC Department of Youth & Community Development,,Enrichment,,,,"<p>     SONYC is an afterschool program for students in 6th, 7th, and 8th grades. SONYC activities include dance, music, sports, fashion, cooking, and more. </p>","<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD</a> website     </li>     <li>Click ""Show Advanced Search"" in the ""Basic Search"" box     </li>     <li>Select ""COMPASS Programs"" in the ""All Programs Box"" the a SONYC program from the ""All Sub-programs"" menu     </li> </ol> <p>     You can also enroll your child in a SONYC program, contact the program staff at your child\u2019s school. </p>"
"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/hra/help/hiv-aids-services.page"" target=""_blank"">HASA website</a> to learn more about available services.     </li>     <li>Call HASA at <a href=""tel:212-971-0626"">212-971-0626</a>, or for TTY machine <a href=""tel:212-971-2731"">212-971-2731</a>, if you have questions or for more information.     </li>     <li>Visit the HASA Service Line Intake Unit at 400 Eighth Ave., 2nd Flr, New York, NY 10001, Monday - Friday, 9:00 a.m - 5:00 p.m to get help in person.     </li> </ul>",Everyone,NYC Human Resources Administration,<p>     <strong>Call 311</strong> </p> <p>     Ask for services for people with HIV or AIDS. </p>,Health,,,,<p>     HASA helps people and families living with HIV or AIDS be healthier and more independent. People with HASA are connected with a caseworker who gets them the help they need. This help includes applying for public benefits and services. </p>,"<p>     To apply, visit the HASA Service Line Intake Unit at 400 Eighth Ave., 2nd Flr, New York, NY 10001, Monday - Friday, 9:00 a.m - 5:00 p.m. </p>"
"<ul>     <li>Visit <a href=""http://nyc.gov/rentfreeze"" target=""_blank"">SCRIE website</a> to learn more about this program:     </li>     <li>         <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-scrie.page"" target=""_blank"">Email SCRIE</a> for more information<br>     </li>     <li>Call <a href=""tel:311"">311</a> and ask for a SCRIE specialist or <a href=""tel:212-639-9675"">212-639-9675</a> if you have a hard time hearing     </li>     <li>Visit the SCRIE walk-in center:<br>         66 John St, 3rd Floor<br>         New York, NY, 10038<br>         Open Monday - Friday, 8:30 a.m. - 4:30 p.m.     </li> </ul>",Caregiver,NYC Department of Finance / NYC Housing Preservation and Development,<p>     <strong>Call 311</strong> </p> <p>     Ask for a SCRIE specialist. </p>,Housing,S2R015,Find the office,https://access.nyc.gov/location/scriedrie-walk-in-center/,"<p>     Senior citizens can get a rent freeze through SCRIE. If their rent goes up, people with SCRIE do not have to pay the higher rent. Instead, the City pays the landlord the difference between the current rent and the future rent. </p>","<ul>     <li>         <strong>Apply by mail:</strong> Download <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/SCRIE_Application_Packet_EN.pdf"" target=""_blank"">the application</a> or pick one up from a SCRIE walk-in center. If you download, there will be two applications in the file. You only need to fill out the application for the type of housing you live in. The application for people who live in Mitchell-Lama or Redevelopment Company development housing will be the pages in the front and the application for all other qualified housing will be second.     </li>     <li>         <strong>Apply in person</strong> at the SCRIE walk-in center, if you live in housing other than Mitchell-Lama or Redevelopment Company development housing.<br>         <strong>SCRIE walk-in center</strong><strong>:</strong><br>         66 John St, 3rd Floor<br>         New York, NY 10038<br>         Open Monday - Friday, 8:30 a.m. - 4:30 p.m.     </li>     <li>         <strong>Apply by phone</strong> by calling HPD at <a href=""tel:212-863-8494"">212-863-8494</a> if you are living Mitchell-Lama or Redevelopment Company development housing.     </li> </ul> <p>     SCRIE/DRIE online applications are temporarily unavailable while we work on a new and improved application. Please use the forms or walk-in location to apply. </p>"
"<p>     Contact a Special Education Parent Center: </p> <p>     <strong>Bronx, Brooklyn, Manhattan, and Queens</strong><br>     INCLUDEnyc<br>     116 East. 16th St., 5th Flr, New York, NY 10003<br>     Call: <a href=""tel:212-677-4660"">212-677-4660</a> (English) <a href=""tel:212-677-4668"">212-677-4668</a> (Spanish)<br>     Email: <a href=""mailto:roverton.org"">Rich Overton</a><br>     <a href=""http://www.includenyc.org/"" target=""_blank"">Visit the website</a> </p> <p>     <strong>Staten Island</strong><br>     Parent to Parent NY, Inc.<br>     1050 Forest Hill Rd, Staten Island, NY 10314<br>     Call: <a href=""tel:718-494-4872"">718-494-4872</a> Email: <a href=""mailto:siptp.com"">State Island Parent to Parent</a><br>     <a href=""https://www.parenttoparentnyinc.org/home.html"" target=""_blank"">Visit the website</a> </p>",Everyone,NYS Department of Education,<p>     <strong>Call 311</strong> </p> <p>     Ask for Special Education Parent Centers </p>,Special needs,,,,"<p>     Special Education Parent Centers provide information and resources to families of students with disabilities. The centers can help families be more involved in their child's education, understand their child's disabilities, resolve issues with families and school districts early, and more. </p>",
"<ul>     <li>Visit the <a href=""http://www.nychealthandhospitals.org/services/child-health-pediatrics-services/"" target=""_blank""><u>NYC Health + Hospital child health website</u></a> for more information.     </li>     <li>Find a <a href=""http://www.nychealthandhospitals.org/health_care/"" target=""_blank""><u>child health center location</u></a> near you to get help in person or by phone.     </li> </ul>",Everyone,NYC Health + Hospitals,,Health,,,,"<p>     People younger than 21 can get medical care at Child Health Clinics or special clinics in hospitals. Children can get check-ups, shots, dental care, and more. Visit a Child Health Clinic to help your family stay healthy. </p>","<p>     NYC Health + Hospitals has centers across the five boroughs. Use the <a href=""http://www.nychealthandhospitals.org/health_care/"" target=""_blank""><u>location finder</u></a> to find a center close to you and call to make an appointment. </p>"
"<p>     Contact CUNY Start at your campus today </p> <p>     Borough of Manhattan Community College<br>     <a href=""mailto:cunystart.cuny.edu"">cunystart.cuny.edu</a><br>     <a href=""tel:646-346-8398"">646-346-8398</a> </p> <p>     Bronx Community College<br>     <a href=""mailto:cunystart.cuny.edu"">cunystart.cuny.edu</a><br>     <a href=""tel:718-289-5100"">718-289-5100</a> ext. 3141 </p> <p>     College of Staten Island<br>     <a href=""mailto:cunystart.cuny.edu"">cunystart.cuny.edu</a><br>     <a href=""tel:718-982-3069"">718-982-3069</a> </p> <p>     Hostos Community College<br>     <a href=""mailto:cunystart.cuny.edu"">cunystart.cuny.edu</a><br>     <a href=""tel:718-518-6851"">718-518-6851</a> </p> <p>     Kingsborough Community College<br>     <a href=""mailto:cunystart.cuny.edu"">cunystart.cuny.edu</a><br>     <a href=""tel:718-368-4500"">718-368-4500</a> </p> <p>     LaGuardia Community College<br>     <a href=""mailto:cunystart.cuny.edu"">cunystart.cuny.edu</a><br>     <a href=""tel:718-482-5137"">718-482-5137</a> </p> <p>     Medgar Evers College<br>     <a href=""mailto:cunystart.cuny.edu"">cunystart.cuny.edu</a><br>     <a href=""tel:718-270-6161"">718-270-6161</a> </p> <p>     Queensborough Community College<br>     <a href=""mailto:cunystart.cuny.edu"">cunystart.cuny.edu</a><br>     <a href=""tel:718-281-5368"">718-281-5368</a> </p> <p>     Get more information on the <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/about-cuny-start/"" target=""_blank"">CUNY Start website</a> </p>","Caregiver, Teen, Young Adult",The City University of New York (CUNY),,Education,,,,"<p>     For incoming students who haven't passed all their <a href=""http://www2.cuny.edu/academics/testing/"" target=""_blank"">CUNY Assessment Tests</a> and need to meet CUNY\u2019s proficiency standards, CUNY Start offers affordable help in reading, writing, and math. </p>","<p>     To enroll in CUNY Start: </p> <ul>     <li>Complete all <a href=""http://www2.cuny.edu/admissions/undergraduate/"" target=""_blank"">CUNY admissions</a> requirements and apply to a <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/campus-info/"" target=""_blank"">CUNY Start campus</a>     </li>     <li>Take the <a href=""http://www.cuny.edu/academics/testing.html"" target=""_blank"">CUNY Assessment Tests</a> and check your scores to see if you need extra help     </li>     <li>Go to an information session at one of the <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/campus-info/"" target=""_blank"">CUNY Start campuses</a>     </li>     <li>         <a href=""http://www2.cuny.edu/academics/academic-programs/model-programs/cuny-college-transition-programs/cuny-start/campus-info/""></a>Complete the online program application     </li>     <li>Interview with a CUNY Start staff member     </li>     <li>Submit a copy of your high school or high school equivalency diploma and complete any other requirements for your college     </li>     <li>Pay your $75 student fee     </li> </ul>"
"<ul>     <li>Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> if you have questions about this program.     </li>     <li>Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/out-of-school-youth-osy-program.page"" target=""_blank"">DYCD website</a> for more information.     </li> </ul>","Teen, Young Adult",NYC Department of Youth & Community Development,,Work,,,,"<p>     Train & Earn is a short-term career pathway program for low-income youth, who are not working and not in school. Train & Earn helps youth improve their job skills and find permanent work. It also provides High School Equivalency (HSE) prep and support services. </p> <p>     Youth receive up to 12 months of follow-up services after finishing the program. </p>","<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD</a> website.     </li>     <li>Click \u201dShow Advanced Search"" in the ""Basic Search"" box.     </li>     <li>Select ""Youth Workforce Development"" from the ""All Programs"" dropdown and an ""OSY"" program from the ""All Sub-programs"" dropdown.     </li> </ol>"
"<ul>     <li>Visit the <a href=""http://www.nyc.gov/nycitizenship"" target=""_blank"">NYCitizenship</a> website for more information.     </li>     <li>Call <a href=""tel:311"">311</a> and say ""citizenship appointment"" to receive assistance.     </li> </ul>",Everyone,NYC Mayor's Office of  Immigrant Affairs,"<p>     <strong>Call 311</strong> </p> <p>     Ask for ""Citizenship appointment\u201d to make appointments in order to receive services. </p>",Family services,,,,<p>     NYCitizenship provides free legal assistance with citizenship applications and financial counseling at select NYC public libraries and in partnership with the Department of Social Services. </p>,"<p>     To receive services, call <a href=""tel:311"">311</a> and say ""citizenship appointment""<strong>. No walk-ins.</strong><br>     Services are available at select NYC libraries. </p> <ul>     <li>         <a href=""https://www.bklynlibrary.org/learn/immigrants/citizenship"" target=""_blank""><strong>Brooklyn Public Library</strong></a>:<br>         <a href=""https://www.bklynlibrary.org/locations/eastern-parkway"" target=""_blank"">Eastern Parkway Library</a>, <a href=""https://www.bklynlibrary.org/locations/flatbush"" target=""_blank"">Flatbush Library</a>, <a href=""https://www.bklynlibrary.org/locations/kings-highway"" target=""_blank"">Kings Highway Library</a>, <a href=""https://www.bklynlibrary.org/locations/new-utrecht"" target=""_blank"">New Utrecht Library<br></a><br>     </li>     <li>         <a href=""https://www.nypl.org/help/community-outreach/nycitizenship"" target=""_blank""><strong>New York Public Library</strong></a>:<br>         <a href=""https://www.nypl.org/locations/bronx-library-center"" target=""_blank"">Bronx Library Center</a>, <a href=""https://www.nypl.org/locations/sibl"" target=""_blank"">Science Business and Industry Library- Midtown</a>, <a href=""https://www.nypl.org/locations/st-george-library-center"" target=""_blank"">St. George Library Center- Staten Island</a>, <a href=""https://www.nypl.org/locations/inwood"" target=""_blank"">Inwood Library</a>     </li> </ul> <ul>     <li>         <a href=""http://www.queenslibrary.org/services/citizenship-immigration/nycitizenship-sessions"" target=""_blank""><strong>Queens Public Library</strong></a>:<br>         <a href=""http://www.queenslibrary.org/branch/Jackson-Heights/"" target=""_blank"">Jackson Heights Library</a>, <a href=""http://www.queenslibrary.org/branch/Central-Library"" target=""_blank"">Central Library- Jamaica</a>, <a href=""http://www.queenslibrary.org/branch/Flushing"" target=""_blank"">Flushing Library</a>, <a href=""http://www.queenslibrary.org/branch/Astoria"" target=""_blank"">Astoria Library</a>     </li> </ul>"
